# Parameters
$ K = 2
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-4.0926108756696239e-01	-6.5658967207867580e-01	-7.8239902654483040e-01	-8.2201356292665184e-01	-4.7803512302904178e-01	-4.0628968330271087e-01	-2.8873260871576928e-01	-1.0965964655093782e-01	-3.8170064876940457e-01	-6.2674632166875965e-01	-3.5145098943686437e-01	-4.9908423610322322e-01	-7.3998895007937215e-01	-2.6579515402960796e-01	-6.8873660353210819e-01	3.8729833462074170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.1001410038250169e-01	-6.5777649755908196e-01	-7.8471408206543480e-01	-8.2464013159049143e-01	-4.7821873229054118e-01	-4.0657200658152587e-01	-2.8871082905790363e-01	-1.0715803334177509e-01	-3.8109593926797358e-01	-6.2787286213521232e-01	-3.5207817501645161e-01	-5.0089916177557137e-01	-7.4272494013874302e-01	-2.6432088620894972e-01	-6.9123472243426631e-01	3.8633342452190780e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.1075810823899805e-01	-6.5892521551315586e-01	-7.8699608331421811e-01	-8.2723367886579235e-01	-4.7837257002863942e-01	-4.0682086417779367e-01	-2.8867646939112407e-01	-1.0462170510829237e-01	-3.8046257507399589e-01	-6.2896622375219202e-01	-3.5269051117297090e-01	-5.0271624750538024e-01	-7.4543706986461211e-01	-2.6280993522456469e-01	-6.9372401609559320e-01	3.8537524174490843e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.1149313170267027e-01	-6.6003539020853697e-01	-7.8924443859762117e-01	-8.2979350276273933e-01	-4.7849653496824562e-01	-4.0703592469123756e-01	-2.8862967153796898e-01	-1.0205114390983379e-01	-3.7980075959732262e-01	-6.3002605263704381e-01	-3.5328787233224118e-01	-5.0453547526898357e-01	-7.4812461544869413e-01	-2.6126243032947211e-01	-6.9620419594865934e-01	3.8442387067116526e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.1221919601099749e-01	-6.6110659799456029e-01	-7.9145856189791119e-01	-8.3231890434618683e-01	-4.7859053847188343e-01	-4.0721686868502704e-01	-2.8857058300644745e-01	-9.9446860028296946e-02	-3.7911071230508175e-01	-6.3105200401675166e-01	-3.5387013739295214e-01	-5.0635682807535665e-01	-7.5078684757844105e-01	-2.5967852146107773e-01	-6.9867497144401891e-01	3.8347939649260927e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.1293633104014899e-01	-6.6213842771690057e-01	-7.9363787316747403e-01	-8.3480918809756965e-01	-4.7865450472555954e-01	-4.0736338913597303e-01	-2.8849935672655347e-01	-9.6809392121710247e-02	-3.7839266858921261e-01	-6.3204374247490347e-01	-3.5443718977556721e-01	-5.0818028997775588e-01	-7.5342303158547752e-01	-2.5805837950793142e-01	-7.0113605000477308e-01	3.8254190520457296e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.1364457126463156e-01	-6.6313048112588413e-01	-7.9578179861863396e-01	-8.3726366227942406e-01	-4.7868837091350819e-01	-4.0747519188161990e-01	-2.8841615077135424e-01	-9.4139307349753842e-02	-3.7764687960949861e-01	-6.3300094219298708e-01	-3.5498891746463257e-01	-5.1000584608414856e-01	-7.5603242760275879e-01	-2.5640219656181140e-01	-7.0358713697843078e-01	3.8161148359802635e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.1434395570907212e-01	-6.6408237327784059e-01	-7.9788977100870639e-01	-8.3968163930231232e-01	-4.7869208738136815e-01	-4.0755199606353831e-01	-2.8832112806297672e-01	-9.1437201470262380e-02	-3.7687361211199299e-01	-6.3392328718574453e-01	-3.5552521304433254e-01	-5.1183348256636829e-01	-7.5861429073090292e-01	-2.5471018615445701e-01	-7.0602793558616517e-01	3.8068821925114054e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.1503452789199113e-01	-6.6499373292886954e-01	-7.9996122991998886e-01	-8.4206243609392384e-01	-4.7866561778734878e-01	-4.0759353456608016e-01	-2.8821445606385793e-01	-8.8703698905762074e-02	-3.7607314822279342e-01	-6.3481047153033121e-01	-3.5604597372714963e-01	-5.1366318666792843e-01	-7.6116787121416629e-01	-2.5298258347826558e-01	-7.0845814686957675e-01	3.7977220052016376e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.1571633576151901e-01	-6.6586420292038295e-01	-8.0199562203442409e-01	-8.4440537447013531e-01	-4.7860893924095715e-01	-4.0759955444986645e-01	-2.8809630645369466e-01	-8.5939452779112732e-02	-3.7524578521717639e-01	-6.3566219958903936e-01	-3.5655110137549284e-01	-5.1549494671043417e-01	-7.6369241462653203e-01	-2.5121964559027771e-01	-7.1087746963508136e-01	3.7886351652959687e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-4.1638943162294567e-01	-6.6669344055579449e-01	-8.0399240140268058e-01	-8.4670978150779264e-01	-4.7852204242887286e-01	-4.0756981737924203e-01	-2.8796685479258505e-01	-8.3145144917342900e-02	-3.7439183526417458e-01	-6.3647818622534291e-01	-3.5704050251619324e-01	-5.1732875209851603e-01	-7.6618716206839577e-01	-2.4942165159876714e-01	-7.1328560039606570e-01	3.7796225716165091e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-4.1705387205807226e-01	-6.6748111796773613e-01	-8.0595102970741217e-01	-8.4897498991898879e-01	-4.7840493172757570e-01	-4.0750410004292670e-01	-2.8782628017090239e-01	-8.0321485822786226e-02	-3.7351162514673175e-01	-6.3725815701304522e-01	-3.5751408834776638e-01	-5.1916459332322007e-01	-7.6865135037434995e-01	-2.4758890283176072e-01	-7.1568223331296776e-01	3.7706851304497668e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-4.1770971783630800e-01	-6.6822692247517912e-01	-8.0787097652049178e-01	-8.5120033842660581e-01	-4.7825762530232918e-01	-4.0740219456707627e-01	-2.8767476484651489e-01	-7.7469214610652537e-02	-3.7260549595765152e-01	-6.3800184843831020e-01	-3.5797177474037895e-01	-5.2100246196376698e-01	-7.7108421233256064e-01	-2.4572172298681036e-01	-7.1806706013143906e-01	3.7618237554264864e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-4.1835703381749112e-01	-6.6893055692983661e-01	-8.0975171955402081e-01	-8.5338517214086984e-01	-4.7808015519216357e-01	-4.0726390891995434e-01	-2.8751249387002159e-01	-7.4589098912192633e-02	-3.7167380277160572e-01	-6.3870900809437736e-01	-3.5841348222846264e-01	-5.2284235068761686e-01	-7.7348497691624707e-01	-2.4382045826134938e-01	-7.2043977011879368e-01	3.7530393673939222e+00
