# Parameters
$ K = 4
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-4.2738642512652825e-01	-6.0314279693520323e-01	-5.5429875053659639e-01	-9.2473214453751795e-01	-2.5949131066696424e-01	-3.5216719986450440e-01	-5.1634900541146134e-01	-2.4791275649919625e-01	-4.9905119777610946e-01	-4.3150425275829773e-01	-6.3916585411639104e-01	-9.7959280381526181e-01	-3.5811062795599113e-01	-7.0026410912216719e-01	-5.2908070755617198e-01	2.9944933007932244e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.3086848985137444e-01	-6.0900534736428646e-01	-5.6088689692960869e-01	-9.3243754948704227e-01	-2.6295975376789948e-01	-3.6048176736532250e-01	-5.2413113991939231e-01	-2.5338721750014498e-01	-5.0827234511252950e-01	-4.3654570327755249e-01	-6.4741059852474825e-01	-9.8811219690285079e-01	-3.6467932507146844e-01	-7.0921172035098368e-01	-5.3609105448191019e-01	2.9870334321085461e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.3440193346732558e-01	-6.1494082111630988e-01	-5.6756002702169372e-01	-9.4019995952783342e-01	-2.6648071400913337e-01	-3.6894731184853480e-01	-5.3204640809172410e-01	-2.5899396737601499e-01	-5.1763891708150356e-01	-4.4167796705163559e-01	-6.5576140034893071e-01	-9.9669156051593621e-01	-3.7136846669413631e-01	-7.1826996881211647e-01	-5.4319626445840097e-01	2.9796259384173549e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.3798765523858779e-01	-6.2094991072018102e-01	-5.7431874384298431e-01	-9.4801868176346871e-01	-2.7005488787027010e-01	-3.7756478555649475e-01	-5.4009618478013355e-01	-2.6473558052432061e-01	-5.2715174371313056e-01	-4.4690247795648830e-01	-6.6421820026042677e-01	-1.0053298599898697e+00	-3.7817960595238559e-01	-7.2743849811600869e-01	-5.5039671369361953e-01	2.9722702783047761e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.4162655686499142e-01	-6.2703328742035547e-01	-5.8116361782566173e-01	-9.5589294962779081e-01	-2.7368297025700306e-01	-3.8633503049582646e-01	-5.4828177233411179e-01	-2.7061463144933268e-01	-5.3681155631611366e-01	-4.5222065504997749e-01	-6.7278082767888348e-01	-1.0140259645782714e+00	-3.8511426200628207e-01	-7.3671682126828286e-01	-5.5769270784366676e-01	2.9649658966059858e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.4531954121732886e-01	-6.3319159870327202e-01	-5.8809518406351535e-01	-9.6382191933020733e-01	-2.7736565361740478e-01	-3.9525877007449134e-01	-5.5660439324548983e-01	-2.7663369048020087e-01	-5.4661897987945263e-01	-4.5763389924627612e-01	-6.8144899385486046e-01	-1.0227786427501415e+00	-3.9217391540835084e-01	-7.4610431318761794e-01	-5.6508447689524610e-01	2.9577122242223775e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.4906751097179248e-01	-6.3942546567126379e-01	-5.9511393942988688e-01	-9.7180466619005001e-01	-2.8110362699786190e-01	-4.0433660039861941e-01	-5.6506518241198578e-01	-2.8279531915588590e-01	-5.5657452513913552e-01	-4.6314358977219905e-01	-6.9022228471792391e-01	-1.0315865573383998e+00	-3.9936000319145126e-01	-7.5560020299949793e-01	-5.7257216983763526e-01	2.9505086779359360e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.5287136713901605e-01	-6.4573548025807515e-01	-6.0222033954935472e-01	-9.7984018086118352e-01	-2.8489757503602009e-01	-4.1356898122981700e-01	-5.7366517901293368e-01	-2.8910206526182025e-01	-5.6667858030688079e-01	-4.6875108039763536e-01	-6.9910015349458787e-01	-1.0404482605427334e+00	-4.0667391367546446e-01	-7.6520356611297469e-01	-5.8015584912407558e-01	2.9433546602221883e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.5673200748328280e-01	-6.5212220228022888e-01	-6.0941479561870537e-01	-9.8792736544867576e-01	-2.8874817688807830e-01	-4.2295622660539972e-01	-5.8240531799151751e-01	-2.9555645750324921e-01	-5.7693140245924779e-01	-4.7445769543246991e-01	-7.0808191310216095e-01	-1.0493621887907199e+00	-4.1411698098493016e-01	-7.7491331608934866e-01	-5.8783548492351700e-01	2.9362495590621362e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.6065032482747564e-01	-6.5858615631860484e-01	-6.1669767107284845e-01	-9.9606502951996145e-01	-2.9265610508779233e-01	-4.3249849512596128e-01	-5.9128642113927421e-01	-3.0216099980032657e-01	-5.8733310858694276e-01	-4.8026472548266724e-01	-7.1716672832632700e-01	-1.0583266574623660e+00	-4.2169047927033376e-01	-7.8472819631362967e-01	-5.9561094916479818e-01	2.9291927477536372e+00
