seed_idx	K	mu_cpp	mu_paper	coeff_without_perturb	coeff_with_perturb	response
0	3	12	9	-0.4822696092095702	-0.4822635800378149	0.0006313172582411861
0	3	8	10	-0.0973400203792857	-0.0973609452335536	-0.010854292488031585
0	3	4	11	-0.36133124905470515	-0.3613397882010601	-0.0011933861393251556
0	3	13	12	-0.28440883576372905	-0.2844010019018428	0.0013909643314208512
0	3	9	13	-0.3537027878802974	-0.35372286302384637	-0.002866058419093189
0	3	14	14	-0.727852898903749	-0.7278547065859128	-0.00012541662332829373
0	4	0	0	-0.21775603900602808	-0.22771615969639708	-2.258518029417104
0	4	5	1	-0.29793438618438034	-0.2997136899233206	-0.3006858773857423
0	4	1	2	-0.341163735752783	-0.33577333821164	0.8042459029069915
0	4	10	3	-0.7886884784615148	-0.788672894774222	0.000997806216557499
0	4	6	4	-0.9937092892830247	-0.9929848531072296	0.036827846066499206
0	4	2	5	-0.698857431647135	-0.6980105100984914	0.061234343737229406
0	4	11	6	-0.6793600853303219	-0.6792798398300057	0.005965179255894329
0	4	7	7	-1.1226720213985653	-1.1223914698996462	0.01262092395666956
0	4	3	8	-0.9130014113567793	-0.9131098414573141	-0.005996941470866762
0	4	12	9	-0.5053435114476744	-0.5053346086478977	0.0008896535668976897
0	4	8	10	-0.03106773448754826	-0.03110646555081702	-0.06291532605309655
0	4	4	11	-0.33081860770936694	-0.3308214202330097	-0.0004293204664579298
0	4	13	12	-0.32054859690574433	-0.32053699520295154	0.0018277336227392213
0	4	9	13	-0.2686276979370973	-0.2686529833338771	-0.004753086632979646
0	4	14	14	-0.724947179099278	-0.72494504874744	0.00014839620521514855
0	5	0	0	-0.15257711731904008	-0.16361991735517054	-3.52862296347811
0	5	5	1	-0.1951310468652645	-0.19745503333730138	-0.5978757707618952
0	5	1	2	-0.3785088877939168	-0.3717705111014207	0.9070915534540727
0	5	10	3	-0.7472919604017788	-0.7472700090394508	0.0014833879035972216
0	5	6	4	-1.0826051347969956	-1.0815724185656326	0.04819426147766508
0	5	2	5	-0.783765423635736	-0.7825567018022478	0.07793859139650654
0	5	11	6	-0.6917609589583457	-0.6916218757627833	0.01015405382669154
0	5	7	7	-1.2101279159099567	-1.2096827372411607	0.018580617752947743
0	5	3	8	-0.883462044465056	-0.8836420672208853	-0.010288983049375387
0	5	12	9	-0.524592004512002	-0.5245779750310544	0.0013505259398324746
0	5	8	10	0.03426555542787399	0.03420591210625268	0.08797504093939096
0	5	4	11	-0.31969252647832685	-0.3196878783066597	0.0007342264385680286
0	5	13	12	-0.35505028334802596	-0.3550338072205451	0.0023434330100992502
0	5	9	13	-0.189990719398647	-0.19002248570522162	-0.008442580642944404
0	5	14	14	-0.7328379107300359	-0.7328313442138307	0.00045248712303809627
1	1	0	0	-0.5836436301446623	-0.5936477664987995	-0.8582489241898964
1	1	5	1	-0.26164223575182716	-0.26164223575182716	0.0
1	1	1	2	-0.4902767541009793	-0.4902767541009793	0.0
