# Parameters
$ K = 2
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-7.3451173007593984e-01	-7.5659801745683797e-01	-2.4092774826716840e-01	-2.6142730177666434e-01	-2.0027755921194668e-01	-2.0800100005873337e-01	-3.3979805833786658e-01	-3.0285435244927977e-01	-3.1726274727851772e-01	-5.5039928597025856e-01	-4.1483641141246863e-01	-5.0048187201793748e-01	-3.6560783307246952e-01	-3.4690650989297539e-01	-4.1251886599073950e-01	3.8729833462074170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-7.3881876179929007e-01	-7.6162206410801458e-01	-2.4374757477597547e-01	-2.6313025387589922e-01	-2.0092749553792735e-01	-2.0968493260243420e-01	-3.4274062482943657e-01	-3.0413868880342254e-01	-3.1973717750254527e-01	-5.5279518549708750e-01	-4.1723771572247959e-01	-5.0317675937068140e-01	-3.6690884937567314e-01	-3.4948337610674679e-01	-4.1427012058381968e-01	3.8633213065617391e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-7.4313943498960500e-01	-7.6665505155703095e-01	-2.4658916408845893e-01	-2.6484830239409352e-01	-2.0157854764994979e-01	-2.1138174544067806e-01	-3.4570540128303950e-01	-3.0541504264188835e-01	-3.2222284573244953e-01	-5.5519449111557206e-01	-4.1965365972165247e-01	-5.0588657199892195e-01	-3.6820197169943314e-01	-3.5206814939539188e-01	-4.1602702125015151e-01	3.8537002601110952e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-7.4747328321300943e-01	-7.7169598260917072e-01	-2.4945220627457693e-01	-2.6658156413644940e-01	-2.0223071660686714e-01	-2.1309144013090325e-01	-3.4869224936100179e-01	-3.0668306159582936e-01	-3.2471940360525248e-01	-5.5759703229388957e-01	-4.2208425195920118e-01	-5.0861131025315698e-01	-3.6948693115328024e-01	-3.5466036943175144e-01	-4.1778954566201465e-01	3.8441204407116745e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-7.5181982304784289e-01	-7.7674382883173310e-01	-2.5233637159229000e-01	-2.6833015466860954e-01	-2.0288400400677903e-01	-2.1481401467062350e-01	-3.5170101669842257e-01	-3.0794238907676696e-01	-3.2722648752803840e-01	-5.6000263542815432e-01	-4.2452949775425436e-01	-5.1135097111937566e-01	-3.7076345708981012e-01	-3.5725955977138807e-01	-4.1955767142155509e-01	3.8345820824992862e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-7.5617855380433308e-01	-7.8179753028550614e-01	-2.5524131009857470e-01	-2.7009418820435510e-01	-2.0353841200235942e-01	-2.1654946339659564e-01	-3.5473153649743050e-01	-3.0919266435682924e-01	-3.2974371843160105e-01	-5.6241112384212699e-01	-4.2698939908731243e-01	-5.1410554809880205e-01	-3.7203127718951079e-01	-3.5986522768550444e-01	-4.2133137608978005e-01	3.8250854198667326e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-7.6054895724904370e-01	-7.8685599528250405e-01	-2.5816665126973282e-01	-2.7187377748998065e-01	-2.0419394331607860e-01	-2.1829777688307908e-01	-3.5778362712022366e-01	-3.1043352265496632e-01	-3.3227070153268584e-01	-5.6482231778834924e-01	-4.2946395448954827e-01	-5.1687503108480937e-01	-3.7329011754841135e-01	-3.6247686400647755e-01	-4.2311063721624703e-01	3.8156306874409149e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.6493049733468943e-01	-7.9191810017163800e-01	-2.6111200363208337e-01	-2.7366903368536299e-01	-2.0485060125529944e-01	-2.2005894183923938e-01	-3.6085709168149088e-01	-3.1166459522934731e-01	-3.3480702610566282e-01	-5.6723603445072435e-01	-4.3195315892995961e-01	-5.1965940623700624e-01	-3.7453970276855547e-01	-3.6509394298687065e-01	-4.2489543236941701e-01	3.8062181200596972e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.6932261993595530e-01	-7.9698268915403636e-01	-2.6407695440412782e-01	-2.7548006624173815e-01	-2.0550838972722021e-01	-2.2183294100574771e-01	-3.6395171764085998e-01	-3.1288550947613269e-01	-3.3735226526449091e-01	-5.6965208794856870e-01	-4.3445700370038071e-01	-5.2245865585248830e-01	-3.7577975605129454e-01	-3.6771592217279297e-01	-4.2668573916762892e-01	3.7968479527485242e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-7.7372475259197682e-01	-8.0204857412973452e-01	-2.6706106915133865e-01	-2.7730698277620791e-01	-2.0616731325364218e-01	-2.2361975305064244e-01	-3.6706727639605291e-01	-3.1409588903483565e-01	-3.3990597575586179e-01	-5.7207028934215320e-01	-4.3697547629835964e-01	-5.2527275823427055e-01	-3.7700999929338730e-01	-3.7034224229249973e-01	-4.2848153531065919e-01	3.7875204206968127e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-7.7813630425616187e-01	-8.0711453457750026e-01	-2.7006389145473081e-01	-2.7914988894301507e-01	-2.0682737698553363e-01	-2.2541935246450578e-01	-3.7020352287746100e-01	-3.1529535390047769e-01	-3.4246769776443209e-01	-5.7449044663975124e-01	-4.3950856030791602e-01	-5.2810168755690257e-01	-3.7823015318589992e-01	-3.7297232716113798e-01	-4.3028279861181962e-01	3.7782357592341200e+00
