# Parameters
$ K = 4
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-2.9911904882930973e-01	-4.9220989339810994e-01	-3.8133887930307653e-01	-4.7181216277404470e-01	-7.4430790119595369e-01	-8.0118224458886145e-01	-8.4435936213908314e-01	-1.0818275915161297e+00	-8.0688548497417811e-01	-7.6376722497256944e-01	-5.7142191642046380e-01	-8.6991401496666176e-01	2.6620422659688545e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.9722913280652513e-01	-4.8979268976384621e-01	-3.7407972950095636e-01	-4.6560969717538847e-01	-7.4263942150302165e-01	-7.9924133447561663e-01	-8.3947222699209711e-01	-1.0782820249339999e+00	-8.0686347509962197e-01	-7.6478917853449746e-01	-5.6773266511392551e-01	-8.6774911296089463e-01	2.6554243963736681e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.9533326278816102e-01	-4.8736649343987298e-01	-3.6681281027645102e-01	-4.5938954149146966e-01	-7.4091417006329940e-01	-7.9725904997941488e-01	-8.3454062984164257e-01	-1.0746414933512212e+00	-8.0679749382950727e-01	-7.6580322206868656e-01	-5.6400596813601800e-01	-8.6553302196990023e-01	2.6488824414671788e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.9343209318946806e-01	-4.8493226305255754e-01	-3.5954303105513463e-01	-4.5315600064424999e-01	-7.3913282432073435e-01	-7.9523636882775350e-01	-8.2956760702220644e-01	-1.0709084276966043e+00	-8.0668790764839327e-01	-7.6680974563899584e-01	-5.6024309367434488e-01	-8.6326737442999324e-01	2.6424185944014442e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.9152627764840483e-01	-4.8249093571989526e-01	-3.5227522923626642e-01	-4.4691329755269327e-01	-7.3729608347926434e-01	-7.9317426315351380e-01	-8.2455614925029441e-01	-1.0670852429839557e+00	-8.0653509871130835e-01	-7.6780913685608032e-01	-5.5644530470143683e-01	-8.6095380695132484e-01	2.6360350877950287e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.8961646871401026e-01	-4.8004342650830745e-01	-3.4501416392273571e-01	-4.4066556689200487e-01	-7.3540466792519421e-01	-7.9107369887442935e-01	-8.1950919850129245e-01	-1.0631743352400225e+00	-8.0633946438486670e-01	-7.6880178048448733e-01	-5.5261385817008513e-01	-8.5859395864022259e-01	2.6297341941749153e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.8770331754199086e-01	-4.7759062795476476e-01	-3.3776451001120361e-01	-4.3441684926981333e-01	-7.3345931863760594e-01	-7.8893563512245224e-01	-8.1442964510893290e-01	-1.0591780786532783e+00	-8.0610141677742808e-01	-7.6978805805429307e-01	-5.4875000426135201e-01	-8.5618946946053220e-01	2.6235182264030170e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.8578747359732382e-01	-4.7513340965277190e-01	-3.3053085264626819e-01	-4.2817108582854368e-01	-7.3146079658768226e-01	-7.8676102372172085e-01	-8.0932032508584340e-01	-1.0550988229443361e+00	-8.0582138225909750e-01	-7.7076834747717793e-01	-5.4485498568518931e-01	-8.5374197863379964e-01	2.6173895380843115e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.8386958436365300e-01	-4.7267261790060910e-01	-3.2331768204045719e-01	-4.2193211328114194e-01	-7.2940988212785562e-01	-7.8455080871371863e-01	-8.0418401766278269e-01	-1.0509388909576989e+00	-8.0549980097238838e-01	-7.7174302266681571e-01	-5.4093003703345532e-01	-8.5125312307796541e-01	2.6113505239534485e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.8195029505923463e-01	-4.7020907541006857e-01	-3.1612938865991530e-01	-4.1570365938525372e-01	-7.2730737437165482e-01	-7.8230592592808035e-01	-7.9902344304342277e-01	-1.0467005764735167e+00	-8.0513712633433354e-01	-7.7271245316344328e-01	-5.3697638418500127e-01	-8.4872453588406793e-01	2.6054036202364546e+00
