# Parameters
$ K = 2
$ N = 15
$ M = 37
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	E
0	1.0000000000000000e+00	0	-6.9564724396090505e-01	-3.9999350836986075e-01	-2.8910807055869858e-01	-5.6719265406263730e-01	-6.4132761861223131e-01	-6.0596753987529006e-01	-1.0973790679217017e+00	-8.1195271745998931e-01	-2.7218283448560093e-01	-4.4877454383208570e-01	-4.5710739926452373e-02	-1.1704806736853932e-01	-1.0500947972001236e+00	-5.4313081062836976e-01	-3.9483645854342109e-01	7.4031966706533447e-02	4.9917604617290300e-02	1.6491359975550329e-01	2.5137053078066834e-01	1.2783097758754589e-01	6.9358393570335103e-02	1.4764827621953985e-01	1.9130854908135170e-01	2.4742164048478760e-02	1.3790780111407153e-01	1.8164267363692366e-01	1.5331857932668774e-01	2.0124926244331437e-01	8.9161342495017309e-02	1.5674298115444829e-01	8.0299023815606843e-02	2.1140275038695597e-01	1.2120748274403738e-01	3.5566159879527931e-01	1.0636564368072665e-01	7.0060851495262214e-02	8.0101157325822001e-02	3.8729833462074170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.9973980377079203e-01	-4.0344310708388936e-01	-2.9331764966549229e-01	-5.7191729416377279e-01	-6.4595000078056486e-01	-6.1212796620887411e-01	-1.1048921803638474e+00	-8.1895395335835763e-01	-2.7676707925638960e-01	-4.5263060143179645e-01	-4.7029007600485305e-02	-1.2103387808646701e-01	-1.0577864674771682e+00	-5.4809964240521958e-01	-3.9769801903445806e-01	7.4400698564819845e-02	5.0166988617049303e-02	1.6573727442357572e-01	2.5261646410592359e-01	1.2847104005985560e-01	6.9702530934743559e-02	1.4838661941185768e-01	1.9225858028998932e-01	2.4864532120413722e-02	1.3859292834883569e-01	1.8254740438029649e-01	1.5408366391327605e-01	2.0224577255335910e-01	8.9604275285862733e-02	1.5752103913316265e-01	8.0698858579014973e-02	2.1245728450568352e-01	1.2181151933459444e-01	3.5743725401814452e-01	1.0689736938642898e-01	7.0409638795784837e-02	8.0500837581147719e-02	3.8633467710194664e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-7.0384864829771787e-01	-4.0692131754991945e-01	-2.9756699817076460e-01	-5.7664584417061926e-01	-6.5057313986564780e-01	-6.1828595739483527e-01	-1.1122924778141237e+00	-8.2594109426187212e-01	-2.8137604363479557e-01	-4.5646807710425213e-01	-4.8378680576578570e-02	-1.2507813636084056e-01	-1.0654082697438634e+00	-5.5309450626483714e-01	-4.0058201898610302e-01	7.4766448471381905e-02	5.0415921012867015e-02	1.6655898019806789e-01	2.5383986456081875e-01	1.2911287567881508e-01	7.0041180307492748e-02	1.4912505705117798e-01	1.9319513830516588e-01	2.4984117380066864e-02	1.3926890449320906e-01	1.8344483348302951e-01	1.5484554034326331e-01	2.0322217987092606e-01	9.0041237708569880e-02	1.5828738224824732e-01	8.1095230726463935e-02	2.1350659804752720e-01	1.2241136067309077e-01	3.5920723091868162e-01	1.0742880195616754e-01	7.0755272897042976e-02	8.0898776448861856e-02	3.8538020616534698e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-7.0797335809438466e-01	-4.1042782881211837e-01	-3.0185515951013403e-01	-5.8137660296554849e-01	-6.5519555985085398e-01	-6.2443817679941493e-01	-1.1195735449394806e+00	-8.3291033262916825e-01	-2.8600716171250695e-01	-4.6028461051065106e-01	-4.9760012539261426e-02	-1.2917996139091245e-01	-1.0729548586015660e+00	-5.5811413779365682e-01	-4.0348835573522690e-01	7.5129024492949670e-02	5.0664335032978999e-02	1.6737843901137470e-01	2.5503968657721693e-01	1.2975641948467384e-01	7.0374071836214358e-02	1.4986342130711483e-01	1.9411754440505113e-01	2.5100772147155705e-02	1.3993523340102534e-01	1.8433444829456147e-01	1.5560391586323433e-01	2.0417753144222586e-01	9.0471890779080633e-02	1.5904140315614082e-01	8.1487923605244442e-02	2.1455029324929162e-01	1.2300671083028913e-01	3.6097096178063665e-01	1.0795980620270652e-01	7.1097572289245278e-02	8.1294836266966389e-02	3.8443493595277003e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-7.1211349153809234e-01	-4.1396229725587225e-01	-3.0618110403133481e-01	-5.8610780703275323e-01	-6.5981573754846423e-01	-6.3058118476799441e-01	-1.1267289226424522e+00	-8.3985774803330882e-01	-2.9065774744583156e-01	-4.6407777641981324e-01	-5.1173231731018565e-02	-1.3333838366596826e-01	-1.0804208077833688e+00	-5.6315720283032955e-01	-4.0641690877092290e-01	7.5488230861435274e-02	5.0912161973443303e-02	1.6819536663810969e-01	2.5621488021412514e-01	1.3040160391883698e-01	7.0700933724763132e-02	1.5060153888830718e-01	1.9502511593788344e-01	2.5214346603195169e-02	1.4059141292566080e-01	1.8521572566007774e-01	1.5635849048696224e-01	2.0511086543526516e-01	9.0895888751001505e-02	1.5978248725298078e-01	8.1876715543299505e-02	2.1558796474545647e-01	1.2359726655781508e-01	3.6272786775738092e-01	1.0849024289703024e-01	7.1436352080993651e-02	8.1688876504252467e-02	3.8349887956109945e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-7.1626858426860962e-01	-4.1752434566336760e-01	-3.1054372729915342e-01	-5.9083762994752087e-01	-6.6443210238223060e-01	-6.3671144057951023e-01	-1.1337521181761849e+00	-8.4677930904716026e-01	-2.9532499475857377e-01	-4.6784508555435961e-01	-5.2618539476383772e-02	-1.3755234344255091e-01	-1.0878006161943505e+00	-5.6822229631145316e-01	-4.0936753904114581e-01	7.5843868076050883e-02	5.1159331177360316e-02	1.6900947288161353e-01	2.5736439283828599e-01	1.3104835878869811e-01	7.1021492611304887e-02	1.5133923100128638e-01	1.9591716735417383e-01	2.5324688975437635e-02	1.4123693548971819e-01	1.8608813226393364e-01	1.5710895704901739e-01	2.0602121239352081e-01	9.1312879347137846e-02	1.6051001335300455e-01	8.2261379912871940e-02	2.1661919974590862e-01	1.2418271735592259e-01	3.6447735923827390e-01	1.0901996875727624e-01	7.1771424083612825e-02	8.2080753803624965e-02	3.8257204903383553e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-7.2043814863743083e-01	-4.2111356229209312e-01	-3.1494184848601930e-01	-5.9556418196948036e-01	-6.6904303624314776e-01	-6.4282530475615784e-01	-1.1406366157517320e+00	-8.5367087551388410e-01	-3.0000597798147127e-01	-4.7158398564557924e-01	-5.4096108706141954e-02	-1.4182068938739595e-01	-1.0950887144065573e+00	-5.7330794122568596e-01	-4.1234008825796686e-01	7.6195733017585587e-02	5.1405770015870704e-02	1.6982046178265425e-01	2.5848717088165912e-01	1.3169661123552318e-01	7.1335473964919988e-02	1.5207631331747623e-01	1.9679301128726684e-01	2.5431645735390508e-02	1.4187128869302701e-01	1.8695112501452107e-01	1.5785500127536484e-01	2.0690759656810301e-01	9.1722504019673856e-02	1.6122335441301139e-01	8.2641685208580368e-02	2.1764357823617472e-01	1.2476274556082043e-01	3.6621883625925022e-01	1.0954883644461920e-01	7.2102596905869357e-02	8.2470322032461185e-02	3.8165445535358340e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.2462167317063730e-01	-4.2472949997994830e-01	-3.1937420885887835e-01	-6.0028550974802508e-01	-6.7364687342332874e-01	-6.4891904173822790e-01	-1.1473758876204607e+00	-8.6052820121672846e-01	-3.0469765264554954e-01	-4.7529186270721324e-01	-5.5606082486968682e-02	-1.4614217739870561e-01	-1.1022794716096065e+00	-5.7841258768627912e-01	-4.1533437820343272e-01	7.6543619075077243e-02	5.1651403871065371e-02	1.7062803185071831e-01	2.5958216167299153e-01	1.3234628570562224e-01	7.1642602500109703e-02	1.5281259594888980e-01	1.9765195968047072e-01	2.5535061811986400e-02	1.4249395595881520e-01	1.8780415147169729e-01	1.5859630187181362e-01	2.0776903732801855e-01	9.2124398239840102e-02	1.6192187830284277e-01	8.3017395140599484e-02	2.1866067320096713e-01	1.2533702645247913e-01	3.6795168895898167e-01	1.1007669456650664e-01	7.2429676059408546e-02	8.2857432340234988e-02	3.8074610843551202e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.2881862204772518e-01	-4.2837167528077025e-01	-3.2383947037327249e-01	-6.0499959614823895e-01	-6.7824190063296408e-01	-6.5498882293268368e-01	-1.1539634056110857e+00	-8.6734693696126863e-01	-3.0939685664614125e-01	-4.7896604253808239e-01	-5.7148572562117431e-02	-1.5051546961821435e-01	-1.1093672030157222e+00	-5.8353461213220692e-01	-4.1835021003819406e-01	7.6887316285082510e-02	5.1896156120947043e-02	1.7143187631821311e-01	2.6064831534016514e-01	1.3299730392504244e-01	7.1942602608473877e-02	1.5354788343309753e-01	1.9849332495864316e-01	2.5634780819412430e-02	1.4310441721771847e-01	1.8864665031776398e-01	1.5933253063116481e-01	2.0860455064775082e-01	9.2518191817829915e-02	1.6260494862162672e-01	8.3388268743603028e-02	2.1967005087182942e-01	1.2590522838380838e-01	3.6967529808180644e-01	1.1060338768764653e-01	7.2752464075216405e-02	8.3241933223617129e-02	3.7984701712181832e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-7.3302843459878475e-01	-4.3203956763418250e-01	-3.2833621438582117e-01	-6.0970436020579977e-01	-6.8282635710538508e-01	-6.6103073014268598e-01	-1.1603926530976152e+00	-8.7412263408206259e-01	-3.1410031179354114e-01	-4.8260379246302126e-01	-5.8723657909023549e-02	-1.5493913364623491e-01	-1.1163461777158494e+00	-5.8867231666812803e-01	-4.2138736361517432e-01	7.7226611483693433e-02	5.2139948126582056e-02	1.7223168341780784e-01	2.6168458677947859e-01	1.3364958487801609e-01	7.2235198806708992e-02	1.5428197472803756e-01	1.9931642124178614e-01	2.5730645299534588e-02	1.4370214962909628e-01	1.8947805187284625e-01	1.6006335255989226e-01	2.0941315067096189e-01	9.2903509253627350e-02	1.6327192555930348e-01	8.3754060502101310e-02	2.2067127099962511e-01	1.2646701293205756e-01	3.7138903552851033e-01	1.1112875634913968e-01	7.3070760631387704e-02	8.3623670599250702e-02	3.7895718917723853e+00
