# Parameters
$ K = 2
$ N = 15
$ M = 37
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	E
0	1.0000000000000000e+00	0	-1.5236303587548333e-01	-4.3248172400442270e-01	-5.6524435366422399e-01	-3.6264209928155161e-01	-2.5421160929337694e-01	-5.8125098310415868e-01	-7.2789067324974344e-01	-5.0918300501973301e-01	-1.5148277576148084e-01	-9.1033842148027200e-01	-5.3682032028570981e-01	-9.3921479732008517e-01	-6.0894335642101438e-01	-5.2832172515544251e-01	-5.9446556207923629e-01	-3.7893852501055210e-02	-6.1163043504989210e-02	-8.3697667853043348e-02	-1.5308332768863506e-01	-9.8026814811193352e-02	-2.1615135222406984e-01	-2.2372644873783676e-01	-1.1106662608797567e-01	-1.3654910154418959e-01	-1.4952669902887641e-01	-3.8672618816441795e-02	-1.7950923977044853e-01	-1.5598441458702064e-01	-1.2189635414072307e-01	-5.3197773201019941e-02	-1.3372738971653880e-01	-1.0198105442477957e-01	-9.5003329466204336e-02	-5.6674004348826905e-02	-8.0947855336590893e-02	-1.3177226274948192e-01	-1.5297752261073153e-01	3.8729833462074170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-1.5267243154856924e-01	-4.3187258061348405e-01	-5.6634585686250305e-01	-3.6306295765694185e-01	-2.5400712471200965e-01	-5.8263022572186984e-01	-7.2814487384063353e-01	-5.0951564821004214e-01	-1.5024386037191567e-01	-9.1361568457287845e-01	-5.3818260254979033e-01	-9.4177477441431101e-01	-6.0964587760512212e-01	-5.3007349770883760e-01	-5.9572068169205594e-01	-3.8083509560541233e-02	-6.1468823911852002e-02	-8.4115791088529721e-02	-1.5384562070671431e-01	-9.8514826806801320e-02	-2.1722748283923435e-01	-2.2484230714452005e-01	-1.1161761610017498e-01	-1.3722883905507260e-01	-1.5027039982433693e-01	-3.8865575038023792e-02	-1.8040527118033056e-01	-1.5676281697913216e-01	-1.2250574589481553e-01	-5.3463331054966631e-02	-1.3439646613786385e-01	-1.0249127196779019e-01	-9.5478664738422842e-02	-5.6956450458413750e-02	-8.1352198556968902e-02	-1.3242928745276655e-01	-1.5373908815749451e-01	3.8633353301687836e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-1.5298346055037954e-01	-4.3120071173924002e-01	-5.6739178588723815e-01	-3.6345961216271178e-01	-2.5378590672050649e-01	-5.8398673098548437e-01	-7.2828985438948246e-01	-5.0980998760595320e-01	-1.4898272337767218e-01	-9.1683016477605339e-01	-5.3953219763720206e-01	-9.4425963278463210e-01	-6.1030002696620644e-01	-5.3181999960592108e-01	-5.9694453006954584e-01	-3.8273538405006843e-02	-6.1774518487607004e-02	-8.4533151859180200e-02	-1.5460155240570933e-01	-9.8998506900408026e-02	-2.1829420405477912e-01	-2.2595247250306277e-01	-1.1215978057558294e-01	-1.3790246243349924e-01	-1.5100608539187851e-01	-3.9057701743308797e-02	-1.8129816508935642e-01	-1.5753811002443446e-01	-1.2311492828110594e-01	-5.3728003516734110e-02	-1.3506639352785704e-01	-1.0300209295539167e-01	-9.5954617139776127e-02	-5.7237001700862516e-02	-8.1755714648464345e-02	-1.3308253352418978e-01	-1.5449384497928151e-01	3.8537568574284098e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-1.5329623862272981e-01	-4.3046613115879001e-01	-5.6838133869672924e-01	-3.6383190101644924e-01	-2.5354799216345486e-01	-5.8532031882301794e-01	-7.2832475460063673e-01	-5.1006597299939915e-01	-1.4769958568232003e-01	-9.1998025205620482e-01	-5.4086900762526191e-01	-9.4666816539042975e-01	-6.1090540685906347e-01	-5.3356110931492950e-01	-5.9813672815443331e-01	-3.8463933407347994e-02	-6.2080103149976994e-02	-8.4949701808512162e-02	-1.5535095423983578e-01	-9.9477724340864118e-02	-2.1935128495305181e-01	-2.2705672814387995e-01	-1.1269291377818266e-01	-1.3856982723125780e-01	-1.5173353296408507e-01	-3.9248975599892107e-02	-1.8218775960457864e-01	-1.5831018996650825e-01	-1.2372385753270573e-01	-5.3991755732927749e-02	-1.3573712966624163e-01	-1.0351348568946395e-01	-9.6431156170541266e-02	-5.7515587682502332e-02	-8.2158351042664252e-02	-1.3373184323386145e-01	-1.5524154640101048e-01	3.8442489240030611e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-1.5361088320148358e-01	-4.2966890049550083e-01	-5.6931373237099925e-01	-3.6417967085594305e-01	-2.5329342743062905e-01	-5.8663081658017713e-01	-7.2824879066026427e-01	-5.1028357319058426e-01	-1.4639468267591865e-01	-9.2306434717278840e-01	-5.4219293979209648e-01	-9.4899919624549323e-01	-6.1146164030861405e-01	-5.3529670482591052e-01	-5.9929690865028529e-01	-3.8654689057433737e-02	-6.2385554131427864e-02	-8.5365392629716416e-02	-1.5609366121239923e-01	-9.9952349618631392e-02	-2.2039850113248552e-01	-2.2815485937203037e-01	-1.1321681443906036e-01	-1.3923079278126260e-01	-1.5245252257454084e-01	-3.9439373710230007e-02	-1.8307389289016382e-01	-1.5907895472926642e-01	-1.2433249019444391e-01	-5.4254553126082468e-02	-1.3640863198834458e-01	-1.0402541840715038e-01	-9.6908250897678697e-02	-5.7792138282710279e-02	-8.2560055128536564e-02	-1.3437705948678413e-01	-1.5598194619845263e-01	3.8348125365819663e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-1.5392751332584231e-01	-4.2880912948640620e-01	-5.7018820389636660e-01	-3.6450277677943166e-01	-2.5302226853357740e-01	-5.8791805886568727e-01	-7.2806125704298519e-01	-5.1046277579932753e-01	-1.4506826428022629e-01	-9.2608086328181516e-01	-5.4350390663055026e-01	-9.5125158169408841e-01	-6.1196837141923865e-01	-5.3702666353896222e-01	-6.0042471641265605e-01	-3.8845799964074453e-02	-6.2690847983952136e-02	-8.5780176078043210e-02	-1.5682951201945869e-01	-1.0042225457252980e-01	-2.2143563493442647e-01	-2.2924665361247809e-01	-1.1373128597705690e-01	-1.3988522231677628e-01	-1.5316283726479066e-01	-3.9628873612862860e-02	-1.8395640325255058e-01	-1.5984430397907287e-01	-1.2494078311902566e-01	-5.4516361407632073e-02	-1.3708085757881572e-01	-1.0453785928662142e-01	-9.7385869943937303e-02	-5.8066583711186413e-02	-8.2960774272209784e-02	-1.3501802597384757e-01	-1.5671479880852715e-01	3.8254487124436545e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-1.5424624954490970e-01	-4.2788697616131216e-01	-5.7100401093890585e-01	-3.6480108237227676e-01	-2.5273458117033770e-01	-5.8918188737626442e-01	-7.2776152819978246e-01	-5.1060358703724695e-01	-1.4372059498097092e-01	-9.2902822755603487e-01	-5.4480182585408554e-01	-9.5342421165269653e-01	-6.1242526576155099e-01	-5.3875086214681989e-01	-6.0151980882917133e-01	-3.9037260856625795e-02	-6.2995961582236665e-02	-8.6194003982389286e-02	-1.5755834918534584e-01	-1.0088731249498969e-01	-2.2246247565514304e-01	-2.3033190055063077e-01	-1.1423613671191704e-01	-1.4053298308154721e-01	-1.5386426328861441e-01	-3.9817453281853432e-02	-1.8483512922484360e-01	-1.6060613918342342e-01	-1.2554869346093589e-01	-5.4777146589905873e-02	-1.3775376316428239e-01	-1.0505077645214239e-01	-9.7863981476336209e-02	-5.8338854565419394e-02	-8.3360455836372013e-02	-1.3565458732449212e-01	-1.5743985954241674e-01	3.8161584793641832e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-1.5456721382173236e-01	-4.2690264693205632e-01	-5.7176043260594334e-01	-3.6507445971990971e-01	-2.5243044077790283e-01	-5.9042215070166648e-01	-7.2734906012149803e-01	-5.1070603144111815e-01	-1.4235195384696742e-01	-9.3190488281922967e-01	-5.4608662039462519e-01	-9.5551601081480053e-01	-6.1283201073585658e-01	-5.4046917651185200e-01	-6.0258185618770754e-01	-3.9229066586220093e-02	-6.3300872125173949e-02	-8.6606828256060309e-02	-1.5828001918959694e-01	-1.0134739823558281e-01	-2.2347881974224085e-01	-2.3141039226782228e-01	-1.1473118006933831e-01	-1.4117394643044029e-01	-1.5455659031319438e-01	-4.0005091124397929e-02	-1.8570990965028988e-01	-1.6136436366604984e-01	-1.2615617866805970e-01	-5.5036874997106924e-02	-1.3842730510491877e-01	-1.0556413797841141e-01	-9.8342553194019647e-02	-5.8608881888227084e-02	-8.3759047199244846e-02	-1.3628658926078521e-01	-1.5815688480117648e-01	3.8069428755165831e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-1.5489052943503809e-01	-4.2585639659068231e-01	-5.7245677019475028e-01	-3.6532278940693752e-01	-2.5210993257204650e-01	-5.9163870411036656e-01	-7.2682339177257382e-01	-5.1077015156790406e-01	-1.4096263453592006e-01	-9.3470928919185325e-01	-5.4735821839228838e-01	-9.5752593981621359e-01	-6.1318831591163392e-01	-5.4218148153760903e-01	-6.0361054203175624e-01	-3.9421212126619712e-02	-6.3605557135681945e-02	-8.7018600906685659e-02	-1.5899437258487314e-01	-1.0180238830261218e-01	-2.2448447097474863e-01	-2.3248192337142312e-01	-1.1521623477734307e-01	-1.4180798792016908e-01	-1.5523961161676744e-01	-4.0191765976569135e-02	-1.8658058376468253e-01	-1.6211888265830982e-01	-1.2676319647100370e-01	-5.5295513275230156e-02	-1.3910143938491121e-01	-1.0607791189413905e-01	-9.8821552315488961e-02	-5.8876597225253138e-02	-8.4156495773087162e-02	-1.3691387875264038e-01	-1.5886563229348966e-01	3.7978029493613037e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-1.5521632087890885e-01	-4.2474852821556580e-01	-5.7309234792761032e-01	-3.6554596050231924e-01	-2.5177315157416746e-01	-5.9283140931644662e-01	-7.2618414639003337e-01	-5.1079600765208355e-01	-1.3955294528672849e-01	-9.3743992574526891e-01	-5.4861655317701707e-01	-9.5945299635849479e-01	-6.1349391334240189e-01	-5.4388765103506898e-01	-6.0460556350213790e-01	-3.9613692574687671e-02	-6.3909994458803812e-02	-8.7429274045266084e-02	-1.5970126410548138e-01	-1.0225216096254028e-01	-2.2547924062619309e-01	-2.3354629111928557e-01	-1.1569112505341961e-01	-1.4243498738976695e-01	-1.5591312428234985e-01	-4.0377457097159362e-02	-1.8744699127754549e-01	-1.6286960334674772e-01	-1.2736970487010163e-01	-5.5553028400878939e-02	-1.3977612160180869e-01	-1.0659206618483817e-01	-9.9300945565213461e-02	-5.9141932682298268e-02	-8.4552749022186555e-02	-1.3753630417390375e-01	-1.5956586125521793e-01	3.7887397595275027e+00
