# Parameters
$ K = 2
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-4.9929763922183412e-01	-8.4771369120752438e-01	-4.0731924811546016e-01	-6.2955413744221589e-01	-7.3458872706182976e-01	-7.6640784455605560e-01	-5.9143966237079659e-01	-3.7221302533218437e-01	-2.7294253474133545e-01	2.8252878517951907e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-5.0513660704744201e-01	-8.5243231956552812e-01	-4.0985844604129340e-01	-6.3301129789474464e-01	-7.3834102891656928e-01	-7.6862570553693177e-01	-5.9410244648252941e-01	-3.7365496106682866e-01	-2.7123395657114485e-01	2.8188588344779100e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-5.1098677383381563e-01	-8.5710379267297798e-01	-4.1241253081311074e-01	-6.3648322366467547e-01	-7.4209575473316025e-01	-7.7080819875761963e-01	-5.9677063613445347e-01	-3.7510462777663311e-01	-2.6949167103120808e-01	2.8124750459805807e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-5.1684591808661806e-01	-8.6172563751776032e-01	-4.1498128605935741e-01	-6.3996959134466269e-01	-7.4585238761882511e-01	-7.7295458322467159e-01	-5.9944407861217541e-01	-3.7656209124430579e-01	-2.6771589932981604e-01	2.8061367282645344e+00
7.2499999999999995e-02	9.2749999999999999e-01	7.2499999999999995e-02	-5.2271175483538745e-01	-8.6629535722967344e-01	-4.1756448127958468e-01	-6.4347005904837873e-01	-7.4961040058545425e-01	-7.7506412087304322e-01	-6.0212261856373572e-01	-3.7802741489832214e-01	-2.6590688101004034e-01	2.7998441228548070e+00
7.4999999999999997e-02	9.2500000000000004e-01	7.4999999999999997e-02	-5.2858193663511099e-01	-8.7081043333768382e-01	-4.2016187163584812e-01	-6.4698426599917502e-01	-7.5336925656897613e-01	-7.7713607704339005e-01	-6.0480609801205543e-01	-3.7950065964544138e-01	-2.6406487404422213e-01	2.7935974708053206e+00
7.7499999999999999e-02	9.2249999999999999e-01	7.7499999999999999e-02	-5.3445405472432683e-01	-8.7526832815020228e-01	-4.2277319776094058e-01	-6.5051183213107666e-01	-7.5712840845482543e-01	-7.7916972096667436e-01	-6.0749435636847371e-01	-3.8098188370062913e-01	-2.6219015491114983e-01	2.7873970126639422e+00
8.0000000000000002e-02	9.2000000000000004e-01	8.0000000000000002e-02	-5.4032564034332542e-01	-8.7966648725759422e-01	-4.2539818558458709e-01	-6.5405235770362047e-01	-7.6088729910960695e-01	-7.8116432625562882e-01	-6.1018723044731560e-01	-3.8247114241456603e-01	-2.6028301865546394e-01	2.7812429884374361e+00
8.2500000000000004e-02	9.1749999999999998e-01	8.2500000000000004e-02	-5.4619416621561534e-01	-8.8400234215570350e-01	-4.2803654617874015e-01	-6.5760542293208690e-01	-7.6464536141908612e-01	-7.8311917140267984e-01	-6.1288455448143864e-01	-3.8396848809891460e-01	-2.5834377892883631e-01	2.7751356375563194e+00
8.5000000000000006e-02	9.1500000000000004e-01	8.5000000000000006e-02	-5.5205704819535717e-01	-8.8827331298866485e-01	-4.3068797562307726e-01	-6.6117058763469716e-01	-7.6840201833260191e-01	-7.8503354028381633e-01	-6.1558616013869683e-01	-3.8547396984954546e-01	-2.5637276801250541e-01	2.7690751988396558e+00
