# Parameters
$ K = 2
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-4.0504679357074164e-01	-5.4375363945423039e-01	-8.9706771521214601e-01	-4.7670124339078879e-01	-1.1980686295335312e-01	-2.6527958564244103e-01	-5.1571518617326850e-01	-2.6584305800224556e-01	-1.1553761062105905e-01	3.0000000000000000e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.0767126143124899e-01	-5.4768186557763165e-01	-9.0214595788781216e-01	-4.8050480467991957e-01	-1.2355426818928461e-01	-2.6758406738643625e-01	-5.1945862061893489e-01	-2.6829893123786908e-01	-1.1730341309142982e-01	2.9925184206128455e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.1031762548679179e-01	-5.5163722813950855e-01	-9.0722811949932403e-01	-4.8433753592871387e-01	-1.2735859572978445e-01	-2.6991531459646151e-01	-5.2322736339573617e-01	-2.7078222189412215e-01	-1.1909324079179268e-01	2.9850737773863458e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.1298602434166154e-01	-5.5561958102899844e-01	-9.1231332480183280e-01	-4.8819931111641707e-01	-1.3122001319102206e-01	-2.7227356111678930e-01	-5.2702129505378659e-01	-2.7329309738281155e-01	-1.2090728038894230e-01	2.9776662117582688e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.1567659405345786e-01	-5.5962875941691548e-01	-9.1740067625074628e-01	-4.9208998392350134e-01	-1.3513865968031893e-01	-2.7465903549667203e-01	-5.3084028215834000e-01	-2.7583171566596626e-01	-1.2274571303988538e-01	2.9702958638537620e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.1838946794549914e-01	-5.6366457901617661e-01	-9.2248925387026492e-01	-4.9600938689355506e-01	-1.3911464452437225e-01	-2.7707196054200539e-01	-5.3468417677981828e-01	-2.7839822464160996e-01	-1.2460871398612866e-01	2.9629628724526573e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.2112477641228518e-01	-5.6772683532792079e-01	-9.2757811513718291e-01	-4.9995733057859626e-01	-1.4314804597597725e-01	-2.7951255285055865e-01	-5.3855281597254823e-01	-2.8099276150980301e-01	-1.2649645213306790e-01	2.9556673749571609e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.2388264671791265e-01	-5.7181530287384419e-01	-9.3266629488075725e-01	-5.0393360266851162e-01	-1.4723890990042879e-01	-2.8198102233059091e-01	-5.4244602124238739e-01	-2.8361545211896599e-01	-1.2840908961430028e-01	2.9484095073599592e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.2666320278729636e-01	-5.7592973441544126e-01	-9.3775280519942417e-01	-5.0793796710538497e-01	-1.5138724844291551e-01	-2.8447757170271715e-01	-5.4636359800340795e-01	-2.8626641029253852e-01	-1.3034678134070737e-01	2.9411894042127962e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.2946656499011754e-01	-5.8006986016084627e-01	-9.4283663539519713e-01	-5.1197016318360511e-01	-1.5559303867834640e-01	-2.8700239598491495e-01	-5.5030533502389090e-01	-2.8894573713608523e-01	-1.3230967453418593e-01	2.9340071985955594e+00
