# Parameters
$ K = 3
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-5.2505386368819085e-01	-8.3207853292422229e-01	-3.8226113503940795e-01	-8.2753649140105690e-01	-3.1666128275173872e-01	-7.1938677998830314e-01	-8.7114670275309980e-01	-2.8562917364555385e-01	-4.0912290346818120e-01	-6.4406590791680618e-01	-8.1340654573132176e-01	-5.6176948967590945e-01	2.9746221983281149e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-5.3059450763435345e-01	-8.4117090159996477e-01	-3.9117493621671179e-01	-8.3247085049558656e-01	-3.2302917095009626e-01	-7.3162322316506601e-01	-8.7920768160933016e-01	-2.8995614544636161e-01	-4.1292004095034729e-01	-6.5249095564171156e-01	-8.1912822352994874e-01	-5.6542527992727931e-01	2.9672141858760712e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-5.3620704388417328e-01	-8.5036900143810035e-01	-4.0022625061714084e-01	-8.3743211329530476e-01	-3.2951200398354336e-01	-7.4400722610021508e-01	-8.8735337238547041e-01	-2.9434473745957157e-01	-4.1677587872063870e-01	-6.6102878469602067e-01	-8.2488622741022799e-01	-5.6910986848799094e-01	2.9598630212209662e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-5.4189202084758803e-01	-8.5967209124788602e-01	-4.0941547221686420e-01	-8.4242011248059434e-01	-3.3611075098369914e-01	-7.5653667765153809e-01	-8.9558335590798699e-01	-2.9879556823733883e-01	-4.2069135626346743e-01	-6.6967927198848776e-01	-8.3068022732511870e-01	-5.7282336180918592e-01	2.9525683381686183e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-5.4764994445721837e-01	-8.6907925889145587e-01	-4.1874288583718894e-01	-8.4743465906535098e-01	-3.4282631154385590e-01	-7.6920919459336823e-01	-9.0389709294619158e-01	-3.0330924455495928e-01	-4.2466740764458172e-01	-6.7844216185371475e-01	-8.3650985867562111e-01	-5.7656585863021281e-01	2.9453297587556051e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-5.5348127414332216e-01	-8.7858941161630821e-01	-4.2820865970287753e-01	-8.5247554113905077e-01	-3.4965950983815181e-01	-7.8202210927947946e-01	-9.1229391703672180e-01	-3.0788635997712088e-01	-4.2870495955994559e-01	-6.8731705793372677e-01	-8.4237472055722873e-01	-5.8033744951740962e-01	2.9381468931365289e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-5.5938641860443461e-01	-8.8820126616948714e-01	-4.3781283771552365e-01	-8.5754252255270624e-01	-3.5661108849060519e-01	-7.9497245720025911e-01	-9.2077302710304609e-01	-3.1252749334434310e-01	-4.3280492925102065e-01	-6.9630341483445457e-01	-8.4827437394103311e-01	-5.8413821638362617e-01	2.9310193394737145e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-5.6536573137141521e-01	-8.9791333871476764e-01	-4.4755533144545950e-01	-8.6263534154764177e-01	-3.6368170219477608e-01	-8.0805696447605868e-01	-9.2933347988067760e-01	-3.1723320717746500e-01	-4.3696822228212429e-01	-7.0540052957067145e-01	-8.5420833978950450e-01	-5.8796823198792070e-01	2.9239466838298549e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-5.7141950616350468e-01	-9.0772393457746392e-01	-4.5743591184752136e-01	-8.6775370932623896e-01	-3.7087191108617806e-01	-8.2127203533319548e-01	-9.3797418216100714e-01	-3.2200404599817950e-01	-4.4119573017579689e-01	-7.1460753281546441e-01	-8.6017609710735499e-01	-5.9182755941489518e-01	2.9169285000641270e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-5.7754797203597330e-01	-9.1763113784499861e-01	-4.6745420070812871e-01	-8.7289730856394687e-01	-3.7818217387111019e-01	-8.3461373961396346e-01	-9.4669388286891698e-01	-3.2684053456382062e-01	-4.4548832790242637e-01	-7.2392337997304612e-01	-8.6617708092824197e-01	-5.9571625153315733e-01	2.9099643497323844e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-5.8375128832007139e-01	-9.2763280085508204e-01	-4.7760966183340098e-01	-8.7806579186210409e-01	-3.8561284071723156e-01	-8.4807780037697689e-01	-9.5549116499189890e-01	-3.3174317601484105e-01	-4.4984687122074452e-01	-7.3334684209665824e-01	-8.7221068023852699e-01	-5.9963435043240187e-01	2.9030537819920403e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-5.9002953935723135e-01	-9.3772653360727676e-01	-4.8790159199051969e-01	-8.8325878014135328e-01	-3.9316414591305765e-01	-8.6165958164934331e-01	-9.6436443738101385e-01	-3.3671244993366778e-01	-4.5427219386624368e-01	-7.4287649667637901e-01	-8.7827623583975023e-01	-6.0358188683863601e-01	2.8961963335123460e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-5.9638272903085121e-01	-9.4790969313782636e-01	-4.9832911161726212e-01	-8.8847586097573295e-01	-4.0083620030553169e-01	-8.7535407639748319e-01	-9.7331192644689402e-01	-3.4174881031394100e-01	-4.5876510458508413e-01	-7.5251071832494154e-01	-8.8437303815202295e-01	-6.0755887950713527e-01	2.8893915283907710e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-6.0281077510050518e-01	-9.5817937290189936e-01	-5.0889115531752949e-01	-8.9371658686782895e-01	-4.0862898352699667e-01	-8.8915589478875678e-01	-9.8233166777693259e-01	-3.4685268343948178e-01	-4.6332638401163184e-01	-7.6224766939306976e-01	-8.9050032496107945e-01	-6.1156533459271190e-01	2.8826388780762944e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-6.0931350334506951e-01	-9.6853239221183784e-01	-5.1958646216382498e-01	-8.9898047346574150e-01	-4.1654233602519875e-01	-9.0305925282154398e-01	-9.9142149770296939e-01	-3.5202446567271617e-01	-4.6795678138843855e-01	-7.7208529054944297e-01	-8.9665727911236537e-01	-6.1560124499696345e-01	2.8759378813004206e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-6.1589064152307649e-01	-9.7896528578457398e-01	-5.3041356583095955e-01	-9.0426699772302077e-01	-4.2457595091245370e-01	-9.1705796140687457e-01	-1.0005790448520551e+00	-3.5726452115273000e-01	-4.7265701112821112e-01	-7.8202129136411036e-01	-9.0284302615619616e-01	-6.1966658969221777e-01	2.8692880240168246e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-6.2254181316053381e-01	-9.8947429345602489e-01	-5.4137078458881782e-01	-9.0957559600315319e-01	-4.3272936565273928e-01	-9.3114541599009804e-01	-1.0098017217162751e+00	-3.6257317940360323e-01	-4.7742774921816084e-01	-7.9205314093798607e-01	-9.0905663194871800e-01	-6.2376133302193193e-01	2.8626887793505507e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-6.2926653117855380e-01	-1.0000553501250278e+00	-5.5245621118573440e-01	-9.1490566213067193e-01	-4.4100195360828048e-01	-9.4531458680644620e-01	-1.0190867162811408e+00	-3.6795073285419089e-01	-4.8226962946803342e-01	-8.0217805862503111e-01	-9.1529710021418198e-01	-6.2788542397741787e-01	2.8561396075577736e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-6.3606419137535597e-01	-1.0107040759941590e+00	-5.6366770265796995e-01	-9.2025654539147195e-01	-4.4939291547015181e-01	-9.5955800986946505e-01	-1.0284309837556591e+00	-3.7339743427113026e-01	-4.8718323960413984e-01	-8.1239300489767585e-01	-9.2156337007485145e-01	-6.3203879545081521e-01	2.8496399559971590e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-6.4293406577961465e-01	-1.0214157671795210e+00	-5.7500287010486084e-01	-9.2562754848550632e-01	-4.5790127060048974e-01	-9.7386777879624131e-01	-1.0378312384509063e+00	-3.7891349410745234e-01	-4.9216911721280732e-01	-8.2269467241009442e-01	-9.2785431355570014e-01	-6.3622136346433933e-01	2.8431892591139323e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-6.4987529589458337e-01	-1.0321853867663040e+00	-5.8645906847346985e-01	-9.3101792543561812e-01	-4.6652584831714561e-01	-9.8823553757793658e-01	-1.0472839458576035e+00	-3.8449907776988151e-01	-4.9722774553788407e-01	-8.3307947731797805e-01	-9.3416873307198123e-01	-6.4043302637594723e-01	2.8367869384377986e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-6.5688688585513044e-01	-1.0430075563914993e+00	-5.9803338640094361e-01	-9.3642687945694891e-01	-4.7526527915490341e-01	-1.0026524744083918e+00	-1.0567853149769757e+00	-3.9015430280863811e-01	-5.0235954913820580e-01	-8.4354355091742683e-01	-9.4050535890867371e-01	-6.4467366406166005e-01	2.8304324025959255e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-6.6396769552250323e-01	-1.0538765484395651e+00	-6.0972263616724498e-01	-9.4185356079204963e-01	-4.8411798614081919e-01	-1.0171093166872491e+00	-1.0663312909628611e+00	-3.9587923603434372e-01	-5.0756488941233135e-01	-8.5408273166948823e-01	-9.4686284670180432e-01	-6.4894313707492812e-01	2.8241250473422470e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-6.7111643354454442e-01	-1.0647862789409852e+00	-6.2152334381550067e-01	-9.4729706451757700e-01	-4.9308217612470179e-01	-1.0315963273172235e+00	-1.0759175481366596e+00	-4.0167389056746816e-01	-5.1284405999933103e-01	-8.6469255768065478e-01	-9.5323977493264000e-01	-6.5324128578354645e-01	2.8178642556043756e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-6.7833165041199284e-01	-1.0757303012675394e+00	-6.3343173950174836e-01	-9.5275642832922347e-01	-5.0215583120926433e-01	-1.0461033024175563e+00	-1.0855394834402630e+00	-4.0753822282663615e-01	-5.1819728206597016e-01	-8.7536825971315491e-01	-9.5963464244678109e-01	-6.5756792948480380e-01	2.8116493975494912e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-6.8561173154450716e-01	-1.0867018007215110e+00	-6.4544374814043193e-01	-9.5823063031237576e-01	-5.1133670032800482e-01	-1.0606195705774024e+00	-1.0951922103954483e+00	-4.1347212946306316e-01	-5.2362469949225621e-01	-8.8610475480224971e-01	-9.6604586601125031e-01	-6.6192286549968704e-01	2.8054798306705822e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-6.9295489044308478e-01	-1.0976935901190628e+00	-6.5755498041648963e-01	-9.6371858670683719e-01	-5.2062229102234936e-01	-1.0751339937736117e+00	-1.1048705536413450e+00	-4.1947544424931377e-01	-5.2912637396906281e-01	-8.9689664056067531e-01	-9.7247177792372641e-01	-6.6630586824716542e-01	2.7993548998944884e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-7.0035916194860215e-01	-1.1086981064703614e+00	-6.6976072423922250e-01	-9.6921914967485456e-01	-5.3000986147301521e-01	-1.0896349700771120e+00	-1.1145690441244558e+00	-4.2554793493163429e-01	-5.3470228002328257e-01	-9.0773819025302882e-01	-9.7891062368911741e-01	-6.7071668829975239e-01	2.7932739377131917e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-7.0782239564923588e-01	-1.1197074088608265e+00	-6.8205593671731624e-01	-9.7473110508256899e-01	-5.3949641284385375e-01	-1.1041104382707529e+00	-1.1242819150182193e+00	-4.3168930005610373e-01	-5.4035229998780832e-01	-9.1862334872499485e-01	-9.8536055977974990e-01	-6.7515505142176246e-01	2.7872362643398905e+00
