# Parameters
$ K = 3
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
8.2500000000000004e-02	9.1749999999999998e-01	8.2500000000000004e-02	-8.7603324755511458e-01	-2.1806960020593266e-01	-3.8087411453372311e-01	-5.7690024155113206e-01	-2.5271608691297232e-01	-6.2542539682706089e-01	-3.9603437847032447e-01	-2.0597846396473207e-01	-6.7385973810847899e-01	2.3803136167246426e+00
8.5000000000000006e-02	9.1500000000000004e-01	8.5000000000000006e-02	-8.7730747129698083e-01	-2.1388018560652261e-01	-3.7871241972021824e-01	-5.7491976462240613e-01	-2.5054379915487907e-01	-6.2301051314937139e-01	-3.9571082578868089e-01	-2.0409703278925223e-01	-6.7351967183869677e-01	2.3758745290590486e+00
8.7499999999999994e-02	9.1249999999999998e-01	8.7499999999999994e-02	-8.7856141413250799e-01	-2.0968527027318692e-01	-3.7655879516841800e-01	-5.7290581980889976e-01	-2.4839353239177267e-01	-6.2056155407241842e-01	-3.9539070245168068e-01	-2.0221306499131200e-01	-6.7316258635115578e-01	2.3715149951606112e+00
8.9999999999999997e-02	9.1000000000000003e-01	8.9999999999999997e-02	-8.7979486286225583e-01	-2.0548585014606577e-01	-3.7441389380807677e-01	-5.7085871038755198e-01	-2.4626602811064879e-01	-6.1807894908891792e-01	-3.9507432234862633e-01	-2.0032675924735982e-01	-6.7278872241725696e-01	2.3672364230953757e+00
9.2499999999999999e-02	9.0749999999999997e-01	9.2499999999999999e-02	-8.8100759570043174e-01	-2.0128292514716620e-01	-3.7227834524061448e-01	-5.6877874969464814e-01	-2.4416201078258809e-01	-6.1556313315880185e-01	-3.9476199635842324e-01	-1.9843831152388325e-01	-6.7239831947276207e-01	2.3630402378671955e+00
9.5000000000000001e-02	9.0500000000000003e-01	9.5000000000000001e-02	-8.8219938208752757e-01	-1.9707749927147025e-01	-3.7015275495122113e-01	-5.6666626130356124e-01	-2.4208218707113810e-01	-6.1301454690061186e-01	-3.9445403202616003e-01	-1.9654791525219595e-01	-6.7199161530018003e-01	2.3589278812215433e+00
9.7500000000000003e-02	9.0249999999999997e-01	9.7500000000000003e-02	-8.8336998251035781e-01	-1.9287058068488994e-01	-3.6803770354354398e-01	-5.6452157920872537e-01	-2.4002724503338591e-01	-6.1043363679990381e-01	-3.9415073323149169e-01	-1.9465576151892786e-01	-6.7156884570484943e-01	2.3549008114185161e+00
1.0000000000000001e-01	9.0000000000000002e-01	1.0000000000000001e-01	-8.8451914833018597e-01	-1.8866318182713379e-01	-3.6593374599873835e-01	-5.6234504801552021e-01	-2.3799785331438036e-01	-6.0782085543389464e-01	-3.9385239984879705e-01	-1.9276203927220226e-01	-6.7113024418484724e-01	2.3509605029736367e+00
1.0249999999999999e-01	8.9749999999999996e-01	1.0249999999999999e-01	-8.8564662161962215e-01	-1.8445631951743033e-01	-3.6384141096074313e-01	-5.6013702313569735e-01	-2.3599466033567798e-01	-6.0517666171152207e-01	-3.9355932739910898e-01	-1.9086693554342904e-01	-6.7067604159490324e-01	2.3471084463650413e+00
1.0500000000000000e-01	8.9500000000000002e-01	1.0500000000000000e-01	-8.8675213500906114e-01	-1.8025101506092675e-01	-3.6176120004970630e-01	-5.5789787098792198e-01	-2.3401829347892109e-01	-6.0250152112792510e-01	-3.9327180669383643e-01	-1.8897063568459019e-01	-6.7020646580456300e-01	2.3433461477056627e+00
1.0750000000000000e-01	8.9249999999999996e-01	1.0750000000000000e-01	-8.8783541154344159e-01	-1.7604829435346206e-01	-3.5969358720557953e-01	-5.5562796920295565e-01	-2.3206935826547137e-01	-5.9979590603231092e-01	-3.9299012347035278e-01	-1.8707332362084142e-01	-6.6972174135086782e-01	2.3396751283790147e+00
1.1000000000000000e-01	8.9000000000000001e-01	1.1000000000000000e-01	-8.8889616455018428e-01	-1.7184918798229926e-01	-3.5763901806395854e-01	-5.5332770683292432e-01	-2.3014843753327793e-01	-5.9706029590799714e-01	-3.9271455801953842e-01	-1.8517518211818051e-01	-6.6922208908592107e-01	2.3360969246372254e+00
1.1250000000000000e-01	8.8749999999999996e-01	1.1250000000000000e-01	-8.8993409751918506e-01	-1.6765473132028055e-01	-3.5559790936632529e-01	-5.5099748456407982e-01	-2.2825609061229141e-01	-5.9429517766336493e-01	-3.9244538480542729e-01	-1.8327639306587964e-01	-6.6870772581972227e-01	2.3326130871599799e+00
1.1500000000000000e-01	8.8500000000000001e-01	1.1500000000000000e-01	-8.9094890399579740e-01	-1.6346596461078863e-01	-3.5357064840691482e-01	-5.4863771493236591e-01	-2.2639285249989410e-01	-5.9150104593230568e-01	-3.9218287207713609e-01	-1.8137713777329140e-01	-6.6817886395876402e-01	2.3292251805730610e+00
1.1749999999999999e-01	8.8250000000000006e-01	1.1749999999999999e-01	-8.9194026748779320e-01	-1.5928393304076011e-01	-3.5155759251849611e-01	-5.4624882254106366e-01	-2.2455923303796607e-01	-5.8867840338265565e-01	-3.9192728147331568e-01	-1.7947759728058313e-01	-6.6763571114092468e-01	2.3259347829252373e+00
1.2000000000000000e-01	8.8000000000000000e-01	1.2000000000000000e-01	-8.9290786138731371e-01	-1.5510968679894796e-01	-3.4955906859940356e-01	-5.4383124427969265e-01	-2.2275571609336833e-01	-5.8582776103099077e-01	-3.9167886761940596e-01	-1.7757795268285312e-01	-6.6707846986726771e-01	2.3227434851222659e+00
1.2250000000000000e-01	8.7749999999999995e-01	1.2250000000000000e-01	-8.9385134890888507e-01	-1.5094428111652411e-01	-3.4757537268421956e-01	-5.4138542954327817e-01	-2.2098275874379394e-01	-5.8294963856204773e-01	-3.9143787771803668e-01	-1.7567838546701592e-01	-6.6650733713144283e-01	2.3196528903168616e+00
1.2500000000000000e-01	8.7500000000000000e-01	1.2500000000000000e-01	-8.9477038304460743e-01	-1.4678877628704978e-01	-3.4560676956054098e-01	-5.3891184045104057e-01	-2.1924079047108969e-01	-5.8004456465092080e-01	-3.9120455113297520e-01	-1.7377907786074367e-01	-6.6592250404745357e-01	2.3166646132535189e+00
1.2750000000000000e-01	8.7250000000000005e-01	1.2750000000000000e-01	-8.9566460653765601e-01	-1.4264423766279077e-01	-3.4365349243429721e-01	-5.3641095206344647e-01	-2.1753021236432502e-01	-5.7711307728609063e-01	-3.9097911896708715e-01	-1.7188021319267044e-01	-6.6532415547662771e-01	2.3137802795671680e+00
1.3000000000000000e-01	8.7000000000000000e-01	1.3000000000000000e-01	-8.9653365187529044e-01	-1.3851173562430188e-01	-3.4171574264611498e-01	-5.3388325259652003e-01	-2.1585139633507011e-01	-5.7415572409121574e-01	-3.9076180363482804e-01	-1.6998197626295583e-01	-6.6471246965472841e-01	2.3110015250347007e+00
1.3250000000000001e-01	8.6749999999999994e-01	1.3250000000000001e-01	-8.9737714130257218e-01	-1.3439234552017545e-01	-3.3979368944122507e-01	-5.3132924363221601e-01	-2.1420468434747217e-01	-5.7117306264355028e-01	-3.9055281842988199e-01	-1.6808455372322309e-01	-6.6408761782020220e-01	2.3083299947785139e+00
1.3500000000000001e-01	8.6499999999999999e-01	1.3500000000000001e-01	-8.9819468685804482e-01	-1.3028714757385182e-01	-3.3788746979540768e-01	-5.2874944032357563e-01	-2.1259038766591984e-01	-5.6816566078671971e-01	-3.9035236708859933e-01	-1.6618813446477360e-01	-6.6344976384465293e-01	2.3057673424212854e+00
1.3750000000000001e-01	8.6250000000000004e-01	1.3750000000000001e-01	-8.9898589043262900e-01	-1.2619722675436890e-01	-3.3599718829945635e-01	-5.2614437159330951e-01	-2.1100878612323290e-01	-5.6513409693552619e-01	-3.9016064334999362e-01	-1.6429291001387683e-01	-6.6279906386672161e-01	2.3033152291913273e+00
1.4000000000000001e-01	8.5999999999999999e-01	1.4000000000000001e-01	-8.9975034385302954e-01	-1.2212367260797426e-01	-3.3412291710458925e-01	-5.2351458032438869e-01	-2.0946012741246040e-01	-5.6207896037036498e-01	-3.8997783051311924e-01	-1.6239907493284156e-01	-6.6213566593060846e-01	2.3009753229779517e+00
1.4249999999999999e-01	8.5750000000000004e-01	1.4249999999999999e-01	-9.0048762899092316e-01	-1.1806757904755247e-01	-3.3226469593121338e-01	-5.2086062354111407e-01	-2.0794462640553277e-01	-5.5900085151875223e-01	-3.8980410099272389e-01	-1.6050682722544724e-01	-6.6145970963057876e-01	2.2987492973364230e+00
1.4499999999999999e-01	8.5499999999999998e-01	1.4499999999999999e-01	-9.0119731789924373e-01	-1.1403004409689822e-01	-3.3042253214333023e-01	-5.1818307257909513e-01	-2.0646246450214317e-01	-5.5590038222141269e-01	-3.8963961587417972e-01	-1.5861636874522822e-01	-6.6077132576286290e-01	2.2966388304421801e+00
1.4749999999999999e-01	8.5250000000000004e-01	1.4749999999999999e-01	-9.0187897297683639e-01	-1.1001216958693809e-01	-3.2859640089082326e-01	-5.1548251324247363e-01	-2.0501378901236389e-01	-5.5277817598032220e-01	-3.8948452446874754e-01	-1.5672790560498298e-01	-6.6007063598641658e-01	2.2946456039941747e+00
1.4999999999999999e-01	8.4999999999999998e-01	1.4999999999999999e-01	-9.0253214716276020e-01	-1.0601506080114080e-01	-3.2678624532171424e-01	-5.1275954594666329e-01	-2.0359871257662049e-01	-5.4963486818603935e-01	-3.8933896387033529e-01	-1.5484164858578001e-01	-6.5935775249411599e-01	2.2927713020672842e+00
1.5250000000000000e-01	8.4750000000000003e-01	1.5250000000000000e-01	-9.0315638416149902e-01	-1.0203982606746122e-01	-3.2499197686637038e-01	-5.1001478584482796e-01	-2.0221731262673781e-01	-5.4647110632166485e-01	-3.8920305851498854e-01	-1.5295781354363050e-01	-6.5863277769598438e-01	2.2910176099139523e+00
1.5500000000000000e-01	8.4499999999999997e-01	1.5500000000000000e-01	-9.0375121870027464e-01	-9.8087576294367235e-02	-3.2321347559544461e-01	-5.0724886293622928e-01	-2.0086963089186824e-01	-5.4328755014071850e-01	-3.8907691974443720e-01	-1.5107662181189305e-01	-6.5789580391614710e-01	2.2893862127153297e+00
1.5750000000000000e-01	8.4250000000000003e-01	1.5750000000000000e-01	-9.0431617681966359e-01	-9.4159424448647125e-02	-3.2145059065319181e-01	-5.0446242215455894e-01	-1.9955567295316651e-01	-5.4008487181624665e-01	-3.8896064537509772e-01	-1.4919830059738373e-01	-6.5714691310522422e-01	2.2878787942823933e+00
1.6000000000000000e-01	8.3999999999999997e-01	1.6000000000000000e-01	-9.0485077619860999e-01	-9.0256484972946818e-02	-3.1970314076754230e-01	-5.0165612343430432e-01	-1.9827540785112358e-01	-5.3686375605848446e-01	-3.8885431927402980e-01	-1.4732308336806943e-01	-6.5638617656995857e-01	2.2864970357076713e+00
1.6250000000000001e-01	8.3750000000000002e-01	1.6250000000000001e-01	-9.0535452651489479e-01	-8.6379873141220559e-02	-3.1797091483812345e-01	-4.9883064175314934e-01	-1.9702876774948636e-01	-5.3362490019842146e-01	-3.8875801094340245e-01	-1.4545121023014662e-01	-6.5561365472187116e-01	2.2852426139684034e+00
1.6500000000000001e-01	8.3499999999999996e-01	1.6500000000000001e-01	-9.0582692984202251e-01	-8.2530704350539746e-02	-3.1625367260312398e-01	-4.9598666714842604e-01	-1.9581564765968987e-01	-5.3036901423468941e-01	-3.8867177511512196e-01	-1.4358292829221778e-01	-6.5482939684678942e-01	2.2841172004821417e+00
1.6750000000000001e-01	8.3250000000000002e-01	1.6750000000000001e-01	-9.0626748108340660e-01	-7.8710093348033000e-02	-3.1455114538562901e-01	-4.9312490470555326e-01	-1.9463590522969856e-01	-5.2709682084124254e-01	-3.8859565135732671e-01	-1.4171849201422226e-01	-6.5403344089710902e-01	2.2831224596160000e+00
