# Parameters
$ K = 4
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-9.0930046355280747e-01	-5.9391678503495515e-01	-7.3772114429880176e-01	-5.1946397737192962e-01	-7.0914302226752801e-01	-4.1701022931233339e-01	-1.6913182479557701e-01	-4.1780324697255850e-01	-2.9247612970634623e-01	-6.0153678276693867e-01	-8.0845832538168994e-01	-2.8634133928594852e-01	-4.5393442669530698e-01	-2.8506539357712257e-01	-2.6560033668401889e-01	2.9944933007932244e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-9.1574800389076239e-01	-6.0041042251156973e-01	-7.4546438370998125e-01	-5.2679868541068653e-01	-7.1603756024051601e-01	-4.2451124481712038e-01	-1.7481006567148111e-01	-4.2498703872448090e-01	-3.0043145749339378e-01	-6.1006935236315585e-01	-8.1442384941978274e-01	-2.8987514685566257e-01	-4.5864924975867905e-01	-2.8902857252002062e-01	-2.7113599505394026e-01	2.9870347452091246e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-9.2223218266921425e-01	-6.0698039746196619e-01	-7.5329676940135804e-01	-5.3425336773266630e-01	-7.2300749924702723e-01	-4.3211665382965297e-01	-1.8060955744963691e-01	-4.3230568889530352e-01	-3.0856004886757893e-01	-6.1870926802970860e-01	-8.2043083746111201e-01	-2.9346525561396924e-01	-4.6343312489686450e-01	-2.9307183300426859e-01	-2.7677972627158859e-01	2.9796313143524245e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-9.2875236325720356e-01	-6.1362694518224437e-01	-7.6121857945969806e-01	-5.4182930697536524e-01	-7.3005289610530544e-01	-4.3982683437904069e-01	-1.8653174952419116e-01	-4.3976098360802240e-01	-3.1686395875573814e-01	-6.2745619626172289e-01	-8.2647896076166782e-01	-2.9711253798064741e-01	-4.6828717063238734e-01	-2.9719682746694964e-01	-2.8253269163521871e-01	2.9722826544572616e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-9.3530785996210941e-01	-6.2035024524329374e-01	-7.6923002723639955e-01	-5.4952772595623633e-01	-7.3717374163223270e-01	-4.4764210394955217e-01	-1.9257805029781130e-01	-4.4735466003932689e-01	-3.2534515513530521e-01	-6.3630967599607113e-01	-8.3256784969557773e-01	-3.0081786958634071e-01	-4.7321250761437650e-01	-3.0140521878581089e-01	-2.8839599973122548e-01	2.9649884011479055e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-9.4189793595277127e-01	-6.2715041750409239e-01	-7.7733125627294841e-01	-5.5734978108299682e-01	-7.4436995611408741e-01	-4.5556271574413243e-01	-1.9874982282723719e-01	-4.5508839984855398e-01	-3.3400550976897386e-01	-6.4526911105292328e-01	-8.3869709174647333e-01	-3.0458212840509569e-01	-4.7821025675904999e-01	-3.0569867810620249e-01	-2.9437070131989113e-01	2.9577481792621105e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-9.4852180112617268e-01	-6.3402751795296508e-01	-7.8552233496094215e-01	-5.6529655538878965e-01	-7.5164138458382634e-01	-4.6358885481281098e-01	-2.0504838025055241e-01	-4.6296382220756427e-01	-3.4284678844941763e-01	-6.5433376233876350e-01	-8.4486622943443201e-01	-3.0840619381714779e-01	-4.8328153721990325e-01	-3.1007888246789955e-01	-3.0045778397855688e-01	2.9505616026708190e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-9.5517860991870362e-01	-6.4098153437494099e-01	-7.9380325093002702e-01	-5.7336905118243431e-01	-7.5898779190384480e-01	-4.7172063404540976e-01	-2.1147498099110912e-01	-4.7098247641899493e-01	-3.5187064074441055e-01	-6.6350273981800756e-01	-8.5107475817869060e-01	-3.1229094559841009e-01	-4.8842746417800037e-01	-3.1454751222133676e-01	-3.0665816649958755e-01	2.9434282740944329e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-9.6186745906324178e-01	-6.4801238184394272e-01	-8.0217390515781661e-01	-5.8156818230490581e-01	-7.6640885765410294e-01	-4.7995809002841255e-01	-2.1803082373347987e-01	-4.7914583411104317e-01	-3.6107858923420649e-01	-6.7277499426232068e-01	-8.5732212409662278e-01	-3.1623726283303444e-01	-4.9364914644258007e-01	-3.1910624822269484e-01	-3.1297269304141839e-01	2.9363477849159083e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-9.6858738529375832e-01	-6.5511989803918380e-01	-8.1063410579661443e-01	-5.8989476598429624e-01	-7.7390417082646590e-01	-4.8830117876635026e-01	-2.2471704216730914e-01	-4.8745528099780100e-01	-3.7047201823481568e-01	-6.8214930878882540e-01	-8.6360772173973832e-01	-3.2024602274535330e-01	-4.9894768385205313e-01	-3.2375676879719395e-01	-3.1940212703200987e-01	2.9293197149909980e+00
