# Parameters
$ K = 4
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-6.5089231546274684e-01	-5.5586079777598818e-01	-8.2958803898108069e-01	-3.6592849274298955e-01	-2.8900261806755428e-01	-3.2637739383012287e-01	-4.6060518030541947e-01	-4.6958842528851175e-01	-4.5858742363869354e-01	-5.8725573203380010e-02	-9.7488542224591551e-02	-1.5354917089334572e-01	-1.3849526819714486e-01	-1.4640301522491364e-01	-1.6221966065116578e-01	-1.0500965063249489e-01	-1.7212637190399716e-01	-8.0991283980315631e-02	-1.2578467769433688e-01	-7.6841801281792257e-02	-3.2269822589615180e-02	2.2820995703575249e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.5235804200129255e-01	-5.5395455290712570e-01	-8.3175473464299055e-01	-3.6423347401826045e-01	-2.8457311651107819e-01	-3.2559765430919257e-01	-4.5994941385793348e-01	-4.6779223106026141e-01	-4.5923642761118638e-01	-5.9019312106841325e-02	-9.7975113454843582e-02	-1.5431771473159997e-01	-1.3918903747217623e-01	-1.4713515890159054e-01	-1.6303047051438771e-01	-1.0553264509261576e-01	-1.7298739214426376e-01	-8.1397067779123811e-02	-1.2641341135093948e-01	-7.7225366703875906e-02	-3.2431689804474501e-02	2.2764094056711617e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.5382484954412090e-01	-5.5201385068405040e-01	-8.3390467244904842e-01	-3.6253369135965141e-01	-2.8012760422852950e-01	-3.2481560933429776e-01	-4.5928380398620133e-01	-4.6597634552466066e-01	-4.5988863280184505e-01	-5.9313281072306163e-02	-9.8459930345734470e-02	-1.5508788832160886e-01	-1.3988546722554715e-01	-1.4786758583235371e-01	-1.6384076063567055e-01	-1.0605148041008344e-01	-1.7384925163634699e-01	-8.1804547315549231e-02	-1.2704175995899933e-01	-7.7607618729217939e-02	-3.2594610610378938e-02	2.2707499052353910e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.5529281987353682e-01	-5.5003895752811660e-01	-8.3603754606258973e-01	-3.6082956519597326e-01	-2.7566760708218352e-01	-3.2403147092386442e-01	-4.5860849310531515e-01	-4.6414111608783920e-01	-4.6054415210541860e-01	-5.9607492009806091e-02	-9.8942976141118230e-02	-1.5585974260885890e-01	-1.4058466920363211e-01	-1.4860033557448599e-01	-1.6465061781535745e-01	-1.0656607950983159e-01	-1.7471204425153003e-01	-8.2213783941159871e-02	-1.2766971494809878e-01	-7.7988517901352181e-02	-3.2758611362864079e-02	2.2651218235592840e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.5676203095113217e-01	-5.4803013934513090e-01	-8.3815304674672120e-01	-3.5912150475717219e-01	-2.7119466887456456e-01	-3.2324544656185289e-01	-4.5792361792900038e-01	-4.6228688054313949e-01	-4.6120309513034063e-01	-5.9901956708621827e-02	-9.9424234472958672e-02	-1.5663332884758741e-01	-1.4128675480125907e-01	-1.4933344826931397e-01	-1.6546013020073033e-01	-1.0707636566308028e-01	-1.7557586390080124e-01	-8.2624838783702956e-02	-1.2829726744974573e-01	-7.8368024610137962e-02	-3.2923718781383310e-02	2.2595259299068897e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.5823255678673620e-01	-5.4598766111088604e-01	-8.4025086344717825e-01	-3.5740990751976998e-01	-2.6671035093917100e-01	-3.2245773896443714e-01	-4.5722930942739892e-01	-4.6041396647603861e-01	-4.6186556817591595e-01	-6.0196686803605452e-02	-9.9903689328572118e-02	-1.5740869853733677e-01	-1.4199183490229342e-01	-1.5006696457501070e-01	-1.6626938714525252e-01	-1.0758226248708909e-01	-1.7644080435601242e-01	-8.3037772663430792e-02	-1.2892440824643586e-01	-7.8746099090288416e-02	-3.3089959946308783e-02	2.2539630086614766e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.5970446731095111e-01	-5.4391178645996585e-01	-8.4233068288219060e-01	-3.5569515865759394e-01	-2.6221623173096109e-01	-3.2166854584759119e-01	-4.5652569280073529e-01	-4.5852269067866619e-01	-4.6253167421640895e-01	-6.0491693740934424e-02	-1.0038132501698588e-01	-1.5818590335869498e-01	-1.4270001971832394e-01	-1.5080092559834324e-01	-1.6707847906487977e-01	-1.0808369394478982e-01	-1.7730695906857713e-01	-8.3452646008513390e-02	-1.2955112772031915e-01	-7.9122701419984759e-02	-3.3257362295852209e-02	2.2484338596978457e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-6.6117782825128957e-01	-5.4180277727846682e-01	-8.4439218963933715e-01	-3.5397763049821596e-01	-2.5771390641607655e-01	-3.2087805969567251e-01	-4.5581288746889287e-01	-4.5661335857475310e-01	-4.6320151289198985e-01	-6.0786988743292969e-02	-1.0085712613443956e-01	-1.5896499510823758e-01	-1.4341141862552870e-01	-1.5153537282539056e-01	-1.6788749729154093e-01	-1.0858058434432012e-01	-1.7817442098582589e-01	-8.3869518769585358e-02	-1.3017741580151965e-01	-7.9497791519580224e-02	-3.3425953622893502e-02	2.2429392987625647e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-6.6265270101196505e-01	-5.3966089330128508e-01	-8.4643506627934273e-01	-3.5225768198552382e-01	-2.5320498646014267e-01	-3.2008646753110853e-01	-4.5509100707691580e-01	-4.5468626365590153e-01	-4.6387518050649856e-01	-6.1082582774471005e-02	-1.0133107752905393e-01	-1.5974602563267698e-01	-1.4412613999979829e-01	-1.5227034805125561e-01	-1.6869653392388892e-01	-1.0907285833848435e-01	-1.7904328236513234e-01	-8.4288450333470807e-02	-1.3080326191615002e-01	-7.9871329150393217e-02	-3.3595762071705448e-02	2.2374801578619743e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-6.6412914255732092e-01	-5.3748639171465651e-01	-8.4845899344678755e-01	-3.5053565814887711e-01	-2.4869109921440968e-01	-3.1929395068530153e-01	-4.5436015951637371e-01	-4.5274168693008249e-01	-4.6455277003191292e-01	-6.1378486503374796e-02	-1.0180316426469083e-01	-1.6052904676222809e-01	-1.4484429105019250e-01	-1.5300589330878386e-01	-1.6950568167541349e-01	-1.0956044092416184e-01	-1.7991363458592158e-01	-8.4709499436130639e-02	-1.3142865493406666e-01	-8.0243273913590346e-02	-3.3766816134558827e-02	2.2320572856577536e+00
