# Parameters
$ K = 1
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-5.5529252544322028e-01	-4.6104443996698441e-01	-8.6277120987125566e-01	-1.1163480758612081e+00	-3.9289423158720627e-01	-3.1974402286588355e-01	-3.2031755967514858e-01	-1.6102473758002858e-01	-3.1492245784777700e-01	0
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-5.5807180336122952e-01	-4.6333067166364050e-01	-8.6704547779710106e-01	-1.1219127736049863e+00	-3.9484386423026241e-01	-3.2134259271840210e-01	-3.2192340898158295e-01	-1.6182524991563649e-01	-3.1649802254738574e-01	0
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-5.6085654532544149e-01	-4.6557794253468859e-01	-8.7123857858532916e-01	-1.1274421483525512e+00	-3.9676303722430667e-01	-3.2294069538599895e-01	-3.2353779105394825e-01	-1.6261627626230249e-01	-3.1807537185550849e-01	0
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-5.6364649678353529e-01	-4.6778478472383911e-01	-8.7534753447753078e-01	-1.1329343288339546e+00	-3.9865057676150223e-01	-3.2453807723663886e-01	-3.2516071982570399e-01	-1.6339742048568021e-01	-3.1965432238770680e-01	0
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-5.6644139680622174e-01	-4.6994973449163480e-01	-8.7936938278612986e-01	-1.1383874250374557e+00	-4.0050531039065751e-01	-3.2613447979272947e-01	-3.2679220828733707e-01	-1.6416828515353463e-01	-3.2123468665495863e-01	0
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-5.6924097803328244e-01	-4.7207133428202874e-01	-8.8330118051808704e-01	-1.1437995292974867e+00	-4.0232606854500269e-01	-3.2772963974437636e-01	-3.2843226845935508e-01	-1.6492847193763882e-01	-3.2281627304487936e-01	0
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-5.7204496662192794e-01	-4.7414813483517282e-01	-8.8714000908649282e-01	-1.1491687174364029e+00	-4.0411168610804299e-01	-3.2932328896681828e-01	-3.3008091136480772e-01	-1.6567758202875590e-01	-3.2439888580516762e-01	0
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-5.7485308219760012e-01	-4.7617869734191415e-01	-8.9088297909853309e-01	-1.1544930499598784e+00	-4.0586100401451491e-01	-3.3091515454217130e-01	-3.3173814700133325e-01	-1.6641521656418479e-01	-3.2598232502936692e-01	0
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-5.7766503780734846e-01	-4.7816159563517513e-01	-8.9452723520760291e-01	-1.1597705733056698e+00	-4.0757287088323518e-01	-3.3250495878560460e-01	-3.3340398431272666e-01	-1.6714097706729139e-01	-3.2756638664503956e-01	0
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-5.8048053987590931e-01	-4.8009541841307130e-01	-8.9806996101661796e-01	-1.1649993211453331e+00	-4.0924614467839548e-01	-3.3409241927607536e-01	-3.3507843116002872e-01	-1.6785446589838565e-01	-3.2915086240444680e-01	0
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-5.8329928816462306e-01	-4.8197877148832463e-01	-9.0150838401893607e-01	-1.1701773157383510e+00	-4.1087969439563388e-01	-3.3567724889174105e-01	-3.3676149429213192e-01	-1.6855528671624906e-01	-3.3073553987783288e-01	0
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-5.8612097573332156e-01	-4.8381028005823401e-01	-9.0483978056266501e-01	-1.1753025693379637e+00	-4.1247240176899214e-01	-3.3725915585017213e-01	-3.3845317931590208e-01	-1.6924304494955553e-01	-3.3232020244940669e-01	0
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-5.8894528890532294e-01	-4.8558859098920359e-01	-9.0806148082359461e-01	-1.1803730856478749e+00	-4.1402316299466391e-01	-3.3883784375348092e-01	-3.4015349066581513e-01	-1.6991734827737465e-01	-3.3390462931612130e-01	0
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-5.9177190723567552e-01	-4.8731237510956932e-01	-9.1117087377147010e-01	-1.1853868613288225e+00	-4.1553089046723829e-01	-3.4041301163848114e-01	-3.4186243157310492e-01	-1.7057780711788625e-01	-3.3548859548934368e-01	0
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-5.9460050348278359e-01	-4.8898032950424469e-01	-9.1416541211389923e-01	-1.1903418875538758e+00	-4.1699451452396374e-01	-3.4198435403198985e-01	-3.4358000403442424e-01	-1.7122403512438342e-01	-3.3707187179951587e-01	0
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-5.9743074358356396e-01	-4.9059117980449696e-01	-9.1704261720180957e-01	-1.1952361516111496e+00	-4.1841298519238634e-01	-3.4355156101137846e-01	-3.4530620878001500e-01	-1.7185564968758438e-01	-3.3865422490390062e-01	0
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-6.0026228663227132e-01	-4.9214368246599305e-01	-9.1980008388008694e-01	-1.2000676385524627e+00	-4.1978527393656717e-01	-3.4511431827047828e-01	-3.4704104524138990e-01	-1.7247227244322555e-01	-3.4023541729751011e-01	0
