# Parameters
$ K = 2
$ N = 12
$ M = 29
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	E
0	1.0000000000000000e+00	0	-9.8611114253225618e-01	-7.2246240572503284e-01	-8.3541553393372561e-02	-5.3174086389583319e-01	-7.0473587279744976e-01	-6.2170805425547027e-01	-7.1005856295390135e-01	-2.2211343781961376e-01	-6.1344123038225007e-01	-5.6657024459566774e-01	-8.6056547396755867e-01	-4.1320108244230824e-01	2.7303513454467321e-01	3.0998287924375808e-02	-7.4949971606302332e-02	-1.8135012154577265e-01	-1.5806378787785186e-01	1.2272867477607767e-01	1.6592322870162889e-02	2.0651539969115512e-01	2.1703994819318917e-01	-1.3024078452514362e-01	6.4412327609309128e-03	-9.2300933046832970e-02	7.5049258170831218e-02	1.2698940006124929e-01	-5.1475384754233237e-02	-1.8154921973934865e-01	1.7119419122661481e-01	3.4641016151377548e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-9.9327543829378095e-01	-7.2722486166089362e-01	-8.3615712748505808e-02	-5.3388122842768149e-01	-7.0939189055293450e-01	-6.2723646926135224e-01	-7.1601324596933491e-01	-2.2390463263702215e-01	-6.1499089274699248e-01	-5.6853075763102157e-01	-8.6441424165153846e-01	-4.1519969157697739e-01	2.7439009595510638e-01	3.1151874989800515e-02	-7.5322621917627675e-02	-1.8225037069344896e-01	-1.5885195964889298e-01	1.2333904963795506e-01	1.6675290704591290e-02	2.0754274113996249e-01	2.1811913957086071e-01	-1.3088870302884109e-01	6.4734909741290701e-03	-9.2762904025462486e-02	7.5422024533300921e-02	1.2762247738141003e-01	-5.1731919688818705e-02	-1.8245670355466870e-01	1.7205056868641705e-01	3.4554794224996690e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-1.0003744350027555e+00	-7.3200435486992532e-01	-8.3688500520978371e-02	-5.3599723928408161e-01	-7.1397986585890583e-01	-6.3271038690523895e-01	-7.2196173161210542e-01	-2.2569944091989952e-01	-6.1650726575906334e-01	-5.7044627984910046e-01	-8.6823489430294043e-01	-4.1719555225967009e-01	2.7572402754272946e-01	3.1302561481901352e-02	-7.5690948276666212e-02	-1.8313716351877962e-01	-1.5963570091713100e-01	1.2394265089608163e-01	1.6758260471672108e-02	2.0855928962264195e-01	2.1918586762645104e-01	-1.3152986288516477e-01	6.5058504987343052e-03	-9.3225784888714455e-02	7.5789681433356251e-02	1.2825163429026329e-01	-5.1986714098042980e-02	-1.8336355805263596e-01	1.7290769018579058e-01	3.4469336089495508e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-1.0074031685294238e+00	-7.3679995837689038e-01	-8.3759964455908914e-02	-5.3808808059551316e-01	-7.1849627750307976e-01	-6.3812562281305774e-01	-7.2790121014728848e-01	-2.2749733890334828e-01	-6.1798994285105602e-01	-5.7231543363895354e-01	-8.7202627215277195e-01	-4.1918830482373687e-01	2.7703602732389443e-01	3.1450208425056657e-02	-7.6054763037676568e-02	-1.8400981509100464e-01	-1.6041480732167057e-01	1.2453912035921215e-01	1.6841216086877366e-02	2.0956456144637581e-01	2.2023945710543322e-01	-1.3216398091663181e-01	6.5383070283103074e-03	-9.3689541314364702e-02	7.6152002596249824e-02	1.2887659527312315e-01	-5.2239682492091058e-02	-1.8426962406800079e-01	1.7376545081418887e-01	3.4384645566010525e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-1.0143566058774025e+00	-7.4161070244328076e-01	-8.3830154322384151e-02	-5.4015293404345377e-01	-7.2293759123193324e-01	-6.4347794933161606e-01	-7.3382878850480304e-01	-2.2929778046880259e-01	-6.1943853632678825e-01	-5.7413683374489233e-01	-8.7578720830740853e-01	-4.2117758188487231e-01	2.7832519447148180e-01	3.1594675307182657e-02	-7.6413878269723637e-02	-1.8486763472989878e-01	-1.6118907450165837e-01	1.2512809567334920e-01	1.6924141033125662e-02	2.1055807226355408e-01	2.2127922623323426e-01	-1.3279077215678584e-01	6.5708560894536718e-03	-9.4154138722443700e-02	7.6508759396586287e-02	1.2949707967713456e-01	-5.2490738519730816e-02	-1.8517473974592322e-01	1.7462374373279785e-01	3.4300726443930771e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-1.0212296511852399e+00	-7.4643557409237860e-01	-8.3899121895374643e-02	-5.4219097947883066e-01	-7.2730026503690859e-01	-6.4876310124575076e-01	-7.3974149146151791e-01	-2.3110019676471191e-01	-6.2085267798676136e-01	-5.7590908857024625e-01	-8.7951652941191805e-01	-4.2316300824000308e-01	2.7959063086707298e-01	3.1735820230580483e-02	-7.6768106002692474e-02	-1.8570992690322644e-01	-1.6195829828630989e-01	1.2570921067168178e-01	1.7007018359320045e-02	2.1153933776330994e-01	2.2230448753990634e-01	-1.3340995005964662e-01	6.6034930423639953e-03	-9.4619542302100762e-02	7.6859721039983703e-02	1.3011280186574728e-01	-5.2739795008694475e-02	-1.8607874058221827e-01	1.7548246019811178e-01	3.4217582479871331e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-1.0280171521239481e+00	-7.5127351670229936e-01	-8.3966920934124015e-02	-5.4420139556033820e-01	-7.3158075464301886e-01	-6.5397678178591967e-01	-7.4563626307015762e-01	-2.3290399585521251e-01	-6.2223201972338604e-01	-5.7763080156679003e-01	-8.8321305633814906e-01	-4.2514420076779846e-01	2.8083144270584715e-01	3.1873500071988664e-02	-7.7117258481045781e-02	-1.8653599216967259e-01	-1.6272227488918703e-01	1.2628209574513777e-01	1.7089830679439283e-02	2.1250787438904908e-01	2.2331454873149975e-01	-1.3402122671743336e-01	6.6362130818318809e-03	-9.5085717039355755e-02	7.7204654756222887e-02	1.3072347138981932e-01	-5.2986764007983092e-02	-1.8698145946766315e-01	1.7634148958848364e-01	3.4135217396656636e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-1.0347139066860935e+00	-7.5612342967140223e-01	-8.4033607156985574e-02	-5.4618336041199789e-01	-7.3577551918970319e-01	-6.5911466891794257e-01	-7.5150996834298467e-01	-2.3470856239981824e-01	-6.2357623408311802e-01	-5.7930057271088475e-01	-8.8687560489743711e-01	-4.2712076833128243e-01	2.8204674215097220e-01	3.2007570651744359e-02	-7.7461148424806225e-02	-1.8734512816600721e-01	-1.6348080110641208e-01	1.2684637823325109e-01	1.7172560172209375e-02	2.1346320008078798e-01	2.2430871360747484e-01	-1.3462431308639825e-01	6.6690112386626104e-03	-9.5552627745715865e-02	7.7543326003951099e-02	1.3132879317570173e-01	-5.3231556832092124e-02	-1.8788272673645356e-01	1.7720071943374086e-01	3.4053634882314832e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-1.0413146703598599e+00	-7.6098416816041226e-01	-8.4099238212696326e-02	-5.4813605229928597e-01	-7.3988102709239023e-01	-6.6417242190500048e-01	-7.5735939519753970e-01	-2.3651325736722084e-01	-6.2488501479266179e-01	-5.8091700006701796e-01	-8.9050298657769733e-01	-4.2909231168300810e-01	2.8323564903386539e-01	3.2137886911910926e-02	-7.7799589297189803e-02	-1.8813663063698952e-01	-1.6423367451847706e-01	1.2740168283494477e-01	1.7255188581382294e-02	2.1440483504093949e-01	2.2528628302326029e-01	-1.3521891922057672e-01	6.7018823815517331e-03	-9.6020239087626510e-02	7.7875498686963487e-02	1.3192846773060815e-01	-5.3474084107150779e-02	-1.8878237021889305e-01	1.7806003544795029e-01	3.3972838589084371e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-1.0478141636794407e+00	-7.6585454291546717e-01	-8.4163873648080270e-02	-5.5005865032302037e-01	-7.4389376207190505e-01	-6.6914568813037445e-01	-7.6318125667099068e-01	-2.3831741778637758e-01	-6.2615807724644412e-01	-5.8247868143903769e-01	-8.9409400930463456e-01	-4.3105842337334771e-01	2.8439729259630742e-01	3.2264303103184913e-02	-7.8132395578260391e-02	-1.8890979450624323e-01	-1.6498069369527987e-01	1.2794763203872711e-01	1.7337697216648910e-02	2.1533230252201452e-01	2.2624655589683129e-01	-1.3580475451322527e-01	6.7348212194286742e-03	-9.6488515616725404e-02	7.8200935382045561e-02	1.3252219136551482e-01	-5.3714255818964093e-02	-1.8968021529839443e-01	1.7891932156541396e-01	3.3892832132434125e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-1.0542070801407839e+00	-7.7073332017619811e-01	-8.4227574872208166e-02	-5.5195033513016800e-01	-7.4781022933751951e-01	-6.7403011016776881e-01	-7.6897219340879253e-01	-2.4012035653807620e-01	-6.2739515895259357e-01	-5.8398421610894480e-01	-8.9764747822676283e-01	-4.3301868766245893e-01	2.8553081327000673e-01	3.2386672980345199e-02	-7.8459383043922526e-02	-1.8966391498607296e-01	-1.6572165840398925e-01	1.2848384657169715e-01	1.7420066955210749e-02	2.1624512963453030e-01	2.2718883025792599e-01	-1.3638152794568364e-01	6.7678223042818911e-03	-9.6957421800864294e-02	7.8519397578316941e-02	1.3310965643578460e-01	-5.3951981362943144e-02	-1.9057608497286130e-01	1.7977845997997352e-01	3.3813619090098017e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-1.0604880944695725e+00	-7.7561922167276265e-01	-8.4290405117034617e-02	-5.5381028964057044e-01	-7.5162696190808209e-01	-6.7882133308440573e-01	-7.7472877643246540e-01	-2.4192136219023719e-01	-6.2859601993476732e-01	-5.8543220666267304e-01	-9.0116219652381635e-01	-4.3497268043654225e-01	2.8663536448882776e-01	3.2504850005960012e-02	-7.8780369049516213e-02	-1.9039828872391498e-01	-1.6645636981931433e-01	1.2900994586664555e-01	1.7502278244035527e-02	2.1714284817324259e-01	2.2811240433827279e-01	-1.3694894834336327e-01	6.8008800344790520e-03	-9.7426922055860621e-02	7.8830645927965223e-02	1.3369055159964252e-01	-5.4187169595903542e-02	-1.9146979992051430e-01	1.8063733118769296e-01	3.3735203001125766e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-1.0666518712258604e+00	-7.8051092471562467e-01	-8.4352429394542558e-02	-5.5563769978857103e-01	-7.5534052705439592e-01	-6.8351501196045672e-01	-7.8044751019029079e-01	-2.4371969888021225e-01	-6.2976044308721324e-01	-5.8682126090177955e-01	-9.0463696623812995e-01	-4.3691996912904063e-01	2.8771011452851808e-01	3.2618687562016829e-02	-7.9095172817226889e-02	-1.9111221498285094e-01	-1.6718463073572737e-01	1.2952554854643206e-01	1.7584311102819994e-02	2.1802499545964288e-01	2.2901657770094386e-01	-1.3750672463852598e-01	6.8339886585925911e-03	-9.7896980777936723e-02	7.9134440508214596e-02	1.3426456209456450e-01	-5.4419728889707787e-02	-1.9236117857021837e-01	1.8149581403298753e-01	3.3657587364950476e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-1.0726930737275584e+00	-7.8540706238155833e-01	-8.4413714450459490e-02	-5.5743175527834832e-01	-7.5894753284474814e-01	-6.8810681960674680e-01	-7.8612483589364524e-01	-2.4551460624733204e-01	-6.3088823448059828e-01	-5.8814999383949385e-01	-9.0807058912845173e-01	-4.3886011264748337e-01	2.8875424836841379e-01	3.2728039169089319e-02	-7.9403615726474558e-02	-1.9180499685333774e-01	-1.6790624578116159e-01	1.3003027292471406e-01	1.7666145127681981e-02	2.1889111519849838e-01	2.2990065240669033e-01	-1.3805456613948341e-01	6.8671422797402419e-03	-9.8367562376803719e-02	7.9430541094318768e-02	1.3483137003156961e-01	-5.4649567186723216e-02	-1.9325003717635500e-01	1.8235378575825642e-01	3.3580775640474791e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-1.0786063732725828e+00	-7.9030622379923998e-01	-8.4474328714605626e-02	-5.5919165035176899e-01	-7.6244463477423208e-01	-6.9259245446107642e-01	-7.9175713514057777e-01	-2.4730529941895271e-01	-6.3197922361625480e-01	-5.8941702977901855e-01	-9.1146186754561931e-01	-4.4079266130670425e-01	2.8976696956925146e-01	3.2832758712605693e-02	-7.9705521606400570e-02	-1.9247594249304859e-01	-1.6862102163168177e-01	1.3052373752199045e-01	1.7747759495602256e-02	2.1974075834603679e-01	2.3076393421485300e-01	-1.3859218280580854e-01	6.9003348604477904e-03	-9.8838631309341132e-02	7.9718707443314746e-02	1.3539065470733089e-01	-5.4876592057062003e-02	-1.9413618989828005e-01	1.8321112205707274e-01	3.3504771245176399e+00
