# Parameters
$ K = 1
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-6.7854181949280390e-01	-5.3956652916941961e-01	-2.4821702112613786e-01	-6.8950819658684903e-01	-5.0552200339620290e-01	-3.4004107846685949e-01	-2.3255717976928247e-01	-6.3080202912628058e-01	-6.2261430375870552e-01	-1.5985708952119154e-01	-1.3148635424268679e-01	-1.7021046978945081e-01	-1.4679635307902492e-01	-1.9897850036409631e-01	-7.2045158510428725e-02	-1.1859740265815380e-01	-1.0613755896685878e-01	-1.2745707108588775e-01	-8.6657910970359506e-02	-1.6791070537052968e-01	-1.7608669400795332e-01	0
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.8192178784065549e-01	-5.4225859635307960e-01	-2.4945603282554771e-01	-6.9292864418062228e-01	-5.0803924182647064e-01	-3.4173114106280755e-01	-2.3371436016480168e-01	-6.3393925610232138e-01	-6.2571846117707675e-01	-1.6065307777424845e-01	-1.3214233022109781e-01	-1.7105943029799087e-01	-1.4752778887179213e-01	-1.9997234627582872e-01	-7.2404705324637969e-02	-1.1919035341209613e-01	-1.0666670388519379e-01	-1.2809332412131313e-01	-8.7089756461616749e-02	-1.6875053430670303e-01	-1.7696598534003308e-01	0
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.8527542818678977e-01	-5.4493863202308879e-01	-2.5069069023587170e-01	-6.9629348760314214e-01	-5.1053507137356335e-01	-3.4340034457772461e-01	-2.3485999007902447e-01	-6.3704193397539455e-01	-6.2880412310743494e-01	-1.6144226089229360e-01	-1.3279527081105352e-01	-1.7190403916532732e-01	-1.4825395837254227e-01	-2.0096395801156366e-01	-7.2762831049699217e-02	-1.1978317076103218e-01	-1.0719264858647261e-01	-1.2872740760216886e-01	-8.7518612957818390e-02	-1.6959084099077407e-01	-1.7784285872028513e-01	0
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.8860146218098728e-01	-5.4760587770193381e-01	-2.5192067844055194e-01	-6.9960059745196967e-01	-5.1300848675446997e-01	-3.4504782391670874e-01	-2.3599355694629259e-01	-6.4010858045763064e-01	-6.3187027979792687e-01	-1.6222432135903614e-01	-1.3344498877338845e-01	-1.7274404328693085e-01	-1.4897459891403703e-01	-2.0195312258774198e-01	-7.3119440144229761e-02	-1.2037576227742990e-01	-1.0771522020652163e-01	-1.2935916279614396e-01	-8.7944328035722774e-02	-1.7043151455317679e-01	-1.7871711177229443e-01	0
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.9189860067979936e-01	-5.5025956500947870e-01	-2.5314567764012197e-01	-7.0284784180718884e-01	-5.1545847425360547e-01	-3.4667270801209260e-01	-2.3711454399897999e-01	-6.4313770330041875e-01	-6.3491591011823711e-01	-1.6299894001662160e-01	-1.3409129490350763e-01	-1.7357918818486409e-01	-1.4968944648563204e-01	-2.0293962515359326e-01	-7.3474435980685218e-02	-1.2096803409082832e-01	-1.0823424441572529e-01	-1.2998842922322382e-01	-8.8366747849899480e-02	-1.7127244247296028e-01	-1.7958853971289274e-01	0
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.9516554461439950e-01	-5.5289891595608565e-01	-2.5436536322317493e-01	-7.0603308866931858e-01	-5.1788401240460924e-01	-3.4827412048495088e-01	-2.3822243061726725e-01	-6.4612780145335391e-01	-6.3793998206100977e-01	-1.6376579635128413e-01	-1.3473399813710654e-01	-1.7440921823751385e-01	-1.5039823597292573e-01	-2.0392324914565446e-01	-7.3827720894263760e-02	-1.2155989091604261e-01	-1.0874954553835482e-01	-1.3061504474203550e-01	-8.8785717227748487e-02	-1.7211351062155789e-01	-1.8045693545246641e-01	0
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.9840098589643163e-01	-5.5552314325439089e-01	-2.5557940584378347e-01	-7.0915420847002097e-01	-5.2028407270215882e-01	-3.4985118033429125e-01	-2.3931669269408068e-01	-6.4907736627010926e-01	-6.4094145327060392e-01	-1.6452456878903501e-01	-1.3537290566110904e-01	-1.7523387691697417e-01	-1.5110070140567899e-01	-2.0490377644879679e-01	-7.4179196234357689e-02	-1.2215123608349192e-01	-1.0926094667702999e-01	-1.3123884564040256e-01	-8.9201079768920125e-02	-1.7295460330925616e-01	-1.8132208970066138e-01	0
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.0160360836143343e-01	-5.5813145064985115e-01	-2.5678747150548759e-01	-7.1220907665201760e-01	-5.2265762034346896e-01	-3.5140300265357494e-01	-2.4039680301500413e-01	-6.5198488276045519e-01	-6.4391927159922879e-01	-1.6527493500106191e-01	-1.3600782302979622e-01	-1.7605290703376050e-01	-1.5179657621371723e-01	-2.0588098756364229e-01	-7.4528762418544933e-02	-1.2274197157167009e-01	-1.0976826984224210e-01	-1.3185966673007368e-01	-8.9612677949100841e-02	-1.7379560333435912e-01	-1.8218379107747668e-01	0
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.0477208874924635e-01	-5.6072303327025186e-01	-2.5798922165195926e-01	-7.1519557631421160e-01	-5.2500361499908188e-01	-3.5292869937414578e-01	-2.4146223165293687e-01	-6.5484883088749757e-01	-6.4687237569047984e-01	-1.6601657221846935e-01	-1.3663855428609023e-01	-1.7686605098849659e-01	-1.5248559349048427e-01	-2.0685466178023790e-01	-7.4876318989107765e-02	-1.2333199804177755e-01	-1.1027133608684826e-01	-1.3247734144557249e-01	-9.0020353228117855e-02	-1.7463639203503770e-01	-1.8304182622972873e-01	0
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-7.0790509772077348e-01	-5.6329707799422080e-01	-2.5918431326443403e-01	-7.1811160091770521e-01	-5.2732101161243650e-01	-3.5442738003504143e-01	-2.4251244637722655e-01	-6.5766768690904520e-01	-6.4979969559024786e-01	-1.6674915755595379e-01	-1.3726490208793793e-01	-1.7767305103018433e-01	-1.5316748626389054e-01	-2.0782457735782620e-01	-7.5221764672059752e-02	-1.2392121487452591e-01	-1.1076996564543326e-01	-1.3309170194711004e-01	-9.0423946162302496e-02	-1.7547684934384489e-01	-1.8389597995285370e-01	0
