# Parameters
$ K = 4
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-3.4241554402179764e-01	-4.5169320793635548e-01	-3.6912081369579641e-01	-1.7681462883721685e-01	-5.6722071342408764e-01	-4.3394429240305793e-01	-8.2677189335527945e-01	-6.8051896051250171e-01	-5.2944613721532507e-01	-7.0211527334730439e-01	-1.0606185740342612e-01	-4.1741019686174757e-01	-6.2796842019548615e-01	-5.7366944452928958e-01	-7.2040283084447654e-01	2.9944933007932244e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.4451226369161519e-01	-4.5634779883493776e-01	-3.7389629369394428e-01	-1.7927404775256175e-01	-5.6794210652887933e-01	-4.3361626607605702e-01	-8.2921874848548804e-01	-6.8239211929837984e-01	-5.2441749776775037e-01	-6.9962257308788822e-01	-1.0680453834421615e-01	-4.1565339137466278e-01	-6.3025468165448562e-01	-5.7249138626678786e-01	-7.1989792321858181e-01	2.9870369729938391e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.4660902986158471e-01	-4.6104219118305639e-01	-3.7872221248315707e-01	-1.8178151544231483e-01	-5.6866295142171885e-01	-4.3325535618941419e-01	-8.3162830196230952e-01	-6.8427239655658056e-01	-5.1922651826287425e-01	-6.9699906209094731e-01	-1.0754624904201594e-01	-4.1384567874355555e-01	-6.3254846675842336e-01	-5.7127559152900709e-01	-7.1932410640831246e-01	2.9796410905679975e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.4870544381869212e-01	-4.6577610857323509e-01	-3.8359862183286969e-01	-1.8433782733317178e-01	-5.6938413371819252e-01	-4.3286155842995061e-01	-8.3400000216623005e-01	-6.8616100106778533e-01	-5.1387412839603452e-01	-6.9424472828355610e-01	-1.0828681610434997e-01	-4.1198714929903774e-01	-6.3484990040579703e-01	-5.7002407447290182e-01	-7.1868229420991181e-01	2.9723066141188372e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.5080110210290877e-01	-4.7054924935505427e-01	-3.8852555315198595e-01	-1.8694377288527164e-01	-5.7010655095101470e-01	-4.3243488323023577e-01	-8.3633330407266138e-01	-6.8805912435173422e-01	-5.0836139876971831e-01	-6.9135964536227579e-01	-1.0902606460227923e-01	-4.1007791657013037e-01	-6.3715910221931904e-01	-5.6873888080761215e-01	-7.1797346009520313e-01	2.9650345160052982e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.5289559674446486e-01	-4.7536128596437338e-01	-3.9350301620888273e-01	-1.8960013433820910e-01	-5.7083111135403675e-01	-4.3197535591446951e-01	-8.3862766914931020e-01	-6.8996793622081076e-01	-5.0268954209498951e-01	-6.8834397355277743e-01	-1.0976381818081089e-01	-4.0811811752842342e-01	-6.3947618610929269e-01	-5.6742208274363681e-01	-7.1719863539603823e-01	2.9578257801898320e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-3.5498851551257998e-01	-4.8021186424171647e-01	-3.9853099778349627e-01	-1.9230768540366161e-01	-5.7155873259977075e-01	-4.3148301683639623e-01	-8.4088256522444293e-01	-6.9188858024106947e-01	-4.9685991428134429e-01	-6.8519796028236479e-01	-1.1049989917338539e-01	-4.0610791282126685e-01	-6.4180125984120107e-01	-5.6607577376748230e-01	-7.1635890732110119e-01	2.9506814020704297e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-3.5707944217572346e-01	-4.8510060273971300e-01	-4.0360946025045796e-01	-1.9506718990384994e-01	-5.7229034049165517e-01	-4.3095792150930173e-01	-8.4309746632595961e-01	-6.9382216911086858e-01	-4.9087401541338199e-01	-6.8192194076595825e-01	-1.1123412872042618e-01	-4.0404748699393722e-01	-6.4413442460857995e-01	-5.6470206325508798e-01	-7.1545541680808400e-01	2.9436023882965503e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-3.5916795677345692e-01	-4.9002709201951161e-01	-4.0873834009249438e-01	-1.9787940035511786e-01	-5.7302686761233346e-01	-4.3040014072818172e-01	-8.4527185249139580e-01	-6.9576977996795641e-01	-4.8473349061230409e-01	-6.7851633850626891e-01	-1.1196632689191709e-01	-4.0193704870070529e-01	-6.4647577461226435e-01	-5.6330307093836174e-01	-7.1448935621487952e-01	2.9365897565684973e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-3.6125363589991560e-01	-4.9499089393615925e-01	-4.1391754634355726e-01	-2.0074505649600921e-01	-5.7376925192931216e-01	-4.2980976068415128e-01	-8.4740520954903176e-01	-6.9773244963648662e-01	-4.7844013077978476e-01	-6.7498166570903950e-01	-1.1269631281397145e-01	-3.9977683090475929e-01	-6.4882539664700478e-01	-5.6188092124015654e-01	-7.1346196685414198e-01	2.9296445354197838e+00
