# Parameters
$ K = 5
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-4.3542466042448646e-01	-6.5825235832695039e-01	-4.2545890523479885e-01	-4.1455440468418608e-01	-3.9280430066710581e-01	-7.5832264677161254e-01	-6.9061135451948608e-01	-4.7332641556498128e-01	-3.0175434683590985e-01	-3.5217559396544823e-01	-2.5385951304914317e-01	-5.4349028666997057e-01	-7.5050233396699273e-01	-8.1208615392203731e-01	-2.3003115110278827e-01	2.7464622764985855e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.4329659050246056e-01	-6.6498119324274607e-01	-4.3065804128820828e-01	-4.2066649800427280e-01	-3.9826708503570429e-01	-7.6832719146904027e-01	-7.0254717569706682e-01	-4.8315540588889450e-01	-3.0861046528143826e-01	-3.5686119093871549e-01	-2.5711823899575786e-01	-5.4929269998056551e-01	-7.5904225923831059e-01	-8.1919069544913004e-01	-2.3383594669106197e-01	2.7396167253726875e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.5130522777068111e-01	-6.7181652719901330e-01	-4.3595764879789012e-01	-4.2688492504360270e-01	-4.0381641239001809e-01	-7.7847935217097042e-01	-7.1467701363732627e-01	-4.9318616453003189e-01	-3.1561269887208143e-01	-3.6164309105778492e-01	-2.6043601547518574e-01	-5.5518991317037092e-01	-7.6769417769347847e-01	-8.2636613171763040e-01	-2.3770497154826006e-01	2.7328119096623853e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.5945222677017084e-01	-6.7875995001360845e-01	-4.4135987108105990e-01	-4.3321126092685014e-01	-4.0945352369108007e-01	-7.8877975877936723e-01	-7.2700205022779474e-01	-5.0342152398742668e-01	-3.2276371449867602e-01	-3.6652332158522472e-01	-2.6381397108812504e-01	-5.6118340387204180e-01	-7.7645893516291298e-01	-8.3361268097422303e-01	-2.4163927626821854e-01	2.7260471077294040e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.6773919572971318e-01	-6.8581303023449725e-01	-4.4686687261352165e-01	-4.3964706999959247e-01	-4.1517965440091642e-01	-7.9922890557085147e-01	-7.3952330725303217e-01	-5.1386424806834186e-01	-3.3006618156374889e-01	-3.7150392918184166e-01	-2.6725324400271366e-01	-5.6727464013521522e-01	-7.8533732082923891e-01	-8.4093052299960691e-01	-2.4563992063055543e-01	2.7193215829745672e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.7616769035059497e-01	-6.9297731053934231e-01	-4.5248083664344740e-01	-4.4619390259700126e-01	-4.2099603217169529e-01	-8.0982714046476567e-01	-7.5224163265515298e-01	-5.2451702170879355e-01	-3.3752276759136762e-01	-3.7658697792038565e-01	-2.7075498081388222e-01	-5.7346507717519735e-01	-7.9433006173022103e-01	-8.4831979627125487e-01	-2.4970797292948677e-01	2.7126345835735961e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.8473920719019159e-01	-7.0025430279162582e-01	-4.5820396253852075e-01	-4.5285329156114806e-01	-4.2690387434826582e-01	-8.2057465378588390e-01	-7.6515768610289958e-01	-5.3538244011717218e-01	-3.4513613345485916e-01	-3.8177454708279057e-01	-2.7432033528711108e-01	-5.7975615386960189e-01	-8.0343781692980754e-01	-8.5578059497012993e-01	-2.5384450923035257e-01	2.7059853422061169e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.9345517662949417e-01	-7.0764548273719652e-01	-4.6403846284881706e-01	-4.5962674849297069e-01	-4.3290438527332081e-01	-8.3147146651659742e-01	-7.7827192385882227e-01	-5.4646299721441738e-01	-3.5290892820049263e-01	-3.8706872872646014e-01	-2.7795046698000675e-01	-5.8614928899057117e-01	-8.1266117134432925e-01	-8.6331296582493233e-01	-2.5805061254889278e-01	2.6993730757781598e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-5.0231695541018739e-01	-7.1515228432517708e-01	-4.6998656006716633e-01	-4.6651575972457776e-01	-4.3899875338405819e-01	-8.4251741803571512e-01	-7.9158458293682032e-01	-5.5776107334488756e-01	-3.6084378344462259e-01	-3.9247162500450761e-01	-2.8164653973496689e-01	-5.9264587716011585e-01	-8.2200062921116279e-01	-8.7091690478740524e-01	-2.6232737194806710e-01	2.6927969851384099e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-5.1132581872758109e-01	-7.2277609363729278e-01	-4.7605048306816095e-01	-4.7352178199721606e-01	-4.4518814808889073e-01	-8.5371215334352790e-01	-8.0509566454553838e-01	-5.6927892223303067e-01	-3.6894330732128983e-01	-3.9798534522425738e-01	-2.8540972003613668e-01	-5.9924728451617937e-01	-8.3145660718753667e-01	-8.7859235353229015e-01	-2.6667588154694982e-01	2.6862562547886086e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-5.2048295186656490e-01	-7.3051824241002161e-01	-4.8223246320645863e-01	-4.8064623782994720e-01	-4.5147371641244521e-01	-8.6505510977577316e-01	-8.1880491681665335e-01	-5.8101865716224788e-01	-3.7721007795685929e-01	-4.0361200262774538e-01	-2.8924117522381732e-01	-6.0595484407711109e-01	-8.4102942706762573e-01	-8.8633919577557763e-01	-2.7109723943599973e-01	2.6797500525884868e+00
