# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
7.7499999999999999e-02	9.2249999999999999e-01	7.7499999999999999e-02	-6.8624074165620186e-01	-6.1347251848581019e-01	-3.7739608967842930e-01	-4.7003092782226580e-01	-4.6146231182042979e-01	-4.6631022996768962e-01	-4.7019790868268718e-01	2.6787791274999639e-02	-5.5886539190911147e-02	-5.0690000924624345e-01	1.4909383598493964e-01	-1.0251141710780065e+00	2.2720130239437375e+00
8.0000000000000002e-02	9.2000000000000004e-01	8.0000000000000002e-02	-6.8666894359062314e-01	-6.1085000801451139e-01	-3.7274079700571822e-01	-4.7102006621000281e-01	-4.6001182358343001e-01	-4.5792955344783293e-01	-4.6961097241766542e-01	3.2040499363060214e-02	-5.3500742462814652e-02	-5.0818467431457481e-01	1.5910016681061270e-01	-1.0294820816225987e+00	2.2679657790375978e+00
8.2500000000000004e-02	9.1749999999999998e-01	8.2500000000000004e-02	-6.8709045303039562e-01	-6.0826261073875387e-01	-3.6804853521390346e-01	-4.7205204391013011e-01	-4.5860208260541108e-01	-4.4948325837112008e-01	-4.6917745319039206e-01	3.7336160069394254e-02	-5.1097310034707855e-02	-5.0954168402709910e-01	1.6916025804217577e-01	-1.0338556592413168e+00	2.2640145852208122e+00
8.5000000000000006e-02	9.1500000000000004e-01	8.5000000000000006e-02	-6.8750485119366311e-01	-6.0571193085578479e-01	-3.6331827242108833e-01	-4.7312735348174367e-01	-4.5723429313563496e-01	-4.4097089807221207e-01	-4.6889857171019644e-01	4.2674982962175485e-02	-4.8675681794355372e-02	-5.1097186311791176e-01	1.7927312172554885e-01	-1.0382332903335452e+00	2.2601618604662996e+00
8.7499999999999994e-02	9.1249999999999998e-01	8.7499999999999994e-02	-6.8791170096333265e-01	-6.0319956508843930e-01	-3.5854897004011443e-01	-4.7424646568251205e-01	-4.5590965557219892e-01	-4.3239204579902507e-01	-4.6877537757843335e-01	4.8057145765170062e-02	-4.6235286988198475e-02	-5.1247600158391904e-01	1.8943765959329914e-01	-1.0426132889662341e+00	2.2564100713168824e+00
8.9999999999999997e-02	9.1000000000000003e-01	8.9999999999999997e-02	-6.8831054722875185e-01	-6.0072710042497313e-01	-3.5373958691292318e-01	-4.7540982723639402e-01	-4.5462936484955296e-01	-4.2374630181880768e-01	-4.6880874111888182e-01	5.3482791212888160e-02	-4.3775544974149899e-02	-5.1405485176312848e-01	1.9965265592654574e-01	-1.0469938948488475e+00	2.2527617330618748e+00
9.2499999999999999e-02	9.0749999999999997e-01	9.2499999999999999e-02	-6.8870091729578842e-01	-5.9829611163604690e-01	-3.4888908368262328e-01	-4.7661785844555460e-01	-4.5339460865328940e-01	-4.1503330083731793e-01	-4.6899934501143176e-01	5.8952023773874040e-02	-4.1295866054834485e-02	-5.1570912522065893e-01	2.0991677029968397e-01	-1.0513732712894703e+00	2.2492194098206535e+00
9.5000000000000001e-02	9.0500000000000003e-01	9.5000000000000001e-02	-6.8908232136984138e-01	-5.9590815856182144e-01	-3.4399642740557207e-01	-4.7787095064329160e-01	-4.5220656545599269e-01	-4.0625271972400556e-01	-4.6934767574967173e-01	6.4464906242412481e-02	-3.8795652396183544e-02	-5.1743948943966656e-01	2.2022853022710881e-01	-1.0557495031410560e+00	2.2457857145251947e+00
9.7500000000000003e-02	9.0249999999999997e-01	9.7500000000000003e-02	-6.8945425311628306e-01	-5.9356478316302297e-01	-3.3906059640455799e-01	-4.7916946348548450e-01	-4.5106640236848977e-01	-3.9740428553384483e-01	-4.6985401494652618e-01	7.0021456199763132e-02	-3.6274299036278670e-02	-5.1924656431535432e-01	2.3058632373377574e-01	-1.0601205947480270e+00	2.2424633087931758e+00
1.0000000000000001e-01	9.0000000000000002e-01	1.0000000000000001e-01	-6.8981619030285768e-01	-5.9126750633092939e-01	-3.3408058536292462e-01	-4.8051372207883869e-01	-4.4997527280151939e-01	-3.8848778381397037e-01	-4.7051843051592923e-01	7.5621642346992327e-02	-3.3731194989294312e-02	-5.2113091845131865e-01	2.4098839187425491e-01	-1.0644844679046985e+00	2.2392549026830286e+00
