# Parameters
$ K = 4
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
7.2499999999999995e-02	9.2749999999999999e-01	7.2499999999999995e-02	-3.2270480825266445e-01	-1.1077418972889970e+00	-4.8826563184104127e-01	-4.0465216104952917e-01	-7.8798079678645205e-01	-8.8310136884652191e-01	-6.2197563783648591e-01	-6.3812587537313781e-01	-6.1032214899296944e-01	-4.7994922503903609e-01	-4.2343338513236189e-01	-9.5983246322683069e-01	2.4881196732670086e+00
7.4999999999999997e-02	9.2500000000000004e-01	7.4999999999999997e-02	-3.2584303471813630e-01	-1.1134682098571660e+00	-4.9036567025802169e-01	-4.0204221383964445e-01	-7.8973595361060389e-01	-8.9241594234954935e-01	-6.2791156822608363e-01	-6.3925087719508533e-01	-6.0606405508330796e-01	-4.8502480482887173e-01	-4.2953246949532881e-01	-9.6388751566772735e-01	2.4828544156180916e+00
7.7499999999999999e-02	9.2249999999999999e-01	7.7499999999999999e-02	-3.2901066206249285e-01	-1.1191424626385211e+00	-4.9246639359534305e-01	-3.9938504407893188e-01	-7.9148103094580613e-01	-9.0169926869564310e-01	-6.3388689596139292e-01	-6.4037626772483669e-01	-6.0170968826361082e-01	-4.9016651816807111e-01	-4.3568499825677309e-01	-9.6792873689996428e-01	2.4776416605939717e+00
8.0000000000000002e-02	9.2000000000000004e-01	8.0000000000000002e-02	-3.3220736516933164e-01	-1.1247621281635636e+00	-4.9456725928289641e-01	-3.9668088716898597e-01	-7.9321509667517409e-01	-9.1094661722772663e-01	-6.3990023366126625e-01	-6.4150228777386553e-01	-5.9725980697488534e-01	-4.9537311680188023e-01	-4.4189021000430373e-01	-9.7195519173151479e-01	2.4724817793154887e+00
8.2500000000000004e-02	9.1749999999999998e-01	8.2500000000000004e-02	-3.3543279740559462e-01	-1.1303246576515968e+00	-4.9666771120053183e-01	-3.9393000089684516e-01	-7.9493714133535742e-01	-9.2015314196583098e-01	-6.4595011394062318e-01	-6.4262916632222378e-01	-5.9271524636574158e-01	-5.0064323202176508e-01	-4.4814728486483624e-01	-9.7596592383559888e-01	2.4673751443912506e+00
8.5000000000000006e-02	9.1500000000000004e-01	8.5000000000000006e-02	-3.3868659069063423e-01	-1.1358274830413226e+00	-4.9876718012413929e-01	-3.9113266585217865e-01	-7.9664607693469525e-01	-9.2931388356256162e-01	-6.5203498796453019e-01	-6.4375711948299774e-01	-5.8807691981283949e-01	-5.0597537221003475e-01	-4.5445534300159401e-01	-9.7995995561176730e-01	2.4623221298811666e+00
8.7499999999999994e-02	9.1249999999999998e-01	8.7499999999999994e-02	-3.4196835559747663e-01	-1.1412680191217113e+00	-5.0086508421191445e-01	-3.8828918583911748e-01	-7.9834073598338262e-01	-9.3842377163389046e-01	-6.5815322409311372e-01	-6.4488634945660384e-01	-5.8334582035505778e-01	-5.1136792056655156e-01	-4.6081344313376182e-01	-9.8393628806916678e-01	2.4573231112577307e+00
8.9999999999999997e-02	9.1000000000000003e-01	8.9999999999999997e-02	-3.4527768148597110e-01	-1.1466436657623613e+00	-5.0296082953058763e-01	-3.8539988828161292e-01	-8.0001987075106429e-01	-9.4747762748263242e-01	-6.6430310662684044e-01	-6.4601704347737798e-01	-5.7852302203035955e-01	-5.1681913303609017e-01	-4.6722058108360448e-01	-9.8789390073362304e-01	2.4523784653649754e+00
9.2499999999999999e-02	9.0749999999999997e-01	9.2499999999999999e-02	-3.4861413666736635e-01	-1.1519518102422102e+00	-5.0505381062115617e-01	-3.8246512462123816e-01	-8.0168215276708865e-01	-9.5647016723134193e-01	-6.7048283466195702e-01	-6.4714937275508444e-01	-5.7360968110402277e-01	-5.2232713645527817e-01	-4.7367568835609453e-01	-9.9183175158021375e-01	2.4474885703750089e+00
9.5000000000000001e-02	9.0500000000000003e-01	9.5000000000000001e-02	-3.5197726859968642e-01	-1.1571898296750742e+00	-5.0714341110350902e-01	-3.7948527070622401e-01	-8.0332617257843952e-01	-9.6539600538062653e-01	-6.7669052106613481e-01	-6.4828349141411723e-01	-5.6860703717660988e-01	-5.2788992693834536e-01	-4.8017763075635711e-01	-9.9574877699305353e-01	2.4426538057420579e+00
9.7500000000000003e-02	9.0249999999999997e-01	9.7500000000000003e-02	-3.5536660411313831e-01	-1.1623550935300941e+00	-5.0922900431910445e-01	-3.7646072717049878e-01	-8.0495043977993752e-01	-9.7424965880793457e-01	-6.8292419158454321e-01	-6.4941953543333952e-01	-5.6351641415988041e-01	-5.3350536852113428e-01	-4.8672520705046629e-01	-9.9964389175407131e-01	2.4378745521539167e+00
1.0000000000000001e-01	9.0000000000000002e-01	1.0000000000000001e-01	-3.5878164966460835e-01	-1.1674449662448205e+00	-5.1130995401066903e-01	-3.7339191980146486e-01	-8.0655338333087478e-01	-9.8302555122076318e-01	-6.8918178408673803e-01	-6.5055762158965491e-01	-5.5833922110867540e-01	-5.3917119208290021e-01	-4.9331714767535917e-01	-1.0035159890625527e+00	2.4331511914807153e+00
1.0249999999999999e-01	8.9749999999999996e-01	1.0249999999999999e-01	-3.6222189162015361e-01	-1.1724568099281720e+00	-5.1338561503766078e-01	-3.7027929989517533e-01	-8.0813335217155968e-01	-9.9171801807696491e-01	-6.9546114796487279e-01	-6.5169784640855699e-01	-5.5307695289675196e-01	-5.4488499456543049e-01	-4.9995211350387936e-01	-1.0073639405873098e+00	2.4284841067209348e+00
1.0500000000000000e-01	8.9500000000000002e-01	1.0500000000000000e-01	-3.6568679656424907e-01	-1.1773879871501916e+00	-5.1545533412603439e-01	-3.6712334459754081e-01	-8.0968861615258203e-01	-1.0003213119833432e+00	-7.0176004369378775e-01	-6.5284028512504277e-01	-5.4773119072454424e-01	-5.5064423850884503e-01	-5.0662869467114735e-01	-1.0111865965533082e+00	2.4238736819445559e+00
1.0750000000000000e-01	8.9249999999999996e-01	1.0750000000000000e-01	-3.6917581163439389e-01	-1.1822358638149824e+00	-5.1751845065061652e-01	-3.6392455723016365e-01	-8.1121736728863747e-01	-1.0088296085820581e+00	-7.0807614256354068e-01	-6.5398499065842763e-01	-5.4230360244691156e-01	-5.5644625192318886e-01	-5.1334540946870544e-01	-1.0149827858646658e+00	2.4193203022332810e+00
1.1000000000000000e-01	8.9000000000000001e-01	1.1000000000000000e-01	-3.7268836487954221e-01	-1.1869978121128684e+00	-5.1957429744818706e-01	-3.6068346759934261e-01	-8.1271772134778919e-01	-1.0172370129325028e+00	-7.1440702659490130e-01	-6.5513199260470645e-01	-5.3679594270914466e-01	-5.6228822851445259e-01	-5.2010070331304059e-01	-1.0187513162658910e+00	2.4148243536177225e+00
1.1250000000000000e-01	8.8749999999999996e-01	1.1250000000000000e-01	-3.7622386564071625e-01	-1.1916712135473368e+00	-5.2162220165913742e-01	-3.5740063228677543e-01	-8.1418771978585247e-01	-1.0255375663942845e+00	-7.2075018864818852e-01	-6.5628129625024378e-01	-5.3121005287972745e-01	-5.6816722828313271e-01	-5.2689294779528051e-01	-1.0224909745433035e+00	2.4103862230114728e+00
1.1500000000000000e-01	8.8500000000000001e-01	1.1500000000000000e-01	-3.7978170495198638e-01	-1.1962534620318754e+00	-5.2366148559536718e-01	-3.5407663492044383e-01	-8.1562533203425391e-01	-1.0337252540146156e+00	-7.2710303273566634e-01	-6.5743288161067182e-01	-5.2554786076878734e-01	-5.7408017851262916e-01	-5.3372043981903428e-01	-1.0262005267685306e+00	2.4060062981419836e+00
1.1749999999999999e-01	8.8250000000000006e-01	1.1749999999999999e-01	-3.8336125595995735e-01	-1.2007419670514263e+00	-5.2569146763184571e-01	-3.5071208642414958e-01	-8.1702845814829772e-01	-1.0417940124210614e+00	-7.3346287454744308e-01	-6.5858670249896922e-01	-5.1981138012160877e-01	-5.8002387516391607e-01	-5.4058140083346251e-01	-1.0298787185859939e+00	2.4016849674781495e+00
1.2000000000000000e-01	8.8000000000000000e-01	1.2000000000000000e-01	-3.8696187435976381e-01	-1.2051341568827083e+00	-5.2771146311909556e-01	-3.4730762524414682e-01	-8.1839493182112577e-01	-1.0497377382179054e+00	-7.3982694220048617e-01	-6.5974268562676996e-01	-5.1400270987719487e-01	-5.8599498469178790e-01	-5.4747397616880300e-01	-1.0335242755463088e+00	2.3974226201545368e+00
1.2250000000000000e-01	8.7749999999999995e-01	1.2250000000000000e-01	-3.9058289884550579e-01	-1.2094274818672195e+00	-5.2972078531361899e-01	-3.4386391755130297e-01	-8.1972252376696142e-01	-1.0575502968815937e+00	-7.4619237721995146e-01	-6.6090072974303149e-01	-5.0812403318256727e-01	-5.9199004629672791e-01	-5.5439623448164843e-01	-1.0371359034874408e+00	2.3932196458921502e+00
1.2500000000000000e-01	8.7500000000000000e-01	1.2500000000000000e-01	-3.9422365157302924e-01	-1.2136194177303823e+00	-5.3171874632312677e-01	-3.4038165741721116e-01	-8.2100894547528525e-01	-1.0652255321477648e+00	-7.5255623576151864e-01	-6.6206070481420431e-01	-5.0217761615430812e-01	-5.9800547462497133e-01	-5.6134616731736742e-01	-1.0407122889655140e+00	2.3890764349156801e+00
1.2750000000000000e-01	8.7250000000000005e-01	1.2750000000000000e-01	-3.9788343863284342e-01	-1.2177074689398060e+00	-5.3370465806322653e-01	-3.3686156696267161e-01	-8.2225185333564399e-01	-1.0727572758791859e+00	-7.5891549008287873e-01	-6.6322245125009627e-01	-4.9616580637978769e-01	-6.0403756292769517e-01	-5.6832168879706524e-01	-1.0442520997370477e+00	2.3849933778671435e+00
1.3000000000000000e-01	8.7000000000000000e-01	1.3000000000000000e-01	-4.0156155053104131e-01	-1.2216891720953260e+00	-5.3567783322210072e-01	-3.3330439647696941e-01	-8.2344885313061733e-01	-1.0801393584007211e+00	-7.6526703027180243e-01	-6.6438577917963360e-01	-4.9009103115156766e-01	-6.1008248668842813e-01	-5.7532063543649614e-01	-1.0477539852944100e+00	2.3809708657158413e+00
1.3250000000000001e-01	8.6749999999999994e-01	1.3250000000000001e-01	-4.0525726267599155e-01	-1.2255620993430589e+00	-5.3763758622951541e-01	-3.2971092450637851e-01	-8.2459750489224182e-01	-1.0873656192839813e+00	-7.7160766623751342e-01	-6.6555046778066473e-01	-4.8395579542962730e-01	-6.1613630772577066e-01	-5.8234076610431162e-01	-1.0512165774561806e+00	2.3770092896645703e+00
1.3500000000000001e-01	8.6499999999999999e-01	1.3500000000000001e-01	-4.0896983586868030e-01	-1.2293238618053861e+00	-5.3958323422641685e-01	-3.2608195791033939e-01	-8.2569532811485002e-01	-1.0944299185608906e+00	-7.7793412997122802e-01	-6.6671626466797984e-01	-4.7776267952735202e-01	-6.2219497877629437e-01	-5.8937976212694243e-01	-1.0546384910140589e+00	2.3731090410520177e+00
1.3750000000000001e-01	8.6250000000000004e-01	1.3750000000000001e-01	-4.1269851679455732e-01	-1.2329721130184939e+00	-5.4151409803122907e-01	-3.2241833188378971e-01	-8.2673980731486574e-01	-1.1013261483417789e+00	-7.8424307808080673e-01	-6.6788288534357709e-01	-4.7151433651856600e-01	-6.2825434856015916e-01	-5.9643522754731393e-01	-1.0580183244378667e+00	2.3692705112512709e+00
1.4000000000000001e-01	8.5999999999999999e-01	1.4000000000000001e-01	-4.1644253851485452e-01	-1.2365045523687042e+00	-5.4342950309890592e-01	-3.1872090994414543e-01	-8.2772839792557018e-01	-1.1080482448100462e+00	-7.9053109460345372e-01	-6.6905001271319386e-01	-4.6521348936440859e-01	-6.3431016732942269e-01	-6.0350468954443048e-01	-1.0613546606400890e+00	2.3654940915643916e+00
1.4249999999999999e-01	8.5750000000000004e-01	1.4249999999999999e-01	-4.2020112095543632e-01	-1.2399189285187060e+00	-5.4532878046871536e-01	-3.1499058388147044e-01	-8.2865853251236954e-01	-1.1145902005617678e+00	-7.9679469409931325e-01	-6.7021729667294627e-01	-4.5886292776039755e-01	-6.4035809289636891e-01	-6.1058559902067433e-01	-1.0646460678013008e+00	2.3617801731129946e+00
1.4499999999999999e-01	8.5499999999999998e-01	1.4499999999999999e-01	-4.2397347139131730e-01	-1.2432130428144512e+00	-5.4721126769671979e-01	-3.1122827367042227e-01	-8.2952762729146678e-01	-1.1209460772550492e+00	-8.0303032502765892e-01	-6.7138435376982564e-01	-4.5246550470568547e-01	-6.4639369713635453e-01	-6.1767533136340946e-01	-1.0678911002577005e+00	2.3581291467247811e+00
1.4749999999999999e-01	8.5250000000000004e-01	1.4749999999999999e-01	-4.2775878492519193e-01	-1.2463847526633465e+00	-5.4907630976886057e-01	-3.0743492734262068e-01	-8.3033308893231594e-01	-1.1271100185303347e+00	-8.0923437340610616e-01	-6.7255076693959415e-01	-4.4602413279824460e-01	-6.5241247295673732e-01	-6.2477118738719417e-01	-1.0710882994518118e+00	2.3545414028159812e+00
1.4999999999999999e-01	8.4999999999999998e-01	1.4999999999999999e-01	-4.3155624495842448e-01	-1.2494319748742440e+00	-5.5092325999065250e-01	-3.0361152081810994e-01	-8.3107232162162903e-01	-1.1330762631593971e+00	-8.1540316675200553e-01	-6.7371608532547012e-01	-4.3954178026150265e-01	-6.5840984172044403e-01	-6.3187039446256321e-01	-1.0742361949473134e+00	2.3510173312696776e+00
1.5250000000000000e-01	8.4750000000000003e-01	1.5250000000000000e-01	-4.3536502365316843e-01	-1.2523526889495542e+00	-5.5275148084945613e-01	-2.9975905769471456e-01	-8.3174273436424317e-01	-1.1388391583773991e+00	-8.2153297830377348e-01	-6.7487982418073578e-01	-4.3302146670977726e-01	-6.6438116110959533e-01	-6.3897010783693309e-01	-1.0773333055087124e+00	2.3475573213099628e+00
1.5500000000000000e-01	8.4499999999999997e-01	1.5500000000000000e-01	-4.3918428238446383e-01	-1.2551449403198192e+00	-5.5456034484544914e-01	-2.9587856899408793e-01	-8.3234174849366427e-01	-1.1443931733492074e+00	-8.2762003151855346e-01	-6.7604146485817607e-01	-4.2646625866174670e-01	-6.7032173341148937e-01	-6.4606741215275898e-01	-1.0803781402465038e+00	2.3441617613719199e+00
1.5750000000000000e-01	8.4250000000000003e-01	1.5750000000000000e-01	-4.4301317218142694e-01	-1.2578068435110232e+00	-5.5634923528748159e-01	-2.9197111286339655e-01	-8.3286680536277813e-01	-1.1497329127181359e+00	-8.3366050484105680e-01	-6.7720045488898639e-01	-4.1987926481305399e-01	-6.7622681420602726e-01	-6.5315932316754644e-01	-1.0833691998281303e+00	2.3408310389673948e+00
1.6000000000000000e-01	8.3999999999999997e-01	1.6000000000000000e-01	-4.4685083415683430e-01	-1.2603365852349573e+00	-5.5811754705016692e-01	-2.8803777423164673e-01	-8.3331537418298018e-01	-1.1548531301825529e+00	-8.3965053673701728e-01	-6.7835620815346476e-01	-4.1326363108104108e-01	-6.8209162143051216e-01	-6.6024278967979977e-01	-1.0863049777549951e+00	2.3375655405465632e+00
1.6250000000000001e-01	8.3750000000000002e-01	1.6250000000000001e-01	-4.5069639992469096e-01	-1.2627324273930494e+00	-5.5986468728871464e-01	-2.8407966441973420e-01	-8.3368495997790459e-01	-1.1597487420433064e+00	-8.4558623098311780e-01	-6.7950810514552562e-01	-4.0662253543646798e-01	-6.8791134479459226e-01	-6.6731469566434731e-01	-1.0891839617053987e+00	2.3343656513552800e+00
1.6500000000000001e-01	8.3499999999999996e-01	1.6500000000000001e-01	-4.5454899200562621e-01	-1.2649927099841853e+00	-5.6159007610823597e-01	-2.8009792070344358e-01	-8.3397311161602627e-01	-1.1644148406627410e+00	-8.5146366220372582e-01	-6.8065549333268915e-01	-3.9995918253888640e-01	-6.9368115551506004e-01	-6.7437186261987359e-01	-1.0920046349431936e+00	2.3312317552882189e+00
