# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-8.4526016193597231e-01	-5.1593853772501141e-01	-9.1882805407052492e-01	-1.3407792017974769e+00	-9.6744827957957802e-01	-4.6984321696835751e-01	-4.9667355889005943e-01	-9.6343209343094383e-01	-4.7097113783554245e-01	1.9833738173797175e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-8.5615714326254200e-01	-5.2696400301092139e-01	-9.2617488688351146e-01	-1.3528326174322436e+00	-9.8011866326522590e-01	-4.7996196178784856e-01	-5.1141643252198776e-01	-9.7585954755821491e-01	-4.7999470009388395e-01	1.9787164455999349e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-8.6717882697656268e-01	-5.3818258006937458e-01	-9.3360300374500471e-01	-1.3649348548165097e+00	-9.9295193526579673e-01	-4.9024897985098781e-01	-5.2639853301947426e-01	-9.8847951040773485e-01	-4.8919146723137275e-01	1.9740779156306743e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-8.7832375437425947e-01	-5.4959556673870269e-01	-9.4111265251354748e-01	-1.3770808378359891e+00	-1.0059465847242484e+00	-5.0070567159508927e-01	-5.4161943234975785e-01	-1.0012909833535146e+00	-4.9856343343458925e-01	1.9694572771678958e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-8.8959024733444003e-01	-5.6120409536232974e-01	-9.4870399966450569e-01	-1.3892651604250779e+00	-1.0191007914653367e+00	-5.1133333179001317e-01	-5.5707835536605166e-01	-1.0142925889764303e+00	-5.0811247254021086e-01	1.9648535626138308e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-9.0097639706812149e-01	-5.7300911850705283e-01	-9.5637712345542336e-01	-1.4014820753883073e+00	-1.0324124076620240e+00	-5.2213313907918069e-01	-5.7277415598625958e-01	-1.0274825461867585e+00	-5.1784032425088333e-01	1.9602657869274513e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-9.1248005266597643e-01	-5.8501139403230307e-01	-9.6413200673656985e-01	-1.4137254834120836e+00	-1.0458789390455285e+00	-5.3310614494015207e-01	-5.8870529261520876e-01	-1.0408586446745685e+00	-5.2774857959962373e-01	1.9556929474906986e+00
6.5000000000000002e-02	9.3500000000000005e-01	6.5000000000000002e-02	-9.2409880947522482e-01	-5.9721146951462512e-01	-9.7196852940167355e-01	-1.4259889223381828e+00	-1.0594975257057948e+00	-5.4425326205481206e-01	-6.0486980286198633e-01	-1.0544182187559015e+00	-5.3783866566015504e-01	1.9511340239925998e+00
6.7500000000000004e-02	9.3250000000000000e-01	6.7500000000000004e-02	-9.3582999734214944e-01	-6.0960966603622591e-01	-9.7988646047549188e-01	-1.4382655567770983e+00	-1.0732649225374091e+00	-5.5557525208177005e-01	-6.2126527761531924e-01	-1.0681581206952087e+00	-5.4811182950559645e-01	1.9465879783336422e+00
7.0000000000000007e-02	9.2999999999999994e-01	7.0000000000000007e-02	-9.4767066876131656e-01	-6.2220606135159096e-01	-9.8788544983682314e-01	-1.4505481681461860e+00	-1.0871774793949456e+00	-5.6707271282665295e-01	-6.3788883455222911e-01	-1.0820746935981547e+00	-5.5856912142361581e-01	1.9420537545528316e+00
7.2499999999999995e-02	9.2749999999999999e-01	7.2499999999999995e-02	-9.5961758697776778e-01	-6.3500047245190328e-01	-9.9596501957783068e-01	-1.4628291452244686e+00	-1.1012311210311918e+00	-5.7874606480941682e-01	-6.5473709116845324e-01	-1.0961637439833538e+00	-5.6921137740248595e-01	1.9375302787800470e+00
7.4999999999999997e-02	9.2500000000000004e-01	7.4999999999999997e-02	-9.7166721409386736e-01	-6.4799243755331859e-01	-1.0041245550030315e+00	-1.4751004753230519e+00	-1.1154213269018456e+00	-5.9059553723180835e-01	-6.7180613743328044e-01	-1.1104205141570320e+00	-5.8003920090961769e-01	1.9330164592164587e+00
7.7499999999999999e-02	9.2249999999999999e-01	7.7499999999999999e-02	-9.8381569923822043e-01	-6.6118119754200400e-01	-1.0123632952742339e+00	-1.4873537361772766e+00	-1.1297431109309348e+00	-6.0262115335253974e-01	-6.8909150818661857e-01	-1.1248396545309178e+00	-5.9105294399190100e-01	1.9285111861459105e+00
8.0000000000000002e-02	9.2000000000000004e-01	8.0000000000000002e-02	-9.9605886685999467e-01	-6.7456567691643099e-01	-1.0206803237108444e+00	-1.4995800886737483e+00	-1.1441910013425098e+00	-6.1482271528280708e-01	-7.0658815541202058e-01	-1.1394151960406949e+00	-6.0225268773581020e-01	1.9240133319802966e+00
8.2500000000000004e-02	9.1749999999999998e-01	8.2500000000000004e-02	-1.0083922052181205e+00	-6.8814446427546871e-01	-1.0290745577585811e+00	-1.5117702705324274e+00	-1.1587590206757357e+00	-6.2719978822031497e-01	-7.2429042053621118e-01	-1.1541405228400874e+00	-6.1363822213452923e-01	1.9195217513421396e+00
8.5000000000000006e-02	9.1500000000000004e-01	8.5000000000000006e-02	-1.0208108551411286e+00	-7.0191579240962632e-01	-1.0375447386435517e+00	-1.5239145910706509e+00	-1.1734406661127332e+00	-6.3975168414618944e-01	-7.4219200692309673e-01	-1.1690083454639879e+00	-6.2520902541944068e-01	1.9150352811876785e+00
8.7499999999999994e-02	9.1249999999999998e-01	8.7499999999999994e-02	-1.0333095991398065e+00	-7.1587751806206990e-01	-1.0460894207329483e+00	-1.5360029271824651e+00	-1.1882288902608851e+00	-6.5247744501585281e-01	-7.6028595274827981e-01	-1.1840106746726986e+00	-6.3696424292414899e-01	1.9105527409739316e+00
