# Parameters
$ K = 3
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-3.7634305583915223e-01	-4.3854018341671896e-01	-7.6967687149573039e-01	-4.3178398605795232e-01	-4.1899310585792854e-01	-4.1472890182588540e-01	-1.8854235913031209e-01	-4.3719712231487762e-01	-9.7447946896560322e-01	-1.4036868063991201e-01	-1.1937815675283283e+00	-8.2054251281106683e-01	2.9746221983281149e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.8022290539185749e-01	-4.4405299468484294e-01	-7.7592361424041278e-01	-4.3544647699101763e-01	-4.2454137135844427e-01	-4.1936324757858884e-01	-1.9769222346183671e-01	-4.4388893594007844e-01	-9.8042177726264323e-01	-1.5241105968223545e-01	-1.2026106959624074e+00	-8.2877617600210929e-01	2.9672197412687296e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.8415732328536484e-01	-4.4963476149597004e-01	-7.8222420220994360e-01	-4.3915512246267019e-01	-4.3015555660531535e-01	-4.2408781200779433e-01	-2.0700234169573317e-01	-4.5069222166197587e-01	-9.8640049894991022e-01	-1.6464043758716684e-01	-1.2114481234836825e+00	-8.3706957403411741e-01	2.9598854251087463e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.8814685619886757e-01	-4.5528590377791250e-01	-7.8857830363417036e-01	-4.4291050430167211e-01	-4.3583596135591324e-01	-4.2890392009764328e-01	-2.1647267752083907e-01	-4.5760763047548397e-01	-9.9241528061683726e-01	-1.7705444609153975e-01	-1.2202904229636067e+00	-8.4542126083651914e-01	2.9526191597023077e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.9219203648225448e-01	-4.6100681248581826e-01	-7.9498550131011425e-01	-4.4671319751644678e-01	-4.4158285512154472e-01	-4.3381286212322057e-01	-2.2610304364836079e-01	-4.6463572618802929e-01	-9.9846567856410773e-01	-1.8965044797401293e-01	-1.2291339690614267e+00	-8.5382967785075692e-01	2.9454208465758174e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.9629338073900389e-01	-4.6679784714928513e-01	-8.0144528728215603e-01	-4.5056376891003280e-01	-4.4739647473311073e-01	-4.3881588945831179e-01	-2.3589309361422792e-01	-4.7177697933788937e-01	-1.0045511529411266e+00	-2.0242552822013882e-01	-1.2379749322644227e+00	-8.6229314962415771e-01	2.9382903788281953e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.0045138833664817e-01	-4.7265933329414883e-01	-8.0795705737624834e-01	-4.5446277560746501e-01	-4.5327702178138235e-01	-4.4391421018420413e-01	-2.4584231337862172e-01	-4.7903176091345023e-01	-1.0106710617714756e+00	-2.1537648528613837e-01	-1.2468092731713074e+00	-8.7080987935713217e-01	2.9312276410320224e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.0466653984251161e-01	-4.7859155973645623e-01	-8.1452010559704069e-01	-4.5841076349312698e-01	-4.5922465992949957e-01	-4.4910898449742642e-01	-2.5595001273626877e-01	-4.8640033587835318e-01	-1.0168246548823172e+00	-2.2849982250157053e-01	-1.2556327370651450e+00	-8.7937794441646155e-01	2.9242325091359489e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.0893929538251456e-01	-4.8459477574655269e-01	-8.2113361839834320e-01	-4.6240826555583187e-01	-4.6523951209571518e-01	-4.5440131991499561e-01	-2.6621531655346831e-01	-4.9388285650891200e-01	-1.0230110677556834e+00	-2.4179173965430020e-01	-1.2644408488246339e+00	-8.8799529182887782e-01	2.9173048503687529e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.1327009292087169e-01	-4.9066918808155946e-01	-8.2779666883909320e-01	-4.6645580013956461e-01	-4.7132165750481586e-01	-4.5979226627654612e-01	-2.7663715585031495e-01	-5.0147935555171685e-01	-1.0292293153215819e+00	-2.5524812480443887e-01	-1.2732289082250032e+00	-8.9665973377073760e-01	2.9104445231455216e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-4.1765934645871056e-01	-4.9681495788506597e-01	-8.3450821063872915e-01	-4.7055386909811731e-01	-4.7747112860717178e-01	-4.6528281054358067e-01	-2.8721425874926543e-01	-5.0918973921100064e-01	-1.0354782857149791e+00	-2.6886454637721169e-01	-1.2819919856819804e+00	-9.0536894307119198e-01	2.9036513769764176e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-4.2210744414971219e-01	-5.0303219745334382e-01	-8.4126707214783292e-01	-4.7470295585211392e-01	-4.8368790786489579e-01	-4.7087387139706782e-01	-2.9794514131399280e-01	-5.1701377997711340e-01	-1.0417567340208707e+00	-2.8263624558796624e-01	-1.2907249184944090e+00	-9.1412044874790122e-01	2.8969252523785674e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-4.2661474633109275e-01	-5.0932096686802086e-01	-8.4807195025186599e-01	-4.7890352334727376e-01	-4.8997192440525028e-01	-4.7656629363567515e-01	-3.0882809830543595e-01	-5.2495110930937228e-01	-1.0480632760338773e+00	-2.9655812925575037e-01	-1.2994223076429603e+00	-9.2291163159611456e-01	2.8902659807916251e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-4.3118158346842211e-01	-5.1568127049583079e-01	-8.5492140422793783e-01	-4.8315601191313690e-01	-4.9632305054209047e-01	-4.8236084237810017e-01	-3.1986119388501855e-01	-5.3300121018855751e-01	-1.0543963820610576e+00	-3.1062476306503167e-01	-1.3080785152040142e+00	-9.3173971985364046e-01	2.8836733844976425e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-4.3580825401303819e-01	-5.2211305335676983e-01	-8.6181384957673435e-01	-4.8746083702190751e-01	-5.0274109816693380e-01	-4.8825819707425788e-01	-3.3104225229823031e-01	-5.4116340955649689e-01	-1.0607543707989053e+00	-3.2483036533811621e-01	-1.3166876624391464e+00	-9.4060178496604430e-01	2.8771472765458723e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-4.4049502217107145e-01	-5.2861619736284149e-01	-8.6874755185400365e-01	-4.9181838694754249e-01	-5.0922581501204056e-01	-4.9425894533145159e-01	-3.4236884857505051e-01	-5.4943687066242675e-01	-1.0671354033178211e+00	-3.3916880138368966e-01	-1.3252436286216795e+00	-9.4949473747819502e-01	2.8706874606832171e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-4.4524211558342347e-01	-5.3519051743043478e-01	-8.7572062052832400e-01	-4.9622902032573446e-01	-5.1577688078882278e-01	-5.0036357656316777e-01	-3.5383829928709737e-01	-5.5782058533820189e-01	-1.0735374771895632e+00	-3.5363357848950555e-01	-1.3337400506624320e+00	-9.5841532308008648e-01	2.8642937312910557e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-4.5004972291638623e-01	-5.4183575747038748e-01	-8.8273100289430328e-01	-5.0069306361603583e-01	-5.2239390320587231e-01	-5.0657247546972539e-01	-3.6544765340484625e-01	-5.6631336622689887e-01	-1.0799584207954802e+00	-3.6821784162962784e-01	-1.3421703235970044e+00	-9.6736011883661399e-01	2.8579658733292277e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-4.5491799136300276e-01	-5.4855158626078682e-01	-8.8977647807276217e-01	-5.0521080846796995e-01	-5.2907641387195392e-01	-5.1288591536173789e-01	-3.7719368330175351e-01	-5.7491383899193815e-01	-1.0863958878554492e+00	-3.8291436995866557e-01	-1.3505276019967758e+00	-9.7632552963275476e-01	2.8517036622880090e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-4.5984702405570987e-01	-5.5533759320875375e-01	-8.9685465113194340e-01	-5.0978250899368993e-01	-5.3582386409045646e-01	-5.1930405133916335e-01	-3.8907287595565299e-01	-5.8362043453648993e-01	-1.0928473522195630e+00	-3.9771557416711678e-01	-1.3588048023650330e+00	-9.8530778486726689e-01	2.8455068641489376e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-4.6483687739128854e-01	-5.6219328400859048e-01	-9.0396294736625005e-01	-5.1440837895046077e-01	-5.4263562055298831e-01	-5.2582691334061915e-01	-4.0108142440129024e-01	-5.9243138126565087e-01	-1.0993101029665384e+00	-4.1261349477317777e-01	-1.3669946065783736e+00	-9.9430293542962689e-01	2.8393752353554000e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-4.6988755826970807e-01	-5.6911807620503918e-01	-9.1109860677145527e-01	-5.1908858883704689e-01	-5.4951096094111007e-01	-5.3245439907969372e-01	-4.1321521949131884e-01	-6.0134469742665952e-01	-1.1057812398546485e+00	-4.2759980142713727e-01	-1.3750894664317272e+00	-1.0033068509964496e+00	2.8333085227939372e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-4.7499902124903909e-01	-5.7611129467168365e-01	-9.1825867875774581e-01	-5.2382326290892656e-01	-5.5644906944653405e-01	-5.3918626688705384e-01	-4.2546984202645421e-01	-6.1035818356518434e-01	-1.1122576691725850e+00	-4.4266579330467370e-01	-1.3830816093427531e+00	-1.0123152176849763e+00	2.8273064637872398e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-4.8017116561925288e-01	-5.8317216701602181e-01	-9.2544001714426616e-01	-5.2861247611813533e-01	-5.6344903222155385e-01	-5.4602212847937737e-01	-4.3784055531871791e-01	-6.1946941513855147e-01	-1.1187361000390557e+00	-4.5780240066497491e-01	-1.3909630452683044e+00	-1.0213235361024962e+00	2.8213687860998813e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-4.8540383239843660e-01	-5.9029981892418804e-01	-9.3263927548109560e-01	-5.3345625098451421e-01	-5.7050983277295197e-01	-5.5296144167836470e-01	-4.5032229825478554e-01	-6.2867573532953869e-01	-1.1252130412010588e+00	-4.7300018764854745e-01	-1.3987255748817082e+00	-1.0303271198315485e+00	2.8154952079578175e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-4.9069680125570325e-01	-5.9749326945991199e-01	-9.3985290274663058e-01	-5.3835455440609603e-01	-5.7763034731418206e-01	-5.6000350310543667e-01	-4.6290967892929341e-01	-6.3797424810709513e-01	-1.1316847983816061e+00	-4.8824935638777728e-01	-1.4063607990550830e+00	-1.0393210943916376e+00	2.8096854380827740e+00
