# Parameters
$ K = 4
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-3.5780866702140030e-01	-3.6690312063442287e-01	-6.0137407621576078e-01	-4.7686696614029100e-01	-3.7702786780203640e-01	-7.5060083389962717e-01	-4.4580970645458579e-01	-6.1242635753295560e-01	-1.0124211563650425e+00	-1.4992593453343700e-01	-1.7869895600763905e-01	-6.3786889510009395e-02	2.1307415020300907e-01	-1.3392439894795724e-01	4.0498883516819038e-02	3.1314320228764354e-02	-5.9426418897189540e-02	8.4598192397734737e-02	-4.1310421424113550e-02	9.5143570446685390e-03	2.2587918126602280e-01	2.2820995703575249e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.5632871572729879e-01	-3.6803994633155129e-01	-6.0483094820082628e-01	-4.7922321201656148e-01	-3.8233883931197726e-01	-7.6069470424389818e-01	-4.4536876713922313e-01	-6.1253323036289298e-01	-1.0209102381839477e+00	-1.5067550162991553e-01	-1.7959345909007407e-01	-6.4105265907510950e-02	2.1413917296185050e-01	-1.3459326756440732e-01	4.0702593351970094e-02	3.1470838142303899e-02	-5.9722991021892283e-02	8.5019987837842578e-02	-4.1515632798147059e-02	9.5617727470770058e-03	2.2699843435876066e-01	2.2764123471505533e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.5479112635145088e-01	-3.6919273551746873e-01	-6.0830684166038529e-01	-4.8160631360933387e-01	-3.8771279315013751e-01	-7.7087691356391375e-01	-4.4490447326265503e-01	-6.1258938015891840e-01	-1.0294310743415356e+00	-1.5142488845640609e-01	-1.8048996872302137e-01	-6.4422486700772094e-02	2.1520335333733251e-01	-1.3526060395120962e-01	4.0908753002132155e-02	3.1627230869230458e-02	-6.0018391420130254e-02	8.5439183803766694e-02	-4.1718065483856835e-02	9.6088521773738545e-03	2.2809663220711313e-01	2.2707612185406654e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.5319512317935514e-01	-3.7036209273597664e-01	-6.1180171331803046e-01	-4.8401692853244704e-01	-3.9314988759511116e-01	-7.8114538559802615e-01	-4.4441692500321489e-01	-6.1259421419744686e-01	-1.0379812316943133e+00	-1.5217401072373796e-01	-1.8138846987648993e-01	-6.4738491734915096e-02	2.1626646559974633e-01	-1.3592637182803433e-01	4.1117390021897689e-02	3.1783471094926456e-02	-6.0312540845118182e-02	8.5855458032296272e-02	-4.1917570907615970e-02	9.6555580667951491e-03	2.2917259965021400e-01	2.2651462478416589e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.5153992776335335e-01	-3.7154863021417528e-01	-6.1531551337931889e-01	-4.8645570976176655e-01	-3.9865024115157255e-01	-7.9149788521174635e-01	-4.4390623209723240e-01	-6.1254715419166506e-01	-1.0465581536264725e+00	-1.5292278191367481e-01	-1.8228894756154640e-01	-6.5053219624916975e-02	2.1732827564416898e-01	-1.3659053756737738e-01	4.1328530660904000e-02	3.1939530690723528e-02	-6.0605357912997856e-02	8.6268475265513497e-02	-4.2113996841344141e-02	9.7018516488460386e-03	2.3022513417910581e-01	2.2595674964750314e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.4982475941489760e-01	-3.7275296738219454e-01	-6.1884818525528151e-01	-4.8892330395305139e-01	-4.0421392989344956e-01	-8.0193201396384239e-01	-4.4337251382285114e-01	-6.1244763729968998e-01	-1.0551591575271444e+00	-1.5367111317740409e-01	-1.8319138679318797e-01	-6.5366607714876290e-02	2.1838854073927361e-01	-1.3725307029452485e-01	4.1542199754913543e-02	3.2095380691827796e-02	-6.0896759041337102e-02	8.6677887050479394e-02	-4.2307187408085298e-02	9.7476926372715451e-03	2.3125300638138471e-01	2.2540250239814781e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-3.4804883574687545e-01	-3.7397573035040182e-01	-6.2239966527721446e-01	-4.9142034965846521e-01	-4.0984098471086156e-01	-8.1244520577837465e-01	-4.4281589897439716e-01	-6.1229511716035068e-01	-1.0637814324024422e+00	-1.5441891323035395e-01	-1.8409577254983023e-01	-6.5678592036361449e-02	2.1944700927579253e-01	-1.3791394198659715e-01	4.1758420613194500e-02	3.2250991274821013e-02	-6.1186658386679756e-02	8.7083331557059898e-02	-4.2496983095626738e-02	9.7930392063009398e-03	2.3225496047544242e-01	2.2485188880345901e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-3.4621137326905677e-01	-3.7521755134195339e-01	-6.2596988240278595e-01	-4.9394747543930662e-01	-4.1553138846206428e-01	-8.2303472274390255e-01	-4.4223652582730671e-01	-6.1208906495597926e-01	-1.0724220366397017e+00	-1.5516608824340178e-01	-1.8500208972929080e-01	-6.5989107265933086e-02	2.2050342051545568e-01	-1.3857312757044349e-01	4.1977214902233259e-02	3.2406331734750743e-02	-6.1474967781299378e-02	8.7484433415843124e-02	-4.2683220778719860e-02	9.8378479734003866e-03	2.3322971493898542e-01	2.2430491444568394e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-3.4431158803980749e-01	-3.7647906807863213e-01	-6.2955875791348459e-01	-4.9650529787272946e-01	-4.2128507303219459e-01	-8.3369765106226457e-01	-4.4163454209366809e-01	-6.1182897050145135e-01	-1.0810778959420988e+00	-1.5591254173056712e-01	-1.8591032310113711e-01	-6.6298086681944354e-02	2.2155750434128538e-01	-1.3923060501914780e-01	4.2198602525822013e-02	3.2561370461826028e-02	-6.1761596669327401e-02	8.7880803578175667e-02	-4.2865733750475012e-02	9.8820739847767722e-03	2.3417596323648004e-01	2.2376158472378860e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-3.4234869637728260e-01	-3.7776092311774007e-01	-6.3316620510350075e-01	-4.9909441945045124e-01	-4.2710191630111216e-01	-8.4443089717045539e-01	-4.4101010486844805e-01	-6.1151434335854615e-01	-1.0897458014525119e+00	-1.5665817443329760e-01	-1.8682045725527693e-01	-6.6605462120734635e-02	2.2260898101022422e-01	-1.3988635544690114e-01	4.2422601501586304e-02	3.2716074917737002e-02	-6.2046452042451322e-02	8.8272039200416250e-02	-4.3044351763509098e-02	9.9256707038828367e-03	2.3509237465011512e-01	2.2322190485553461e+00
