# Parameters
$ K = 4
$ N = 15
$ M = 37
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	E
0	1.0000000000000000e+00	0	-6.3094168655190019e-01	-2.9197382533145039e-01	-2.4885395664491303e-01	-3.2824308422166681e-01	-9.6271095241345550e-01	-5.8392641707547466e-01	-2.6174506761612715e-01	-2.0414595530650378e-01	-5.2952723326707019e-01	-2.0393861367966359e-01	-4.8603714580637797e-01	-5.9155201480768860e-01	-7.8302758504176495e-01	-6.6531945941700232e-01	-1.9549884265511155e-01	1.6520959434489046e-01	6.5593779786061027e-02	9.9991793914880833e-02	4.5352569730037630e-02	1.3844454547286927e-01	1.1195482402237768e-01	1.2885470918096542e-01	1.8707231991701168e-01	2.0114570135469922e-01	1.0838525670394725e-01	6.0662962150137299e-02	1.4981033393440069e-01	1.2731298730682467e-01	1.0694173139557489e-01	1.2210509845427889e-01	1.8479262391236370e-01	1.0687402317381758e-01	1.4702830639005435e-01	1.7115239532436308e-01	1.8284997847713069e-01	5.6872393064513097e-02	2.8640311839918253e-01	2.9944933007932244e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.3626420778285364e-01	-2.9536964347301475e-01	-2.5197191202520813e-01	-3.3434956762218943e-01	-9.6839646360014864e-01	-5.8993392888156393e-01	-2.6702284042191499e-01	-2.0938440883204104e-01	-5.3621884890053029e-01	-2.0874503408965436e-01	-4.9110442041935304e-01	-5.9827995489517827e-01	-7.9015511956168460e-01	-6.7256457934260894e-01	-1.9986602574876464e-01	1.6603398746462342e-01	6.5921605132157973e-02	1.0049123328284153e-01	4.5579404511574322e-02	1.3913566282090767e-01	1.1251505605429730e-01	1.2950013011512215e-01	1.8800661311183428e-01	2.0215231705070030e-01	1.0892520409575433e-01	6.0967190184583603e-02	1.5056010096246239e-01	1.2794855970814253e-01	1.0747598819809157e-01	1.2271260419863222e-01	1.8571536741078962e-01	1.0740614646921681e-01	1.4776168113721785e-01	1.7200729351562102e-01	1.8376266133370225e-01	5.7155640299789104e-02	2.8783590807119047e-01	2.9870337914097544e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.4162576825613593e-01	-2.9881970133866126e-01	-2.5515258532918833e-01	-3.4054217383073232e-01	-9.7409077825589985e-01	-5.9599668295895669e-01	-2.7240273174892293e-01	-2.1473336510747759e-01	-5.4300140847099609e-01	-2.1364260668000373e-01	-4.9623326619602337e-01	-6.0507455400323784e-01	-7.9734008385479771e-01	-6.7987213843860184e-01	-2.0432217291796992e-01	1.6685484267903700e-01	6.6249077920286170e-02	1.0098950268120657e-01	4.5806330669700503e-02	1.3982436629689796e-01	1.1307612679467635e-01	1.3014780062477241e-01	1.8893851351888494e-01	2.0316055953920681e-01	1.0946096256260451e-01	6.1273230202473564e-02	1.5131119244256713e-01	1.2858195308393242e-01	1.0800919656560375e-01	1.2331377507361288e-01	1.8663539987380715e-01	1.0793358933931935e-01	1.4849124608319911e-01	1.7286023967030689e-01	1.8467193584400560e-01	5.7436563388452377e-02	2.8927005025639990e-01	2.9796275567176509e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.4702601500847889e-01	-3.0232491318993887e-01	-2.5839713455666335e-01	-3.4682117322875416e-01	-9.7979301750238679e-01	-6.0211439733609518e-01	-2.7788572013139684e-01	-2.2019424921389952e-01	-5.4987494647278534e-01	-2.1863198676386167e-01	-5.0142397705623754e-01	-6.1193543896121860e-01	-8.0458182363911235e-01	-6.8724136967435923e-01	-2.0886795384360207e-01	1.6767180952479899e-01	6.6576097102088644e-02	1.0148640013589523e-01	4.6033266046185989e-02	1.4051034233643545e-01	1.1363791565237970e-01	1.3079764961600812e-01	1.8986762465690271e-01	2.0417019719341964e-01	1.0999217571882482e-01	6.1581057971737428e-02	1.5206344244859335e-01	1.2921286692103734e-01	1.0854113077114604e-01	1.2390815679483776e-01	1.8755229978493373e-01	1.0845606564360918e-01	1.4921657337771227e-01	1.7371088462175940e-01	1.8557737806361271e-01	5.7715016856269591e-02	2.9070524032094736e-01	2.9722743307108059e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.5246456063886737e-01	-3.0588619416511326e-01	-2.6170671613218116e-01	-3.5318678136512027e-01	-9.8550227025958681e-01	-6.0828674262499183e-01	-2.8347272775810184e-01	-2.2576844349227673e-01	-5.5683939459283827e-01	-2.2371375857849116e-01	-5.0667681513288698e-01	-6.1886216573822306e-01	-8.1187960981131579e-01	-6.9467141493077245e-01	-2.1350396792232018e-01	1.6848452652190840e-01	6.6902557720317835e-02	1.0198171575648236e-01	4.6260123771865301e-02	1.4119326529409204e-01	1.1420029525312354e-01	1.3144960144602721e-01	1.9079353297357554e-01	2.0518098423068912e-01	1.1051847406323295e-01	6.1890645709600588e-02	1.5281667608821931e-01	1.2984098761967983e-01	1.0907155321298563e-01	1.2449527991556716e-01	1.8846562675580411e-01	1.0897328118549354e-01	1.4993721678215549e-01	1.7455886211544261e-01	1.8647854700156266e-01	5.7990850543415233e-02	2.9214115830692450e-01	2.9649738386707027e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.5794098197515383e-01	-3.0950445885582850e-01	-2.6508248301722520e-01	-3.5963915534878266e-01	-9.9121759215836247e-01	-6.1451333988180012e-01	-2.8916461559311285e-01	-2.3145728249672162e-01	-5.6389457510476004e-01	-2.2888842955666272e-01	-5.1199200866025785e-01	-6.2585421575748479e-01	-8.1923263484992082e-01	-7.0216132030240241e-01	-2.1823073888908887e-01	1.6929262101132686e-01	6.7228350805363199e-02	1.0247523154995967e-01	4.6486812082832472e-02	1.4187279717021520e-01	1.1476313115187080e-01	1.3210357571884954e-01	1.9171580736490834e-01	2.0619266008504430e-01	1.1103947471447725e-01	6.2201961864024873e-02	1.5357070917235008e-01	1.3046598810227628e-01	1.0960021396325345e-01	1.2507465959355388e-01	1.8937492098482656e-01	1.0948493358589183e-01	1.5065271119762422e-01	1.7540378822815003e-01	1.8737498420665041e-01	5.8263909488519325e-02	2.9357746837943172e-01	2.9577257970015611e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.6345481870989764e-01	-3.1318061977338219e-01	-2.6852558268748983e-01	-3.6617839009405889e-01	-9.9693800441459524e-01	-6.2079375841359408e-01	-2.9496217828337379e-01	-2.3726204768559173e-01	-5.7104019405167172e-01	-2.3415642436839432e-01	-5.1736974978238681e-01	-6.3291099210397461e-01	-8.2664000911680668e-01	-7.0971003126732146e-01	-2.2304870923658870e-01	1.7009570900090748e-01	6.7553363271309258e-02	1.0296672123701871e-01	4.6713234133849195e-02	1.4254858734386416e-01	1.1532628153828335e-01	1.3275948707445609e-01	1.9263399869815928e-01	2.0720494876554879e-01	1.1155478115669337e-01	6.2514970886614257e-02	1.5432534787959371e-01	1.3108752742282631e-01	1.1012685031248125e-01	1.2564579537534834e-01	1.9027970272255088e-01	1.0999071216192917e-01	1.5136257220564409e-01	1.7624526078816891e-01	1.8826621336405849e-01	5.8534033813433119e-02	2.9501381827040013e-01	2.9505299130611196e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-6.6900557200599242e-01	-3.1691558569979433e-01	-2.7203715496969350e-01	-3.7280451441766971e-01	-1.0026624926646870e+00	-6.2712751353268104e-01	-3.0086613885148078e-01	-2.4318396184602101e-01	-5.7827583422469964e-01	-2.3951807873553707e-01	-5.2281019228095083e-01	-6.4003181562814937e-01	-8.3410075706010622e-01	-7.1731638773069906e-01	-2.2795823443404334e-01	1.7089339502060244e-01	6.7877477811736420e-02	1.0345595007154224e-01	4.6939287809338898e-02	1.4322027231320800e-01	1.1588959693559624e-01	1.3341724497138036e-01	1.9354763934026339e-01	2.0821755820152055e-01	1.1206398299721111e-01	6.2829632996987544e-02	1.5508038841639568e-01	1.3170525037826161e-01	1.1065118631143583e-01	1.2620817100035092e-01	1.9117947174634092e-01	1.1049029781152853e-01	1.5206629562460885e-01	1.7708285879882318e-01	1.8915173990475787e-01	5.8801058609192595e-02	2.9644983872109493e-01	2.9433858849871672e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-6.7459270307278252e-01	-3.2071025991885127e-01	-2.7561832973248546e-01	-3.7951748698727789e-01	-1.0083900057624737e+00	-6.3351406426000434e-01	-3.0687714317299181e-01	-2.4922418324828088e-01	-5.8560094794570028e-01	-2.4497363302310962e-01	-5.2831344922249468e-01	-6.4721592094956470e-01	-8.4161381332223539e-01	-7.2497911894944245e-01	-2.3295957694926320e-01	1.7168527198798192e-01	6.8200572795495309e-02	1.0394267466404407e-01	4.7164865532390909e-02	1.4388747544480648e-01	1.1645291989334186e-01	1.3407675346281617e-01	1.9445624269384829e-01	2.0923017957583584e-01	1.1256665573816714e-01	6.3145903938662318e-02	1.5583561667352969e-01	1.3231878712328707e-01	1.1117293231181305e-01	1.2676125422705695e-01	1.9207370684717323e-01	1.1098336290476263e-01	1.5276335708513750e-01	1.7791614186804783e-01	1.9003105063030498e-01	5.9064813823712266e-02	2.9788514292544233e-01	2.9362934015199991e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-6.8021563171356181e-01	-3.2456553832236495e-01	-2.7927022442608895e-01	-3.8631719212203181e-01	-1.0141194545378291e+00	-6.3995281097958490e-01	-3.1299575423848425e-01	-2.5538379952733042e-01	-5.9301484966472562e-01	-2.5052322561288809e-01	-5.3387959052509681e-01	-6.5446245236483391e-01	-8.4917801875770682e-01	-7.3269683834667898e-01	-2.3805290007910868e-01	1.7247092108515563e-01	6.8522522162715566e-02	1.0442664280984615e-01	4.7389854072251110e-02	1.4454980673330017e-01	1.1701608467443730e-01	1.3473791096633464e-01	1.9535930274312072e-01	2.1024248664772785e-01	1.1306236056400726e-01	6.3463734726539781e-02	1.5659080787971441e-01	1.3292775279038849e-01	1.1169178450752879e-01	1.2730449668409233e-01	1.9296186533162302e-01	1.1146957118288887e-01	1.5345321162782108e-01	1.7874464964691203e-01	1.9090361335586112e-01	5.9325124151791669e-02	2.9931932597654171e-01	2.9292521418209589e+00
