# Parameters
$ K = 3
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-2.6873433105526823e-01	-1.0444049570617202e+00	-2.6290796398540428e-01	-6.4683210095897747e-01	-7.8674789125345912e-01	-6.2452649957370643e-01	-1.8689481975661704e-01	-3.8856672867908343e-01	-6.0485944909685152e-01	-6.4891870139529029e-01	-5.2121914293511806e-01	-4.9072210905823438e-01	2.9746221983281149e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.7498358890535213e-01	-1.0529897019712628e+00	-2.6711835370712672e-01	-6.5174149550219840e-01	-7.9408895997055906e-01	-6.3374809645891728e-01	-1.9084809654544618e-01	-3.9553283888380647e-01	-6.1179524504458704e-01	-6.5679205637886162e-01	-5.2792056292057843e-01	-4.9621214315581608e-01	2.9672143035903193e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.8133263971507122e-01	-1.0616054782269229e+00	-2.7139529490064745e-01	-6.5669640806497476e-01	-8.0149975244654104e-01	-6.4308234992602520e-01	-1.9489422863088521e-01	-4.0258563488368310e-01	-6.1881056812342417e-01	-6.6475378079743563e-01	-5.3470824140979512e-01	-5.0177350227868223e-01	2.9598635310828088e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.8778204148238684e-01	-1.0702499936235965e+00	-2.7573953653233024e-01	-6.6169690707732209e-01	-8.0897982154168258e-01	-6.5252868140724041e-01	-1.9903478764449348e-01	-4.0972469922589250e-01	-6.2590537697169479e-01	-6.7280337141715973e-01	-5.4158233466785566e-01	-5.0740630077174986e-01	2.9525695734243431e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.9433229798670107e-01	-1.0789208372878933e+00	-2.8015181440812653e-01	-6.6674302680911079e-01	-8.1652863604327175e-01	-6.6208638341670389e-01	-2.0327133292577221e-01	-4.1694952674334146e-01	-6.3307956317978842e-01	-6.8094022081393246e-01	-5.4854292764019752e-01	-5.1311058684101363e-01	2.9453321118818283e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.0098385522777221e-01	-1.0876154765156516e+00	-2.8463284956398904e-01	-6.7183476517889851e-01	-8.2414557630105845e-01	-6.7175461332053710e-01	-2.0760540860154406e-01	-4.2425952051022653e-01	-6.4033294745527947e-01	-6.8916361216504318e-01	-5.5559002940506863e-01	-5.1888633855008437e-01	2.9381508162707881e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-3.0773709774558988e-01	-1.0963312536561711e+00	-2.8918334657652378e-01	-6.7697208148587540e-01	-8.3182992975197800e-01	-6.8153238698932628e-01	-2.1203854050144649e-01	-4.3165398771667368e-01	-6.4766527566742849e-01	-6.9747271392372401e-01	-5.6272356847329230e-01	-5.2473345970604068e-01	2.9310253448593357e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-3.1459234482261628e-01	-1.1050653830562440e+00	-2.9380399179229572e-01	-6.8215489406555763e-01	-8.3958088633951911e-01	-6.9141857234405724e-01	-2.1657223290584107e-01	-4.3913213546850977e-01	-6.5507621477344025e-01	-7.0586657438431544e-01	-5.6994338793833255e-01	-5.3065177563905552e-01	2.9239553442760715e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-3.2154984657035557e-01	-1.1138149480780564e+00	-2.9849545147437578e-01	-6.8738307787024233e-01	-8.4739753383404104e-01	-7.0141188280799904e-01	-2.2120796512277766e-01	-4.4669306651908985e-01	-6.6256534862959660e-01	-7.1434411614696747e-01	-5.7724924048062143e-01	-5.3664102888111753e-01	2.9169404494223663e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-3.2860977990290319e-01	-1.1225768982059416e+00	-3.0325836986490362e-01	-6.9265646197561059e-01	-8.5527885306142004e-01	-7.1151087067861163e-01	-2.2594718789106552e-01	-4.5433577494106558e-01	-6.7013217369120448e-01	-7.2290413049211577e-01	-5.8464078323117374e-01	-5.4270087475010209e-01	2.9099802833895212e+00
