# Parameters
$ K = 3
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-6.1417884344113127e-01	-2.5457476422160286e-01	-6.4954720892747808e-01	-4.3745539955739876e-01	-4.2464598627507544e-01	-3.3188661913815098e-01	-2.9260572458235490e-01	-7.9890530353019229e-01	-6.5943932790534188e-01	1.7762548560436178e-01	1.7669098384722590e-01	1.1457475372218232e-01	6.6091892098608759e-02	1.0932233689235459e-01	9.5428206525816905e-02	6.7620538819742157e-02	1.1776650279706179e-01	1.5228907918744172e-01	1.4202440031187777e-01	9.8311455813119203e-02	6.0210351299701419e-02	2.5632360962189020e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.1960725559470076e-01	-2.5956348073618507e-01	-6.5376090816827437e-01	-4.4292836870440128e-01	-4.3058429154590888e-01	-3.3678734254762965e-01	-2.9672045640367561e-01	-8.0626940794830315e-01	-6.6530496176348763e-01	1.7851226936102432e-01	1.7757391600921857e-01	1.1514810899075202e-01	6.6422689230157969e-02	1.0986780866914385e-01	9.5905901138884128e-02	6.7958615378027082e-02	1.1835359682144117e-01	1.5305111650739706e-01	1.4273152338852138e-01	9.8802827809672658e-02	6.0511407143055661e-02	2.5568461291449425e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.2507522718550868e-01	-2.6463087135024310e-01	-6.5800725901542900e-01	-4.4846850947092470e-01	-4.3661427839711686e-01	-3.4176022704649384e-01	-3.0090082922518852e-01	-8.1367820334398977e-01	-6.7122198207011741e-01	1.7939613830878293e-01	1.7845561424682044e-01	1.1572233484886815e-01	6.6754092097413759e-02	1.1041082268532719e-01	9.6384618710282588e-02	6.8296580724565376e-02	1.1893698323934812e-01	1.5381420043402885e-01	1.4343235700666668e-01	9.9293740671026406e-02	6.0812401878250266e-02	2.5504922796617824e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.3058230332741272e-01	-2.6977757214814868e-01	-6.6228641683192535e-01	-4.5407603140988306e-01	-4.4273658924707610e-01	-3.4680598437262683e-01	-3.0514754793019738e-01	-8.2113054177664413e-01	-6.7719013141231621e-01	1.8027674225795712e-01	1.7933578784504542e-01	1.1629728743735160e-01	6.7085991424714428e-02	1.1095110487926371e-01	9.6864227062206237e-02	6.8634343493488459e-02	1.1951630636326352e-01	1.5457811667813295e-01	1.4412645389103973e-01	9.9784057507019505e-02	6.1113227840278568e-02	2.5441743496978577e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.3612798493311462e-01	-2.7500419069738585e-01	-6.6659852634626870e-01	-4.5975110460457291e-01	-4.4895181806004703e-01	-3.5192530682879730e-01	-3.0946130166289615e-01	-8.2862520334541290e-01	-6.8320911015296393e-01	1.8115371883415762e-01	1.8021413508383050e-01	1.1687281572115352e-01	6.7418271242770736e-02	1.1148837152499698e-01	9.7344585933522937e-02	6.8971808270624879e-02	1.2009119728977799e-01	1.5534263938527781e-01	1.4481335350131738e-01	1.0027363591338671e-01	6.1413772248323048e-02	2.5378921344885352e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.4171172685290157e-01	-2.8031130381514563e-01	-6.7094372078656428e-01	-4.6549385728767417e-01	-4.5526050692313691e-01	-3.5711886530912124e-01	-3.1384276225395524e-01	-8.3616089405816429e-01	-6.8927857466663800e-01	1.8202669323572238e-01	1.8109034298384238e-01	1.1744876125680144e-01	6.7750808628181752e-02	1.1202232906332268e-01	9.7825546660790505e-02	6.9308875457290475e-02	1.2066127363005660e-01	1.5610753071942393e-01	1.4549258189992501e-01	1.0076232780183352e-01	6.1713917046948362e-02	2.5316454224722746e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.4733293597087560e-01	-2.8569945524416607e-01	-6.7532212097047950e-01	-4.7130437338106423e-01	-4.6166314250418983e-01	-3.6238730723137663e-01	-3.1829258257909382e-01	-8.4373624370258671e-01	-6.9539813554257013e-01	1.8289527799721852e-01	1.8196408705532094e-01	1.1802495795768718e-01	6.8083473439064179e-02	1.1255267393986194e-01	9.8306951853894792e-02	6.9645441131839458e-02	1.2122613924854865e-01	1.5687254044099003e-01	1.4616365163537196e-01	1.0124997922774902e-01	6.2013538746311533e-02	2.5254339951859190e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-6.5299096926033529e-01	-2.9116915323685144e-01	-6.7973383434981149e-01	-4.7718268995693464e-01	-4.6816015239132563e-01	-3.6773125437336412e-01	-3.2281139484981064e-01	-8.5134980372492752e-01	-7.0156735575659368e-01	1.8375907276010053e-01	1.8283503105084456e-01	1.1860123185764994e-01	6.8416128047271846e-02	1.1307909245106022e-01	9.8788635066822950e-02	6.9981396909156376e-02	1.2178538401130132e-01	1.5763740548011987e-01	1.4682606164253198e-01	1.0173643021580316e-01	6.2312508261729377e-02	2.5192576271592455e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-6.5868513180022481e-01	-2.9672086804693576e-01	-6.8417895400844708e-01	-4.8312879462100061e-01	-4.7475190131535361e-01	-3.7315130061171503e-01	-3.2739980883558345e-01	-8.5900004512233308e-01	-7.0778574881423029e-01	1.8461766405168903e-01	1.8370282672296911e-01	1.1917740087334290e-01	6.8748627067734214e-02	1.1360126059907527e-01	9.9270420464151271e-02	7.0316629798292743e-02	1.2233858354532846e-01	1.5840184950599984e-01	1.4747929716132707e-01	1.0222151458370439e-01	6.2610690752976358e-02	2.5131160858089694e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-6.6441467475491223e-01	-3.0235502932822822e-01	-6.8865755761250391e-01	-4.8914262281897386e-01	-4.8143868725681244e-01	-3.7864800956173006e-01	-3.3205841001699704e-01	-8.6668535635516020e-01	-7.1405277686737667e-01	1.8547062507371362e-01	1.8456711358776193e-01	1.1975327456592939e-01	6.9080817085507201e-02	1.1411884395657483e-01	9.9752122483895464e-02	7.0651022058480714e-02	1.2288529901056874e-01	1.5916558249317017e-01	1.4812282967533849e-01	1.0270505976442426e-01	6.2907945463720735e-02	2.5070091313323575e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-6.7017879331989905e-01	-3.0807202344027801e-01	-6.9316970631157171e-01	-4.9522405506785638e-01	-4.8822073744002437e-01	-3.8422191211710677e-01	-3.3678775766950941e-01	-8.7440404128609739e-01	-7.2036784880731430e-01	1.8631751550173570e-01	1.8542751869532390e-01	1.2032865390270051e-01	6.9412536381194323e-02	1.1463149754250948e-01	1.0023354549745077e-01	7.0984451053780040e-02	1.2342507688606054e-01	1.5992830028586913e-01	1.4875611687191723e-01	1.0318688662723573e-01	6.3204125561540703e-02	2.5009365166006750e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-6.7597662463644359e-01	-3.1387219066114053e-01	-6.9771544359000748e-01	-5.0137291411402363e-01	-4.9509820421713002e-01	-3.8987350388869990e-01	-3.4158838287769833e-01	-8.8215431715342396e-01	-7.2673031833708046e-01	1.8715788129685348e-01	1.8628365640846620e-01	1.2090333101926110e-01	6.9743614655464498e-02	1.1513886570997868e-01	1.0071448346742530e-01	7.1316789106647197e-02	1.2395744877204851e-01	1.6068968416156107e-01	1.4937860262542649e-01	1.0366680929794296e-01	6.3499077979000965e-02	2.4948979870526848e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-6.8180724567844608e-01	-3.1975582230777100e-01	-7.0229479406736761e-01	-5.0758896202055226e-01	-5.0207116084581593e-01	-3.9560324254172319e-01	-3.4646078648014511e-01	-8.8993431258616051e-01	-7.3313948202654156e-01	1.8799125453116791e-01	1.8713512819078484e-01	1.2147708898298527e-01	7.0073872753463509e-02	1.1564058204735610e-01	1.0119471960425516e-01	7.1647903350744863e-02	1.2448193120983266e-01	1.6144940039490011e-01	1.4998971700530037e-01	1.0414463497872367e-01	6.3792643256308790e-02	2.4888932805884356e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-6.8766967111539545e-01	-3.2572315776498850e-01	-7.0690776224714569e-01	-5.1387189718670956e-01	-5.0913959716513624e-01	-4.0141154503121623e-01	-3.5140543694529014e-01	-8.9774206566940273e-01	-7.3959457735383904e-01	1.8881715322856882e-01	1.8798152240545013e-01	1.2204970155849966e-01	7.0403122389994147e-02	1.1613626929388908e-01	1.0167402602257497e-01	7.1977655583342348e-02	1.2499802552125508e-01	1.6220709982350412e-01	1.5058887631064766e-01	1.0462016376804265e-01	6.4084655386107428e-02	2.4829221274636217e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-6.9356285115559657e-01	-3.3177438142437587e-01	-7.1155433121313705e-01	-5.2022135130305214e-01	-5.1630341517464928e-01	-4.0729878473589870e-01	-3.5642276817891949e-01	-9.0557552206858194e-01	-7.4609478073724234e-01	1.8963508122249292e-01	1.8882241412611339e-01	1.2262093297601551e-01	7.0731165876414953e-02	1.1662553927103836e-01	1.0215216339841361e-01	7.2305902117693319e-02	1.2550521766981867e-01	1.6296241741702841e-01	1.5117548313318235e-01	1.0509318848114219e-01	6.4374941661006560e-02	2.4769842501847887e+00
