# Parameters
$ K = 5
$ N = 12
$ M = 29
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	E
0	1.0000000000000000e+00	0	-5.6987850765799886e-01	-1.3333802072891674e+00	-4.2570715918627439e-01	-2.0738640173600667e-01	-1.1717232552409296e+00	-3.0745013116106035e-01	-4.5397147067928101e-01	-3.6906603265832411e-01	-6.9476496039743973e-01	-3.3634912790790161e-01	-2.6372976996543801e-01	-1.6870601719624884e-01	-1.4092286240028579e-01	-6.4223673360537775e-02	-8.5853086166056261e-02	-2.2994600823944528e-01	-1.5153863237897217e-01	-1.7363262526507367e-01	-1.3756997985748107e-01	-9.1614630631553784e-02	-1.9378318194423230e-01	-1.2790326369820607e-01	-1.1733522180038415e-01	-1.1290147694664619e-01	-9.4262894868048258e-02	-7.6592441129441635e-02	-1.8836461094986667e-01	-2.1519972634107279e-01	-5.1599047785021938e-02	2.4340075007215143e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-5.6671474850543868e-01	-1.3364763022882149e+00	-4.2160130299940279e-01	-2.0537799342531438e-01	-1.1725350231166036e+00	-2.9412512430078547e-01	-4.5240308852407207e-01	-3.6880728443044908e-01	-6.9460697286480266e-01	-3.3405402876480045e-01	-2.6223994881306661e-01	-1.6790943745343459e-01	-1.4162098524647887e-01	-6.4541866975862894e-02	-8.6278134368421106e-02	-2.3108539408570730e-01	-1.5229554587357866e-01	-1.7449118839008221e-01	-1.3825049744236836e-01	-9.2073664754011075e-02	-1.9475199232759399e-01	-1.2854374200782348e-01	-1.1792286884613451e-01	-1.1346677700983632e-01	-9.4734791853405775e-02	-7.6975976263676554e-02	-1.8930831536286324e-01	-2.1627722700211469e-01	-5.1857624675681772e-02	2.4279464431374178e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-5.6349620035346049e-01	-1.3395224889109749e+00	-4.1744461508533720e-01	-2.0336557571581615e-01	-1.1733108053563690e+00	-2.8066450782666519e-01	-4.5092561054056940e-01	-3.6854631254148196e-01	-6.9442100956794128e-01	-3.3178772669373352e-01	-2.6074676975318267e-01	-1.6711349785885668e-01	-1.4230604571156241e-01	-6.4854176243301045e-02	-8.6694683934345734e-02	-2.3220404531137118e-01	-1.5305090732375748e-01	-1.7533040863242999e-01	-1.3891618018978957e-01	-9.2534744167884375e-02	-1.9572075469574149e-01	-1.2918617595828027e-01	-1.1851255032016571e-01	-1.1403372241831868e-01	-9.5207881992901866e-02	-7.7360684864589427e-02	-1.9025580109466847e-01	-2.1735773856023352e-01	-5.2117375153934879e-02	2.4219342695049439e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-5.6022320831122185e-01	-1.3425186775144049e+00	-4.1323702125011841e-01	-2.0134979853070448e-01	-1.1740520697462229e+00	-2.6707175264569555e-01	-4.4954208808176987e-01	-3.6828269528878183e-01	-6.9420676633372846e-01	-3.2955186347454146e-01	-2.5924978359374873e-01	-1.6631834070917384e-01	-1.4297792604149159e-01	-6.5160548637494112e-02	-8.7102638972870086e-02	-2.3330189100404389e-01	-1.5380472778527371e-01	-1.7615006796778643e-01	-1.3956677226525011e-01	-9.2998049825599075e-02	-1.9668970389230386e-01	-1.2983061215967914e-01	-1.1910440343559614e-01	-1.1460240406879864e-01	-9.5682205394925626e-02	-7.7746606728970616e-02	-1.9120709568308455e-01	-2.1844127073740802e-01	-5.2378314586668681e-02	2.4159724450111981e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-5.5689611794970639e-01	-1.3454647353460618e+00	-4.0897842919265387e-01	-1.9933132728231340e-01	-1.1747602466226070e+00	-2.5335040313661245e-01	-4.4825551159917282e-01	-3.6801597746096459e-01	-6.9396391790947398e-01	-3.2734806947803685e-01	-2.5774850113022657e-01	-1.6552411733116593e-01	-1.4363651013211479e-01	-6.5460931139182763e-02	-8.7501903966055117e-02	-2.3437885728372898e-01	-1.5455701841607769e-01	-1.7694994284307397e-01	-1.4020201703702659e-01	-9.3463756748929275e-02	-1.9765906077884449e-01	-1.3047709598338184e-01	-1.1969856300418798e-01	-1.1517291402370552e-01	-9.6157799245612505e-02	-7.8133779380863619e-02	-1.9216222616733303e-01	-2.1952783251943428e-01	-5.2640458255304452e-02	2.4100624657845722e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-5.5351527554620950e-01	-1.3483604833172655e+00	-4.0466872918268221e-01	-1.9731084343840710e-01	-1.1754367235192333e+00	-2.3950407860364770e-01	-4.4706880620451211e-01	-3.6774567012455006e-01	-6.9369211814073251e-01	-3.2517796244005093e-01	-2.5624239331930454e-01	-1.6473098890754706e-01	-1.4428168322448995e-01	-6.5755270048400399e-02	-8.7892383606063607e-02	-2.3543486620579565e-01	-1.5530779040414755e-01	-1.7772980344876446e-01	-1.4082165695490723e-01	-9.3932033408045276e-02	-1.9862903094415951e-01	-1.3112567147699111e-01	-1.2029516113012714e-01	-1.1574534544287561e-01	-9.6634697638256495e-02	-7.8522237925633495e-02	-1.9312121907519184e-01	-2.2061743212982105e-01	-5.2903821347819797e-02	2.4042058596427980e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-5.5008102841466355e-01	-1.3512056927996934e+00	-4.0030779485318158e-01	-1.9528904507709788e-01	-1.1760828397836680e+00	-2.2553647501307508e-01	-4.4598482714255666e-01	-3.6747125045515799e-01	-6.9339100022691125e-01	-3.2304314619881314e-01	-2.5473089153488260e-01	-1.6393912730753657e-01	-1.4491333160146355e-01	-6.6043510799063621e-02	-8.8273982634561307e-02	-2.3646983466998434e-01	-1.5605705489656407e-01	-1.7848941300536256e-01	-1.4142543343731806e-01	-9.4403041098482104e-02	-1.9959980341461497e-01	-1.3177638127980953e-01	-1.2089432690022470e-01	-1.1631979251277587e-01	-9.7112931401783523e-02	-7.8912014903065125e-02	-1.9408410041116822e-01	-2.2171007700540291e-01	-5.3168418950768251e-02	2.3984041868511921e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-5.4659372532356054e-01	-1.3540000824517868e+00	-3.9589548410978231e-01	-1.9326664742658059e-01	-1.1766998811717797e+00	-2.1145136701389572e-01	-4.4500635516897930e-01	-3.6719216161572249e-01	-6.9306017705686607e-01	-3.2094520939064758e-01	-2.5321338790959241e-01	-1.6314871591946939e-01	-1.4553134228710418e-01	-6.6325597775719308e-02	-8.8646605685315863e-02	-2.3748367333982326e-01	-1.5680482292981390e-01	-1.7922852706751430e-01	-1.4201308676806307e-01	-9.4876933316860076e-02	-2.0057154936796293e-01	-1.3242926653869525e-01	-1.2149618607048462e-01	-1.1689635037305775e-01	-9.7592527928175979e-02	-7.9303140139437026e-02	-1.9505089564561648e-01	-2.2280577377367253e-01	-5.3434266041257741e-02	2.3926590408897157e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-5.4305371700299099e-01	-1.3567433150816128e+00	-3.9143164015971393e-01	-1.9124438338569039e-01	-1.1772890744285371e+00	-1.9725261024240690e-01	-4.4413609182745090e-01	-3.6690781268441519e-01	-6.9269924162651575e-01	-3.1888572409887822e-01	-2.5168923576532792e-01	-1.6235995048248519e-01	-1.4613560275061685e-01	-6.6601474133220553e-02	-8.9010157130887266e-02	-2.3847628557693709e-01	-1.5755110536130099e-01	-1.7994689284926146e-01	-1.4258435600392982e-01	-9.5353855136216276e-02	-2.0154442085318680e-01	-1.3308436682421898e-01	-1.2210086074899432e-01	-1.1747511504021875e-01	-9.8073510998741009e-02	-7.9695640598512030e-02	-1.9602162970470233e-01	-2.2390452823184234e-01	-5.3701377478843987e-02	2.3869720492272988e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-5.3946135674210671e-01	-1.3594349945530206e+00	-3.8691609266273513e-01	-1.8922300402106551e-01	-1.1778515818639763e+00	-1.8294414390872593e-01	-4.4337665462020087e-01	-3.6661757863510608e-01	-6.9230776754048440e-01	-3.1686624445073752e-01	-2.5015775013641434e-01	-1.6157303991422339e-01	-1.4672600061640315e-01	-6.6871081620129641e-02	-8.9364540934316949e-02	-2.3944756639484516e-01	-1.5829591280202951e-01	-1.8064424857402975e-01	-1.4313897889442759e-01	-9.5833942581838347e-02	-2.0251854951901763e-01	-1.3374172004702545e-01	-1.2270846907509318e-01	-1.1805618332812851e-01	-9.8555900609113734e-02	-8.0089540231389464e-02	-1.9699632696110400e-01	-2.2500634532761404e-01	-5.3969767997291959e-02	2.3813448741017180e+00
