# Parameters
$ K = 5
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-2.3533604344743672e-01	-4.0607605643209421e-01	-8.6684363007601600e-02	-5.1640318872467972e-01	-3.8223637191477244e-01	-3.0965195531138318e-01	-6.6727791053332686e-01	-1.0739077731235971e+00	-4.6939428855687282e-01	1.2107314099777607e-01	-2.4861663751573011e-02	-9.2230690460561954e-02	-5.8726136702638564e-02	1.2516362719054954e-02	-4.3702183828226840e-02	1.0670234864405909e-01	-1.6425843636191476e-01	7.0678543303433639e-03	-8.1544427165046784e-02	8.5203405928404016e-02	7.3239932623104090e-02	2.0765875381394170e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.3793380057346331e-01	-4.0775779577998850e-01	-8.9012812613244618e-02	-5.1749029944092018e-01	-3.7812239033028433e-01	-3.1240983251348126e-01	-6.6968986947665010e-01	-1.0767523111716892e+00	-4.6998889351388506e-01	1.2167898163355223e-01	-2.4986104206043323e-02	-9.2690804803753704e-02	-5.9019688341534995e-02	1.2578123372137463e-02	-4.3920836429426152e-02	1.0723696410994052e-01	-1.6507391697831852e-01	7.1033871981187628e-03	-8.1949127129759075e-02	8.5630536123646211e-02	7.3606532970403135e-02	2.0714065916681439e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.4054783620537684e-01	-4.0945973456135942e-01	-9.1374033512760078e-02	-5.1857910636517646e-01	-3.7393933361078902e-01	-3.1519027842935043e-01	-6.7209539660852247e-01	-1.0795434539188420e+00	-4.7057663070868100e-01	1.2228575436073683e-01	-2.5110800081932842e-02	-9.3148768491632714e-02	-5.9313092349431301e-02	1.2638212472536237e-02	-4.4139781683871275e-02	1.0777377928011375e-01	-1.6587760473162763e-01	7.1393158625330218e-03	-8.2347675253482161e-02	8.6059883561129299e-02	7.3973926981515531e-02	2.0662469670348194e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.4317808437142435e-01	-4.1118229799951533e-01	-9.3768424535496650e-02	-5.1966982351395075e-01	-3.6968737550200537e-01	-3.1799338777187192e-01	-6.7449410250810138e-01	-1.0822804362576459e+00	-4.7115771153457486e-01	1.2289343216345706e-01	-2.5235737742274118e-02	-9.3604471496059521e-02	-5.9606364993575078e-02	1.2696586300301363e-02	-4.4359033692559849e-02	1.0831278173566641e-01	-1.6666924742175093e-01	7.1756532682777105e-03	-8.2739910472766534e-02	8.6491433736928608e-02	7.4342102896355400e-02	2.0611090847711133e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.4582447586218678e-01	-4.1292591426495207e-01	-9.6196387650872822e-02	-5.2076266647010150e-01	-3.6536671067532961e-01	-3.2081925510193132e-01	-6.7688559215641608e-01	-1.0849625091549762e+00	-4.7173235573822120e-01	1.2350198753289786e-01	-2.5360903057020580e-02	-9.4057801950497733e-02	-5.9899523289930555e-02	1.2753201334998413e-02	-4.4578606748666601e-02	1.0885395794256214e-01	-1.6744859619789923e-01	7.2124123986877266e-03	-8.3125672031262796e-02	8.6925170955554243e-02	7.4711048670193042e-02	2.0559933719729839e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.4848693817605710e-01	-4.1469101426105232e-01	-9.8658327875914026e-02	-5.2185785215395331e-01	-3.6097755464208958e-01	-3.2366797483334414e-01	-6.7926946503469410e-01	-1.0875889402270675e+00	-4.7230079139101994e-01	1.2411139245190538e-01	-2.5486281389741051e-02	-9.4508646140111882e-02	-6.0192584970742681e-02	1.2808014293035646e-02	-4.4798515297261796e-02	1.0939729320208623e-01	-1.6821540574640154e-01	7.2496062601140939e-03	-8.3504799555479223e-02	8.7361078290476651e-02	7.5080751955890687e-02	2.0509002623426360e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.5116539546252115e-01	-4.1647803140092970e-01	-1.0115465317472702e-01	-5.2295559858681318e-01	-3.5652014364938617e-01	-3.2653964123467055e-01	-6.8164531523186045e-01	-1.0901590143011499e+00	-4.7286325485245068e-01	1.2472161837929682e-01	-2.5611857584049137e-02	-9.4956888492605487e-02	-6.0485568449893862e-02	1.2860982165560862e-02	-4.5018773893025152e-02	1.0994277159975847e-01	-1.6896943447638468e-01	7.2872478657949142e-03	-8.3877133130090681e-02	8.7799137543645822e-02	7.5451200085259018e-02	2.0458301962281875e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.5385976846313424e-01	-4.1828740137527398e-01	-1.0368577434952940e-01	-5.2405612464694362e-01	-3.5199473455775787e-01	-3.2943434842759955e-01	-6.8401273156142539e-01	-1.0926720339626386e+00	-4.7341999072527235e-01	1.2533263623389557e-01	-2.5737615949769442e-02	-9.5402411569837073e-02	-6.0778492786053448e-02	1.2912062256892830e-02	-4.5239397155952848e-02	1.1049037595269090e-01	-1.6971044470302502e-01	7.3253502192350906e-03	-8.4242513372691036e-02	8.8239329203985459e-02	7.5822380049524435e-02	2.0407836206609358e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.5656997445014351e-01	-4.2011956191107441e-01	-1.0625210492288302e-01	-5.2515964981802643e-01	-3.4740160470095149e-01	-3.3235219038159058e-01	-6.8637129768790495e-01	-1.0951273200868461e+00	-4.7397125180251776e-01	1.2594441637831597e-01	-2.5863540248843530e-02	-9.5845096060254806e-02	-6.1071377643625732e-02	1.2961212223454007e-02	-4.5460399725057825e-02	1.1104008775537516e-01	-1.7043820282809957e-01	7.3639262971056194e-03	-8.4600781507875575e-02	8.8681632404845209e-02	7.6194278478893068e-02	2.0357609893900466e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.5929592716266237e-01	-4.2197495252109174e-01	-1.0885406101073070e-01	-5.2626639393018015e-01	-3.4274105172812985e-01	-3.3529326090442346e-01	-6.8872059226300864e-01	-1.0975242123542690e+00	-4.7451729900625073e-01	1.2655692860251902e-01	-2.5989613680978001e-02	-9.6284820772190957e-02	-6.1364243251502790e-02	1.3008390113168346e-02	-4.5681796210065961e-02	1.1159188712387774e-01	-1.7115247951755405e-01	7.4029890316747041e-03	-8.4951779440545869e-02	8.9126024880395102e-02	7.6566881621201441e-02	2.0307627629145086e+00
