# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-2.9085482063185975e-01	-9.2107052288614433e-01	-5.8552232530017234e-01	-7.2615880990380743e-01	-8.3030846832818084e-01	-4.4169768351408562e-01	-7.5550664786737476e-01	-6.2682878909974149e-01	-2.0529208343679695e-01	-2.7489263112814877e-01	-4.8300251823415796e-01	-1.8253208270866378e-01	2.3756374909564175e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-2.9590347652688331e-01	-9.3556756204078140e-01	-6.0548003291812114e-01	-7.3429196106124162e-01	-8.3790859529059480e-01	-4.5853809971540926e-01	-7.6749935159771521e-01	-6.3697481452821003e-01	-2.1151342596920625e-01	-2.8081772788462001e-01	-4.8800234327459369e-01	-1.8922254428182306e-01	2.3700613336097183e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-3.0105343835236309e-01	-9.5039924884465032e-01	-6.2577789038737797e-01	-7.4259313167941920e-01	-8.4566183542191842e-01	-4.7572373721160682e-01	-7.7981612846687731e-01	-6.4730387622699848e-01	-2.1786677833920773e-01	-2.8690538967925250e-01	-4.9310603795927577e-01	-1.9606331311014072e-01	2.3645300889832774e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-3.0630695264416380e-01	-9.6556450104730385e-01	-6.4641424895095989e-01	-7.5106471418466714e-01	-8.5357102841059640e-01	-4.9325826778592263e-01	-7.9246117956631668e-01	-6.5781900381342640e-01	-2.2435498263681669e-01	-2.9315911864149186e-01	-4.9831638163245601e-01	-2.0305707760183855e-01	2.3590430869478132e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-3.1166624997810455e-01	-9.8106136176780045e-01	-6.6738666502564370e-01	-7.5970897784901792e-01	-8.6163893596642094e-01	-5.1114493811181883e-01	-8.0543832923644554e-01	-6.6852313587217671e-01	-2.3098090112844649e-01	-2.9958241863651602e-01	-5.0363618093478868e-01	-2.1020653408778495e-01	2.3535996429162473e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-3.1713353635712566e-01	-9.9688693431972619e-01	-6.8869183401744138e-01	-7.6852805094977905e-01	-8.6986822500317851e-01	-5.2938651621396970e-01	-8.1875097871650060e-01	-6.7941910172467013e-01	-2.3774741054876133e-01	-3.0617878655989295e-01	-5.0906826495732249e-01	-2.1751438119910535e-01	2.3481990572224833e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-3.2271098387146702e-01	-1.0130373152376209e+00	-7.1032552183188202e-01	-7.7752390163033647e-01	-8.7826144932264449e-01	-5.4798523468503457e-01	-8.3240205680302948e-01	-6.9050960165223407e-01	-2.4465739567585021e-01	-3.1295170269823874e-01	-5.1461547979868383e-01	-2.2498331357061710e-01	2.3428406144839635e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-3.2840072061206943e-01	-1.0295075257889295e+00	-7.3228249432769710e-01	-7.8669831743283880e-01	-8.8682102973724342e-01	-5.6694273067665135e-01	-8.4639396750188334e-01	-7.0179718550462034e-01	-2.5171374213447839e-01	-3.1990462009787957e-01	-5.2028068248060300e-01	-2.3261601481913610e-01	2.3375235829501113e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-3.3420481982198103e-01	-1.0462914423124481e+00	-7.5455644501904684e-01	-7.9605288348208370e-01	-8.9554923257501029e-01	-5.8625998271833191e-01	-8.6072853468748289e-01	-7.1328422963065163e-01	-2.5891932837086223e-01	-3.2704095288385487e-01	-5.2606673417563932e-01	-2.4041514974434075e-01	2.3322472138390018e+00
4.7500000000000001e-02	9.5250000000000001e-01	4.7500000000000001e-02	-3.4012528827591926e-01	-1.0633817257854257e+00	-7.7713992139276944e-01	-8.0558895931039010e-01	-9.0444814651865679e-01	-6.0593724445820063e-01	-8.7540694381661521e-01	-7.2497291207471393e-01	-2.6627701674147319e-01	-3.3436406347265352e-01	-5.3197649269998726e-01	-2.4838335569886552e-01	2.3270107406649596e+00
5.0000000000000003e-02	9.4999999999999996e-01	5.0000000000000003e-02	-3.4616405388460447e-01	-1.0807697510871868e+00	-8.0002425027351076e-01	-8.1530765432533703e-01	-9.1351965774068378e-01	-6.2597397546508871e-01	-8.9042968078237861e-01	-7.3686518599166173e-01	-2.7378964365808106e-01	-3.4187724862396446e-01	-5.3801280422365316e-01	-2.5652323307379560e-01	2.3218133785601514e+00
5.2499999999999998e-02	9.4750000000000001e-01	5.2499999999999998e-02	-3.5232295252787521e-01	-1.0984455364966113e+00	-8.2319946274033751e-01	-8.2520980193641746e-01	-9.2276542330880496e-01	-6.4636876928255371e-01	-9.0579646803734504e-01	-7.4896275124373723e-01	-2.8146000873157845e-01	-3.4958372427960416e-01	-5.4417849415015052e-01	-2.6483733484578381e-01	2.3166543235936046e+00
5.5000000000000000e-02	9.4499999999999995e-01	5.5000000000000000e-02	-3.5860371412919850e-01	-1.1163976740338293e+00	-8.4665421917350481e-01	-8.3529593237270583e-01	-9.3218684285058040e-01	-6.6711927898201862e-01	-9.2150619816371759e-01	-7.6126702415633540e-01	-2.8929086285826949e-01	-3.5748660914171176e-01	-5.5047635711830900e-01	-2.7332815513276104e-01	2.3115327520914919e+00
5.7500000000000002e-02	9.4250000000000000e-01	5.7500000000000002e-02	-3.6500794799379954e-01	-1.1346132613321478e+00	-8.7037573508839494e-01	-8.4556624424184834e-01	-9.4178502848345202e-01	-6.8822214052448916e-01	-9.3755686512235425e-01	-7.7377910542537953e-01	-2.9728489519435580e-01	-3.6558890694749646e-01	-5.5690914607981379e-01	-2.8199811670675640e-01	2.3064478199629441e+00
5.9999999999999998e-02	9.3999999999999995e-01	5.9999999999999998e-02	-3.7153712744353395e-01	-1.1530778358036862e+00	-8.9434970849492357e-01	-8.5602057490100381e-01	-9.5156077303618469e-01	-7.0967289430791591e-01	-9.5394549347191704e-01	-7.8649974618757457e-01	-3.0544471896748676e-01	-3.7389348740432848e-01	-5.6347956040793801e-01	-2.9084955741480689e-01	2.3013986620361271e+00
6.2500000000000000e-02	9.3750000000000000e-01	6.2500000000000000e-02	-3.7819257379358068e-01	-1.1717753119403762e+00	-9.1856024960346749e-01	-8.6665836973286703e-01	-9.6151451661050380e-01	-7.3146590535021982e-01	-9.7066806591407795e-01	-7.9942931228629321e-01	-3.1377285607850047e-01	-3.8240306575696859e-01	-5.7019023299555049e-01	-2.9988471546246642e-01	2.2963843914097537e+00
