# Parameters
$ K = 2
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-6.0047541977219598e-01	-5.4056272835219554e-01	-4.8863031321114192e-01	-2.4178313199887339e-01	-6.6611348483761201e-01	-2.2258489931784808e-01	-3.8626239996759698e-01	-1.4674324161713620e-01	-4.7350687038078104e-01	-1.4317814917993105e-01	-5.1426012884615946e-01	-2.5401705759406074e-01	3.4641016151377548e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-6.0476300124395699e-01	-5.4512766819623260e-01	-4.9320296381600465e-01	-2.4377749851080233e-01	-6.7138351837710619e-01	-2.2650854194876693e-01	-3.8992598543333928e-01	-1.4901972961068852e-01	-4.7710296109506978e-01	-1.4552208644960385e-01	-5.1753681212109626e-01	-2.5611319575182984e-01	3.4554655686134641e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-6.0907935591397522e-01	-5.4972405458198803e-01	-4.9780548868513230e-01	-2.4579458890024999e-01	-6.7666800650696157e-01	-2.3048223408351745e-01	-3.9361606518306042e-01	-1.5132563207763874e-01	-4.8072581586400220e-01	-1.4790185295637659e-01	-5.2083224011915463e-01	-2.5822985080796840e-01	3.4468780292224244e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-6.1342426548915929e-01	-5.5435147203572155e-01	-5.0243729080891009e-01	-2.4783460088516843e-01	-6.8196573949441297e-01	-2.3450575755607578e-01	-3.9733220132234659e-01	-1.5366099334371780e-01	-4.8437529826676540e-01	-1.5031773647579555e-01	-5.2414629755502484e-01	-2.6036715139518490e-01	3.4383391329421893e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-6.1779749059036382e-01	-5.5900947274698842e-01	-5.0709773604350439e-01	-2.4989772765499396e-01	-6.8727546174100884e-01	-2.3857884986984448e-01	-4.0107392322859403e-01	-1.5602584062786681e-01	-4.8805125348876816e-01	-1.5277001212246194e-01	-5.2747885878883782e-01	-2.6252522259735456e-01	3.4298490128013626e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-6.2219877004120050e-01	-5.6369757555285116e-01	-5.1178615216066270e-01	-2.5198415748927316e-01	-6.9259587116405674e-01	-2.4270120268116524e-01	-4.0484072658440490e-01	-1.5842018327926044e-01	-4.9175350763518061e-01	-1.5525894146488853e-01	-5.3082978745602283e-01	-2.6470418571983467e-01	3.4214077988305274e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-6.2662782014854312e-01	-5.6841526491732386e-01	-5.1650182790483790e-01	-2.5409407336312312e-01	-6.9792561861672586e-01	-2.4687246028684304e-01	-4.0863207241521377e-01	-1.6084401200279777e-01	-4.9548186703432767e-01	-1.5778477161461699e-01	-5.3419893608877089e-01	-2.6690415805216466e-01	3.4130156180144615e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-6.3108433397555896e-01	-5.7316198990791878e-01	-5.2124401206005277e-01	-2.5622765253949192e-01	-7.0326330735029585e-01	-2.5109221811940108e-01	-4.1244738613367121e-01	-1.6329729807406262e-01	-4.9923611753169667e-01	-1.6034773429008425e-01	-5.3758614572922347e-01	-2.6912525262306314e-01	3.4046725942457416e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-6.3556798060821762e-01	-5.7793716317132227e-01	-5.2601191252903801e-01	-2.5838506614825757e-01	-7.0860749252214461e-01	-2.5536002125400287e-01	-4.1628605659347656e-01	-1.6577999254486259e-01	-5.0301602377540333e-01	-1.6294804485583103e-01	-5.4099124553454414e-01	-2.7136757794765354e-01	3.3963788482798210e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-6.4007840441629693e-01	-5.8274015991037142e-01	-5.3080469542733777e-01	-2.6056647875221695e-01	-7.1395668075317409e-01	-2.5967536293119386e-01	-4.2014743515550146e-01	-1.6829202544055977e-01	-5.0682132849404915e-01	-1.6558590133776668e-01	-5.4441405237405860e-01	-2.7363123776685566e-01	3.3881344976916798e+00
