# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-2.4212737068982529e-01	-7.3715350555262893e-01	-4.1811466287043364e-01	-5.2768524722347665e-01	-7.9283666479115023e-01	-2.1485241874295560e-01	-3.2423979297454997e-01	-2.9533828620329688e-01	-1.9520407677027157e-01	-3.3380015677611580e-01	-4.2072255498928596e-01	-3.1518740674240103e-01	2.4340075007215143e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.4464212914210434e-01	-7.4196907975742266e-01	-4.1844658492301395e-01	-5.2759012937537075e-01	-7.9603576354769978e-01	-2.1585167251792697e-01	-3.2595101200605020e-01	-2.9333503147889239e-01	-1.9854627296152094e-01	-3.3962403143422309e-01	-4.2476467135142032e-01	-3.1545570393291478e-01	2.4279388880012487e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-2.4718518387315011e-01	-7.4678412590543020e-01	-4.1876740026913722e-01	-5.2747305045716986e-01	-7.9920000445817452e-01	-2.1687640679334824e-01	-3.2763870756179148e-01	-2.9129339468399124e-01	-2.0194836134562297e-01	-3.4551976992034034e-01	-4.2886564873664679e-01	-3.1572982831878321e-01	2.4219032603995840e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-2.4975666764842991e-01	-7.5159769534276044e-01	-4.1907719859630621e-01	-5.2733423127920476e-01	-8.0232802204185016e-01	-2.1792756979824665e-01	-3.2930181014417709e-01	-2.8921339139318664e-01	-2.0541105256834444e-01	-3.5148765919370134e-01	-4.3302610182269524e-01	-3.1601014972162583e-01	2.4159008787696163e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-2.5235670657538034e-01	-7.5640882744823557e-01	-4.1937607821677442e-01	-5.2717390191757696e-01	-8.0541843588320849e-01	-2.1900611924918542e-01	-3.3093923401481068e-01	-2.8709504040867345e-01	-2.0893504948495886e-01	-3.5752795770649493e-01	-4.3724662852370605e-01	-3.1629704089985483e-01	2.4099320056487201e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-2.5498541987785095e-01	-7.6121655000522859e-01	-4.1966414623029746e-01	-5.2699230157736632e-01	-8.0846985144037276e-01	-2.2011302114956285e-01	-3.3254987747874842e-01	-2.8493836359043589e-01	-2.1252104623064760e-01	-3.6364089346720163e-01	-4.4152780844327683e-01	-3.1659087737508590e-01	2.4039969052467107e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-2.5764291967131647e-01	-7.6601987957427331e-01	-4.1994151868442553e-01	-5.2678967844584323e-01	-8.1148086091654958e-01	-2.2124924849781893e-01	-3.3413262320380266e-01	-2.8274338569686530e-01	-2.1616972724956482e-01	-3.6982666201310299e-01	-4.4587020125826399e-01	-3.1689203725375931e-01	2.3980958434329089e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-2.6032931073917281e-01	-7.7081782186440395e-01	-4.2020832073202924e-01	-5.2656628953535056e-01	-8.1445004419644407e-01	-2.2241577990153541e-01	-3.3568633857689922e-01	-2.8051013423746313e-01	-2.1988176628134545e-01	-3.7608542428978792e-01	-4.5027434503159791e-01	-3.1720090104373611e-01	2.3922290877220864e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-2.6304469031044458e-01	-7.7560937210113312e-01	-4.2046468678574528e-01	-5.2632240051549428e-01	-8.1737596984945049e-01	-2.2361359809448855e-01	-3.3720987609953840e-01	-2.7823863933934878e-01	-2.2365782530382972e-01	-3.8241730443560729e-01	-4.5474075445241002e-01	-3.1751785146561523e-01	2.3863969072592512e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-2.6578914783923674e-01	-7.8039351538882118e-01	-4.2071076066902519e-01	-5.2605828553424516e-01	-8.2025719620144444e-01	-2.2484368835381549e-01	-3.3870207382447126e-01	-2.7592893362935683e-01	-2.2749855343079625e-01	-3.8882238746922720e-01	-4.5926991900186998e-01	-3.1784327325847628e-01	2.3805995728032259e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-2.6856276478626917e-01	-7.8516922706513870e-01	-4.2094669576344484e-01	-5.2577422702751841e-01	-8.2309227247684358e-01	-2.2610703681456956e-01	-3.4016175583577180e-01	-2.7358105213357725e-01	-2.3140458576351666e-01	-3.9530071687861962e-01	-4.6386230104321563e-01	-3.1817755297972466e-01	2.3748373567089724e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-2.7136561440283230e-01	-7.8993547304524969e-01	-4.2117265515193525e-01	-5.2547051551676160e-01	-8.2587974001254327e-01	-2.2740462867909722e-01	-3.4158773277448951e-01	-2.7119503219623370e-01	-2.3537654219496662e-01	-4.0185229211007090e-01	-4.6851833383459751e-01	-3.1852107879867542e-01	2.3691105329086195e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-2.7419776151750641e-01	-7.9469121015323663e-01	-4.2138881175757681e-01	-5.2514744939404867e-01	-8.2861813354520286e-01	-2.2873744631883233e-01	-3.4297880241216472e-01	-2.6877091341987458e-01	-2.3941502616556898e-01	-4.0847706595605715e-01	-4.7323841946346518e-01	-3.1887424028348149e-01	2.3634193768911524e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-2.7705926232599126e-01	-7.9943538643827261e-01	-4.2159534847760127e-01	-5.2480533469410751e-01	-8.3130598257321142e-01	-2.3010646726632486e-01	-3.4433375027447272e-01	-2.6630873762888674e-01	-2.4352062336938154e-01	-4.1517494184113174e-01	-4.7802292670140945e-01	-3.1923742818096207e-01	2.3577641656807002e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-2.7995016418438601e-01	-8.0416694147296564e-01	-4.2179245831222645e-01	-5.2444448485272521e-01	-8.3394181279453294e-01	-2.3151266209554364e-01	-3.4565135031730843e-01	-2.6380854885839305e-01	-2.4769390040970879e-01	-4.2194577100531916e-01	-4.8287218877854088e-01	-3.1961103418886433e-01	2.3521451778134010e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-2.8287050540627107e-01	-8.0888480663129347e-01	-4.2198034448794414e-01	-5.2406522045087267e-01	-8.3652414762146310e-01	-2.3295699218877317e-01	-3.4693036565763574e-01	-2.6127039337065189e-01	-2.5193540340316944e-01	-4.2878934958487058e-01	-4.8778650107669530e-01	-3.1999545072004071e-01	2.3465626933127575e+00
4.0000000000000001e-02	9.5999999999999996e-01	4.0000000000000001e-02	-2.8582031506392375e-01	-8.1358790534352077e-01	-4.2215922057487609e-01	-5.2366786894389783e-01	-8.3905150977310750e-01	-2.3444040738873848e-01	-3.4816954936142458e-01	-2.5869431970108864e-01	-2.5624565653133746e-01	-4.3570541559067555e-01	-4.9276611874098836e-01	-3.2039107065798395e-01	2.3410169936634730e+00
4.2500000000000003e-02	9.5750000000000002e-01	4.2500000000000003e-02	-2.8879961279402228e-01	-8.1827515332549983e-01	-4.2232931059780610e-01	-5.2325276437508350e-01	-8.4152242294622104e-01	-2.3596384353492988e-01	-3.4936764529098119e-01	-2.5608037873614253e-01	-2.6062516053916490e-01	-4.4269364578508191e-01	-4.9781125420950684e-01	-3.2079828710312741e-01	2.3355083617836812e+00
4.4999999999999998e-02	9.5499999999999996e-01	4.4999999999999998e-02	-2.9180840860816165e-01	-8.2294545877978464e-01	-4.2249084914048024e-01	-5.2282024707281549e-01	-8.4393541356480384e-01	-2.3752821988349793e-01	-3.5052338901396557e-01	-2.5342862382512349e-01	-2.6507439117949666e-01	-4.4975365245835902e-01	-5.0292207466121208e-01	-3.2121749310927999e-01	2.3300370819955374e+00
