# Parameters
$ K = 1
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-3.9058470950747087e-01	-7.1255437026026636e-01	-3.5462959758975748e-01	-3.6191100139264876e-01	-4.0906983260522645e-01	-1.8642172662820317e-01	-3.9383487145778162e-01	-6.2544494488228941e-01	-1.7069723874490988e-01	-3.1316809576815802e-01	-4.4632205836272693e-01	-2.4588298962938626e-01	0
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-3.9254109377605095e-01	-7.1610449504136930e-01	-3.5640493985715765e-01	-3.6372249037241960e-01	-4.1110590217208320e-01	-1.8735087759007304e-01	-3.9580470467055190e-01	-6.2856210056708317e-01	-1.7154746903892606e-01	-3.1473399656255968e-01	-4.4855830839107752e-01	-2.4711311874164690e-01	0
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.9450434166396436e-01	-7.1962846579005502e-01	-3.5818458019434352e-01	-3.6553774272532413e-01	-4.1312283933080823e-01	-1.8827390210525830e-01	-3.9777568399632607e-01	-6.3165840414797847e-01	-1.7239097261686462e-01	-3.1629986303157792e-01	-4.5080379931370818e-01	-2.4834458114651223e-01	0
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.9647436411947340e-01	-7.2312498367384770e-01	-3.5996838008803200e-01	-3.6735659855909142e-01	-4.1511977981267323e-01	-1.8919048108548503e-01	-3.9974754793074035e-01	-6.3473277645659631e-01	-1.7322742501384675e-01	-3.1786545926179138e-01	-4.5305847115783277e-01	-2.4957723188081166e-01	0
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.9845106896186167e-01	-7.2659273853092565e-01	-3.6175619728670666e-01	-3.6917889390660230e-01	-4.1709585397336152e-01	-1.9010029234703024e-01	-4.0172002948231117e-01	-6.3778412798746209e-01	-1.7405649915529345e-01	-3.1943054470384818e-01	-4.5532226110222873e-01	-2.5081092275604827e-01	0
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.0043436083296863e-01	-7.3003040973183120e-01	-3.6354788576129182e-01	-3.7100446068934351e-01	-4.1905018750520590e-01	-1.9100301080258780e-01	-4.0369285616217865e-01	-6.4081135955525248e-01	-1.7487786558628099e-01	-3.2099487417833172e-01	-4.5759510342407772e-01	-2.5204550234440048e-01	0
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.0242414114883041e-01	-7.3343666708015687e-01	-3.6534329566682894e-01	-3.7283312668224688e-01	-4.2098190217698150e-01	-1.9189830866240948e-01	-4.0566574997748706e-01	-6.4381336298354375e-01	-1.7569119271082420e-01	-3.2255819788533169e-01	-4.5987692944549963e-01	-2.5328081596650409e-01	0
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.0442030805147555e-01	-7.3681017175186891e-01	-3.6714227330521954e-01	-3.7466471547999330e-01	-4.2289011660066439e-01	-1.9278585564468401e-01	-4.0763842742853545e-01	-6.4678902182491826e-01	-1.7649614704096789e-01	-3.2412026141784323e-01	-4.6216766747980481e-01	-2.5451670568109058e-01	0
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.0642275636090713e-01	-7.4014957727283248e-01	-3.6894466108910384e-01	-3.7649904646486093e-01	-4.2477394702446963e-01	-1.9366531919509211e-01	-4.0961059950983297e-01	-6.4973721211220203e-01	-1.7729239345554088e-01	-3.2568080577911140e-01	-4.6446724277748508e-01	-2.5575301027655439e-01	0
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.0843137752731684e-01	-7.4345353053397933e-01	-3.7075029750694594e-01	-3.7833593477620026e-01	-4.2663250815138459e-01	-1.9453636471545332e-01	-4.1158197171519345e-01	-6.5265680314052299e-01	-1.7807959546839414e-01	-3.2723956740403870e-01	-4.6677557747197185e-01	-2.5698956526452704e-01	0
