Hamiltonian	driving	N	seed	duration	K=0	K=1	K=2	K=3	K=4	K=5
ferromagnetic	onebody	9	21	0.1	0.0020548212517287287	0.19034601521494526	0.5048627329831485	0.7092764182854425	0.8295807135960627	0.9005733382354505
ferromagnetic	onebody	9	21	0.05	0.001978454160670546	0.1896849573627715	0.5050061129206699	0.709682199761457	0.829970643573701	0.9009102901547932
ferromagnetic	onebody	9	21	0.02	0.0019573706186773567	0.18950229878048558	0.5050477404102994	0.7098008805435185	0.8300823436530131	0.9010070837064865
ferromagnetic	onebody	9	21	0.01	0.0019543723188163056	0.18947614869969845	0.5050537689286586	0.7098184438345447	0.8300983674694461	0.9010209548032151
ferromagnetic	onebody	9	22	0.1	0.00207559997757485	0.15072272364414835	0.4678764004390828	0.6915522305028534	0.8216136675771255	0.8964763384754623
ferromagnetic	onebody	9	22	0.05	0.001983506945533843	0.14997700386921123	0.46812233317059104	0.6921682630314386	0.822149411095392	0.8968898972424646
ferromagnetic	onebody	9	22	0.02	0.0019581121183373904	0.14976922313339738	0.468193119821964	0.6923465991285626	0.8223039936211071	0.8970066754051836
ferromagnetic	onebody	9	22	0.01	0.0019544922374678717	0.14973958047433356	0.4682033158258211	0.6923731290821352	0.8223259977580076	0.8970233996292393
ferromagnetic	onebody	9	23	0.1	0.002080658720917181	0.0859009734768538	0.2855398293549977	0.515326762933068	0.6922583586614127	0.8077259394084269
ferromagnetic	onebody	9	23	0.05	0.0019847593638758335	0.08488853615663564	0.28492658367144674	0.5154734727436293	0.6926882022651804	0.8081532030574539
ferromagnetic	onebody	9	23	0.02	0.0019582487602431337	0.08460319877625397	0.28475360144221756	0.5155143690929971	0.69280954320658	0.8082791217798229
ferromagnetic	onebody	9	23	0.01	0.0019544728620485064	0.08456234883163928	0.28472881928295374	0.5155204298396492	0.6928299252157312	0.8082966857436263
ferromagnetic	onebody	9	24	0.1	0.0020922101433855284	0.06737227469346187	0.26911236567531943	0.5119440760002253	0.6974549281253324	0.8177080021571638
ferromagnetic	onebody	9	24	0.05	0.0019875334546173955	0.06658061181826239	0.2686270027126059	0.512154977322617	0.6979250237195671	0.8181822466592248
ferromagnetic	onebody	9	24	0.02	0.001958606793605371	0.06635842879952512	0.26849077989462844	0.51221588754637	0.6980646065166779	0.8183157189483358
ferromagnetic	onebody	9	24	0.01	0.0019544843432481355	0.06632622687267754	0.2684712909656147	0.5122244681313769	0.6980861471016787	0.8183350193116692
ferromagnetic	onebody	9	25	0.1	0.002060940168191674	0.2538822041998047	0.6265176624063612	0.806033042334053	0.8940151533128635	0.9414746709568614
ferromagnetic	onebody	9	25	0.05	0.0019796488935049507	0.25307958275920184	0.6271728659349444	0.8066716236797765	0.8944666317180717	0.9418164337438456
ferromagnetic	onebody	9	25	0.02	0.0019571748110436696	0.25286035647152316	0.6273571266084602	0.8068463671980841	0.8945973116895085	0.9419126060074693
ferromagnetic	onebody	9	25	0.01	0.0019539683628778805	0.25282862839778114	0.6273834628224902	0.8068721493885788	0.8946154503994244	0.9419263284457677
ferromagnetic	onebody	9	26	0.1	0.002058990483397902	0.14834841124238357	0.4408682418336039	0.6671731212530211	0.8066514198963219	0.889191267768089
ferromagnetic	onebody	9	26	0.05	0.001979150210546917	0.1476867961448096	0.4409410138476629	0.667602637055474	0.8070916593205159	0.8895852370153399
ferromagnetic	onebody	9	26	0.02	0.001957084401618629	0.1475015153527302	0.44096288813433654	0.6677228069563383	0.807222451723176	0.8897052362370631
ferromagnetic	onebody	9	26	0.01	0.001953947705822507	0.1474750753937339	0.4409661091661124	0.6677401317861873	0.8072405655249058	0.8897144500179734
ferromagnetic	onebody	9	27	0.1	0.002044251475626856	0.20257218821049552	0.48357249544282666	0.6853314066422405	0.8141009926240871	0.891803456540837
ferromagnetic	onebody	9	27	0.05	0.00197553483515644	0.20190899187180628	0.4835014188836316	0.6855705693121662	0.8144143815777006	0.8921288786479221
ferromagnetic	onebody	9	27	0.02	0.0019565299169811467	0.20172450673457587	0.48348206225577495	0.6856380756367471	0.8145042829118565	0.8922113071162765
ferromagnetic	onebody	9	27	0.01	0.0019538250726600006	0.2016983938289474	0.48347928628785186	0.6856477535642941	0.8145171566472644	0.8922241344530449
ferromagnetic	onebody	9	28	0.1	0.002085946116543843	0.149683748570428	0.4647660487048056	0.6884869858825924	0.8193036969154431	0.8954220772318632
ferromagnetic	onebody	9	28	0.05	0.0019855130226384262	0.14876433476231085	0.46507807750320906	0.6891473917782058	0.8198467589695988	0.8958437825261253
ferromagnetic	onebody	9	28	0.02	0.001957830433498057	0.1485004181116979	0.46516743888635914	0.6893336776485429	0.8200027475377306	0.8959621916851536
ferromagnetic	onebody	9	28	0.01	0.001953893602122387	0.14846333059742192	0.4651803372119249	0.6893604064194148	0.8200250809143341	0.8959791563037193
ferromagnetic	onebody	9	29	0.1	0.002067142557721629	0.1662780797774408	0.5096087731964727	0.7282216227149756	0.8488658999754857	0.9156820863525755
ferromagnetic	onebody	9	29	0.05	0.001981289409122411	0.1655919291198264	0.5098052502777563	0.7287209730286289	0.8493163295977443	0.916044016932675
ferromagnetic	onebody	9	29	0.02	0.0019575874929697347	0.16539354941247458	0.5098631375845726	0.7288603074561089	0.8494443277576097	0.9161470987160433
ferromagnetic	onebody	9	29	0.01	0.0019542117913170175	0.16536585121568603	0.5098720745640485	0.7288802668831286	0.849462670274336	0.9161639593028158
ferromagnetic	onebody	9	30	0.1	0.002037021318139592	0.5224572753012876	0.814673427742959	0.912014318571429	0.9538676742475313	0.9750324732151472
ferromagnetic	onebody	9	30	0.05	0.001973942758358029	0.5225406573691774	0.8151177261154017	0.9123670729919362	0.9541216628163757	0.9752353651093773
ferromagnetic	onebody	9	30	0.02	0.001956470469963134	0.522562965248567	0.815241699325945	0.9124659027332219	0.9541967190271295	0.9752924059579909
ferromagnetic	onebody	9	30	0.01	0.0019539761841759072	0.5225660675201795	0.8152593705600061	0.9124800238802493	0.9542073314911756	0.9753005308865117
ferromagnetic	onebody	9	31	0.1	0.0020527811082335402	0.10282454434399282	0.3579119048742848	0.5978685762576054	0.7596292924461082	0.8580383431539395
ferromagnetic	onebody	9	31	0.05	0.0019778390932746882	0.1021732705446004	0.3577695247576577	0.5981770930635092	0.7600448882884198	0.8584423642655454
ferromagnetic	onebody	9	31	0.02	0.0019571408726736903	0.10199121449895	0.35772188577935776	0.5982670400414859	0.7601650042856541	0.8585598094821141
ferromagnetic	onebody	9	31	0.01	0.001954201961955178	0.10196526955236836	0.357716130968002	0.5982802537371075	0.7601824737377579	0.8585763538218281
ferromagnetic	onebody	9	32	0.1	0.002065941974378498	0.1163355574624625	0.3676356557577013	0.5990210874734809	0.7554005143712508	0.8533948968467303
ferromagnetic	onebody	9	32	0.05	0.0019807398121739683	0.11550248315630025	0.36743530720724216	0.5993765155651218	0.7558617036646298	0.8538076894554166
ferromagnetic	onebody	9	32	0.02	0.0019571949068462745	0.11526931001793826	0.3673814230819331	0.5994748104236906	0.7559837591693928	0.8539276240628778
ferromagnetic	onebody	9	32	0.01	0.001953849308558052	0.11523619265598883	0.36737380771902406	0.5994890652938866	0.7560020942966403	0.85394519050551
ferromagnetic	onebody	9	33	0.1	0.0020712498328316342	0.07226233519526755	0.22667576909548123	0.43563756137176596	0.6225258735498695	0.7566302287461406
ferromagnetic	onebody	9	33	0.05	0.001982284916799098	0.07133312274439765	0.22597295830908848	0.43553979631761375	0.6228066821228448	0.7569871118380126
