# Parameters
$ K = 3
$ N = 9
$ M = 21
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	E
0	1.0000000000000000e+00	0	-2.8910464544487990e-01	-5.1885102659778426e-01	-3.6013842651624617e-01	-3.6060462093855483e-01	-5.2850530243915927e-01	-2.3747826062489025e-01	-6.8809211923239666e-01	-7.6961968955277327e-01	-1.9271493602156986e-01	8.5144595396054623e-02	3.8997696610872101e-01	6.6323601731661741e-02	9.9663988587766109e-02	1.4248480435030481e-01	1.8081789034289283e-01	2.3286364260017395e-01	1.0648461188468401e-01	1.4432175436175726e-01	9.3883997167653735e-02	1.7310922124851288e-01	1.1300969449005652e-01	2.5632360962189020e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-2.9503997309945174e-01	-5.2703802698068025e-01	-3.6506535432337417e-01	-3.6478553595605628e-01	-5.3588585226697116e-01	-2.4176380974747613e-01	-6.9410144324580503e-01	-7.7677861437550577e-01	-1.9559283519229390e-01	8.5570690777982239e-02	3.9192000720524778e-01	6.6655033217042747e-02	1.0016282177210240e-01	1.4319427582339914e-01	1.8171802025189734e-01	2.3402341364154333e-01	1.0701510618702968e-01	1.4504378766596498e-01	9.4352915778811136e-02	1.7397563674632291e-01	1.1357586054272076e-01	2.5568543795090770e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-3.0107363076525068e-01	-5.3527402919645461e-01	-3.7007418651815771e-01	-3.6903858188403532e-01	-5.4336852868361474e-01	-2.4613416687493897e-01	-7.0015800024542751e-01	-7.8398837277220534e-01	-1.9852378298230017e-01	8.5997457354108006e-02	3.9384860965613250e-01	6.6986011869751880e-02	1.0066257729618316e-01	1.4389755463257917e-01	1.8260978505752209e-01	2.3517361445777063e-01	1.0754150054969729e-01	1.4576651231732921e-01	9.4820705609407432e-02	1.7484367116899127e-01	1.1414422053072701e-01	2.5505253183208301e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-3.0720462270473636e-01	-5.4355496546622317e-01	-3.7516519886194710e-01	-3.7336483880849725e-01	-5.5095304501082842e-01	-2.5059053194323494e-01	-7.0626137583205906e-01	-7.9124804147473826e-01	-2.0150862279091505e-01	8.6424779550832831e-02	3.9576162060731634e-01	6.7316414070268907e-02	1.0116309126599643e-01	1.4459419970819321e-01	1.8349249670456400e-01	2.3631351356936139e-01	1.0806342047033185e-01	1.4648968087542302e-01	9.5287172098684217e-02	1.7571313668807781e-01	1.1471470909961992e-01	2.5442487698504208e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-3.1343175655162681e-01	-5.5187652831306200e-01	-3.8033856844849212e-01	-3.7776536569866082e-01	-5.5863897775436244e-01	-2.5513407063394605e-01	-7.1241111052863326e-01	-7.9855662207477185e-01	-2.0454819668995269e-01	8.6852534721088753e-02	3.9765785253164637e-01	6.7646110822175254e-02	1.0166418922918000e-01	1.4528375690921355e-01	1.8436544153281417e-01	2.3744235588407936e-01	1.0858047671572116e-01	1.4721303097586363e-01	9.5752113206687098e-02	1.7658383441814279e-01	1.1528725602737393e-01	2.5380245838684963e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-3.1975363494094572e-01	-5.6023416561092876e-01	-3.8559436722422175e-01	-3.8224119700229808e-01	-5.6642575898194192e-01	-2.5976590962586699e-01	-7.1860669791793474e-01	-8.0591303806751957e-01	-2.0764334416831506e-01	8.7280592886565977e-02	3.9953608346495811e-01	6.7974967598159144e-02	1.0216568577527352e-01	1.4596575889637034e-01	1.8522788003089799e-01	2.3855936266232383e-01	1.0909226502693821e-01	1.4793628478127682e-01	9.6215319258547788e-02	1.7745555399468288e-01	1.1586178599611510e-01	2.5318526025930685e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-3.2616864727210498e-01	-5.6862307605572848e-01	-3.9093255537634625e-01	-3.8679333906295071e-01	-5.7431266857047081e-01	-2.6448713158996900e-01	-7.2484758273611705e-01	-8.1331613184962570e-01	-2.1079490078522589e-01	8.7708816481660054e-02	4.0139505736742376e-01	6.8302844186276995e-02	1.0266738413619725e-01	1.4663972502192033e-01	1.8607904665066285e-01	2.3966373155150303e-01	1.0959836584079520e-01	1.4865914843322409e-01	9.6676572793440940e-02	1.7832807315021373e-01	1.1643821835780779e-01	2.5257326605607986e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-3.3267496165305988e-01	-5.7703820511532933e-01	-3.9635297460658231e-01	-3.9142276635897677e-01	-5.8229882634360663e-01	-2.6929876992627649e-01	-7.3113315892344899e-01	-8.2076466167694706e-01	-2.1400369672846406e-01	8.8137060100333509e-02	4.0323348461915592e-01	6.8629594536960201e-02	1.0316907578857545e-01	1.4730516123764373e-01	1.8691814968807993e-01	2.4075463669508582e-01	1.1009834403007146e-01	1.4938131150739553e-01	9.7135648419033924e-02	1.7920115728999941e-01	1.1701646689418523e-01	2.5196645844968746e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-3.3927051707674305e-01	-5.8547424151791727e-01	-4.0185534131064854e-01	-3.9613041756535478e-01	-5.9038318412345192e-01	-2.7420180324245919e-01	-7.3746276763401786e-01	-8.2825729858883146e-01	-2.1727055527405895e-01	8.8565170247175737e-02	4.0505004265907452e-01	6.8955066611305030e-02	1.0367054005966438e-01	1.4796156002274249e-01	1.8774437123681451e-01	2.4183122892212722e-01	1.1059174866512789e-01	1.5010244647456553e-01	9.7592312672303408e-02	1.8007455906907471e-01	1.1759643957125743e-01	2.5136481931838004e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-3.4595301588421917e-01	-5.9392561434031121e-01	-4.0743923968612877e-01	-4.0091719144022842e-01	-5.9856451772297037e-01	-2.7919714957545605e-01	-7.4383569520649473e-01	-8.3579262330630744e-01	-2.2059629114406532e-01	8.8992985094034832e-02	4.0684337677603982e-01	6.9279102231226339e-02	1.0417154373880132e-01	1.4860840033339170e-01	1.8855686722078349e-01	2.4289263602311470e-01	1.1107811279967342e-01	1.5082220817004557e-01	9.8046323887647308e-02	1.8094801797236215e-01	1.1817803828879220e-01	2.5076832973294505e+00
