# Parameters
$ K = 3
$ N = 15
$ M = 37
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	a35	a36	a37	E
0	1.0000000000000000e+00	0	-6.9564724396090549e-01	-2.7743357428134074e-01	-1.1704806736853911e-01	-8.0499704977325692e-01	-3.2119609526242709e-01	-1.9967041846916128e-01	-1.0973790679217010e+00	-2.8910807055869869e-01	-1.0500947972001227e+00	-8.4561100154782298e-01	-6.5965439902201295e-01	-9.8968656193914942e-02	-6.1327431730675164e-01	-5.6719265406263764e-01	-2.7218283448560099e-01	8.8653881136241910e-02	2.0179647251341151e-01	-7.5146297956940361e-02	-9.6739730013067182e-02	-3.8306261394306312e-01	-1.5730975161585264e-01	-9.2451749652132501e-02	1.1124928769030280e-01	-9.6585322908735519e-02	-6.2066679301232552e-02	-4.4899768865404373e-02	8.8116127840893593e-02	-6.9073292960201566e-02	-1.0910043506394464e-02	-9.9653299950636112e-02	-5.2650036091447326e-02	6.8803287902527051e-03	1.2313887989112714e-01	-1.7850561524390535e-01	-7.0866413213017426e-02	4.0973237248799435e-02	4.9055723818338792e-03	3.3356225367858907e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-7.0019668137971969e-01	-2.7817977747674888e-01	-1.1811389645455816e-01	-8.0838750315289631e-01	-3.2340048133528454e-01	-1.9928048131923459e-01	-1.1016352296569027e+00	-2.8811427503167125e-01	-1.0534363257548864e+00	-8.4726620855896262e-01	-6.6212594656234047e-01	-9.6961464592524194e-02	-6.1511919835826701e-01	-5.7074713878772088e-01	-2.7301296685229043e-01	8.9096922228175987e-02	2.0280397657470725e-01	-7.5520472813172743e-02	-9.7220672700389338e-02	-3.8497306632222056e-01	-1.5809120201058674e-01	-9.2914603649818697e-02	1.1180040908266069e-01	-9.7065486099191495e-02	-6.2376032115041537e-02	-4.5124900121247341e-02	8.8556336689927337e-02	-6.9418665774985150e-02	-1.0964227234755876e-02	-1.0015081537976211e-01	-5.2911039234721104e-02	6.9147168344679405e-03	1.2375050416016042e-01	-1.7939040641447107e-01	-7.1220956859755477e-02	4.1177672394824616e-02	4.9301658872947440e-03	3.3273142498267076e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-7.0472154049641289e-01	-2.7890981708953438e-01	-1.1919154325379454e-01	-8.1176540782570805e-01	-3.2562056911446396e-01	-1.9887866201019624e-01	-1.1057753093913414e+00	-2.8709327901556464e-01	-1.0566806549532977e+00	-8.4885853361088326e-01	-6.6449752140341056e-01	-9.4908141059982951e-02	-6.1694964625855797e-01	-5.7430066374358724e-01	-2.7384094399497816e-01	8.9539448208393699e-02	2.0380836261237967e-01	-7.5891446361864415e-02	-9.7695972796517719e-02	-3.8687344872850743e-01	-1.5886220263219414e-01	-9.3378627115818416e-02	1.1234105841604244e-01	-9.7539997660951547e-02	-6.2683366826661036e-02	-4.5351304196435044e-02	8.8995752807610767e-02	-6.9764036304986024e-02	-1.1017666352269308e-02	-1.0064674563820522e-01	-5.3167453971202795e-02	6.9490744021342993e-03	1.2435382897910699e-01	-1.8025940166204571e-01	-7.1575890439262685e-02	4.1381225950576965e-02	4.9548924983331671e-03	3.3190679600624775e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-7.0921989779982908e-01	-2.7962352750579178e-01	-1.2028108847667615e-01	-8.1513024149327784e-01	-3.2785634435649030e-01	-1.9846531498680450e-01	-1.1097961400629408e+00	-2.8604527154024595e-01	-1.0598257635965751e+00	-8.5038741581973420e-01	-6.6676650651503477e-01	-9.2809614340259181e-02	-6.1876542198663653e-01	-5.7785220300886186e-01	-2.7466671722610614e-01	8.9981370454610424e-02	2.0480938685970934e-01	-7.6259086854988167e-02	-9.8165436036140793e-02	-3.8876324020081426e-01	-1.5962237542961502e-01	-9.3843788115089047e-02	1.1287090414513049e-01	-9.8008672409908348e-02	-6.2988597603897203e-02	-4.5578993203075090e-02	8.9434301803571981e-02	-7.0109382255845856e-02	-1.1070343754400545e-02	-1.0114096459799594e-01	-5.3419139237016758e-02	6.9833965152403810e-03	1.2494861785993115e-01	-1.8111212026610091e-01	-7.1931163330132997e-02	4.1583869110672508e-02	4.9797549866503164e-03	3.3108843591412391e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-7.1368980361550827e-01	-2.8032074935486517e-01	-1.2138260948315249e-01	-8.1848148027765733e-01	-3.3010778987512335e-01	-1.9804081196588236e-01	-1.1136946009641524e+00	-2.8497046089634015e-01	-1.0628696709559589e+00	-8.5185233145772055e-01	-6.6893031714405926e-01	-9.0666887405092322e-02	-6.2056628853247342e-01	-5.8140070701530011e-01	-2.7549024074790401e-01	9.0422599193907383e-02	2.0580680351489983e-01	-7.6623263085665097e-02	-9.8628870717723291e-02	-3.9064192290743543e-01	-1.6037134478092588e-01	-9.4310054200104035e-02	1.1338961692090374e-01	-9.8471328065238478e-02	-6.3291638071380663e-02	-4.5807979405636558e-02	8.9871908413288765e-02	-7.0454681587369311e-02	-1.1122242817456581e-02	-1.0163334404193093e-01	-5.3665954657435441e-02	7.0176781116696408e-03	1.2553463762625700e-01	-1.8194808519420197e-01	-7.2286723886312479e-02	4.1785573705813109e-02	5.0047561809458034e-03	3.3027641439759878e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-7.1812928336862647e-01	-2.8100132929318516e-01	-1.2249618009279266e-01	-8.2181859881169772e-01	-3.3237488556113531e-01	-1.9760554166390920e-01	-1.1174676230962897e+00	-2.8386907465514760e-01	-1.0658104395688852e+00	-8.5325279477883542e-01	-6.7098640476014437e-01	-8.8481037262468726e-02	-6.2235201087057967e-01	-5.8494510297396374e-01	-2.7631147180135390e-01	9.0863043560561380e-02	2.0680036492926848e-01	-7.6983844544998306e-02	-9.9086088021123370e-02	-3.9250898285305613e-01	-1.6110873800346381e-01	-9.4777392419107154e-02	1.1389686999742007e-01	-9.8927785568823451e-02	-6.3592401343588234e-02	-4.6038275214955605e-02	9.0308496512289463e-02	-7.0799912526262360e-02	-1.1173347425607133e-02	-1.0212375369434420e-01	-5.3907760684463846e-02	7.0519140440242394e-03	1.2611165872720412e-01	-1.8276682363583296e-01	-7.2642519455391005e-02	4.1986312231452334e-02	5.0298989647128162e-03	3.2947080166477196e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-7.2253633891592817e-01	-2.8166511975368391e-01	-1.2362187039390732e-01	-8.2514107032374107e-01	-3.3465760840488878e-01	-1.9715990947605400e-01	-1.1211121945494076e+00	-2.8274135965346209e-01	-1.0686461780157022e+00	-8.5458835878913619e-01	-6.7293226104712300e-01	-8.6253214560513186e-02	-6.2412235593018150e-01	-5.8848429534956059e-01	-2.7713037081494302e-01	9.1302611657326394e-02	2.0778982180361993e-01	-7.7340701580300972e-02	-9.9536902326422427e-02	-3.9436391059150422e-01	-1.6183418586845588e-01	-9.5245769324504556e-02	1.1439233964115671e-01	-9.9377869405625929e-02	-6.3890800058211558e-02	-4.6269893181781117e-02	9.0743989130903660e-02	-7.1145053578424433e-02	-1.1223641997458877e-02	-1.0261206125505588e-01	-5.4144418735087484e-02	7.0860990784037039e-03	1.2667945555140916e-01	-1.8356786753768861e-01	-7.2998496398755580e-02	4.2186057875399564e-02	5.0551862738690686e-03	3.2867166843024922e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.2690894994586452e-01	-2.8231197866103558e-01	-1.2475974655211011e-01	-8.2844836671647415e-01	-3.3695593252163358e-01	-1.9670433710594012e-01	-1.1246253658924419e+00	-2.8158758194252254e-01	-1.0713750436702694e+00	-8.5585861595897716e-01	-6.7476542193254474e-01	-8.3984642981165272e-02	-6.2587709256260560e-01	-5.9201716638338386e-01	-2.7794690155286861e-01	9.1741210620177704e-02	2.0877492339270479e-01	-7.7693705554309295e-02	-9.9981131533046969e-02	-3.9620620194236644e-01	-1.6254732311878428e-01	-9.5715150981368680e-02	1.1487570554186441e-01	-9.9821407924093747e-02	-6.4186746409824330e-02	-4.6502845989858037e-02	9.1178308469562444e-02	-7.1490083540766247e-02	-1.1273111512107260e-02	-1.0309813243655586e-01	-5.4375791329901668e-02	7.1202278931380061e-03	1.2723780674054297e-01	-1.8435075413926186e-01	-7.3354600113624241e-02	4.2384784544279033e-02	5.0806210942256191e-03	3.2787908590423966e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.3124507544601069e-01	-2.8294176911317176e-01	-1.2590987061871314e-01	-8.3173995863989225e-01	-3.3926982917940712e-01	-1.9623926214560794e-01	-1.1280042555578496e+00	-2.8040802670042364e-01	-1.0739952454177129e+00	-8.5706319887472204e-01	-6.7648347164763889e-01	-8.1676618418721106e-02	-6.2761599150654490e-01	-5.9554257666521793e-01	-2.7876103126234347e-01	9.2178746686515475e-02	2.0975541771764994e-01	-7.8042729004949532e-02	-1.0041859737822847e-01	-3.9803535870950696e-01	-1.6324778898847575e-01	-9.6185502976028736e-02	1.1534665122386062e-01	-1.0025823365563309e-01	-6.4480152183800474e-02	-4.6737146448551065e-02	9.1611375914649212e-02	-7.1834981512536977e-02	-1.1321741534590944e-02	-1.0358183100447256e-01	-5.4601742231831257e-02	7.1542950774759265e-03	1.2778649550161431e-01	-1.8511502650753603e-01	-7.3710775056975958e-02	4.2582466888763881e-02	5.1062064587949320e-03	3.2709312578103447e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-7.3554265523664430e-01	-2.8355435902976844e-01	-1.2707230033940378e-01	-8.3501531555830377e-01	-3.4159926682939457e-01	-1.9576513760531361e-01	-1.1312460552044070e+00	-2.7920299810742916e-01	-1.0765050463325860e+00	-8.5820178082765264e-01	-6.7808404680952616e-01	-7.9330507939098557e-02	-6.2933882535186314e-01	-5.9905936575439989e-01	-2.7957273081963530e-01	9.2615125266818171e-02	2.1073105178621690e-01	-7.8387645805217177e-02	-1.0084912575382350e-01	-3.9985088939944063e-01	-1.6393522772244343e-01	-9.6656790424722278e-02	1.1580486445665418e-01	-1.0068818363216532e-01	-6.4770928790436264e-02	-4.6972807485007928e-02	9.2043112054904494e-02	-7.2179726906137706e-02	-1.1369518240674031e-02	-1.0406301882137120e-01	-5.4822136584645818e-02	7.1882951302293281e-03	1.2832530991733937e-01	-1.8586023406956653e-01	-7.4066964771387203e-02	4.2779080327508552e-02	5.1319454449410620e-03	3.2631386022685676e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-7.3979961156911045e-01	-2.8414962076863076e-01	-1.2824708896361139e-01	-8.3827390581133809e-01	-3.4394421113864343e-01	-1.9528243139297646e-01	-1.1343480350414934e+00	-2.7797281918376898e-01	-1.0789027663106134e+00	-8.5927407633792030e-01	-6.7956484051717592e-01	-7.6947748516517089e-02	-6.3104536850268855e-01	-6.0256635285010807e-01	-2.8038197487446165e-01	9.3050251019727873e-02	2.1170157182072469e-01	-7.8728331322706721e-02	-1.0127254702049003e-01	-4.0165230993745771e-01	-1.6460928909498351e-01	-9.7128977982282622e-02	1.1625003766377545e-01	-1.0111109970076031e-01	-6.5058987299230389e-02	-4.7209842135868228e-02	9.2473436698386161e-02	-7.2524299457404462e-02	-1.1416428440881643e-02	-1.0454155589392310e-01	-5.5036841050971806e-02	7.2222224583742695e-03	1.2885404325384847e-01	-1.8658593314172725e-01	-7.4423111912780421e-02	4.2974601069703570e-02	5.1578411713754154e-03	3.2554136186707332e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-7.4401385078749427e-01	-2.8472743071112738e-01	-1.2943428505499985e-01	-8.4151519666898622e-01	-3.4630462502496090e-01	-1.9479162574329348e-01	-1.1373075490977682e+00	-2.7671783158961666e-01	-1.0811867846472538e+00	-8.6027984161159987e-01	-6.8092360645222982e-01	-7.4529845545169657e-02	-6.3273539714052041e-01	-6.0606233751081506e-01	-2.8118874199237115e-01	9.3484027930537658e-02	2.1266672349344568e-01	-7.9064662578320163e-02	-1.0168869631820070e-01	-4.0343914437933570e-01	-1.6526962892548733e-01	-9.7602029850835548e-02	1.1668186832866287e-01	-1.0152682883431673e-01	-6.5344238473275654e-02	-4.7448263538519976e-02	9.2902268889989217e-02	-7.2868679235343972e-02	-1.1462459603715199e-02	-1.0501730042347324e-01	-5.5245723949498809e-02	7.2560713756104293e-03	1.2937249426498826e-01	-1.8729168745437419e-01	-7.4779158280085745e-02	4.3169006136182624e-02	5.1838967950003723e-03	3.2477570377275957e+00
