# Parameters
$ K = 4
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
0	1.0000000000000000e+00	0	-7.1053752692325411e-01	-6.8419901149506968e-01	-2.5188753109081463e-01	-7.3340322358668586e-01	-1.8835395721701220e-01	-6.9762346267185515e-01	-4.9194537420647805e-01	-3.4658655232331931e-01	-1.6323502532673168e-01	2.2820995703575249e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-7.2023561410187631e-01	-6.9180488807191387e-01	-2.5573609240553002e-01	-7.4187602252273899e-01	-1.9695313140962975e-01	-7.0257120481825819e-01	-4.9714293260844072e-01	-3.5043522955992656e-01	-1.6584279690942186e-01	2.2764080346333806e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-7.3005658778241833e-01	-6.9953942948867487e-01	-2.5964373071692670e-01	-7.5047690863988048e-01	-2.0572244956736752e-01	-7.0758268751332143e-01	-5.0241203550522662e-01	-3.5436745464751856e-01	-1.6849175568482680e-01	2.2707436998285040e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-7.4000092987288524e-01	-7.0740423837235000e-01	-2.6361143201155290e-01	-7.5920698295128597e-01	-2.1466463328959121e-01	-7.1265898169709263e-01	-5.0775376600734723e-01	-3.5838509214871422e-01	-1.7118269963845631e-01	2.2651062221839879e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-7.5006903949770265e-01	-7.1540087246042761e-01	-2.6764019407502665e-01	-7.6806728182088690e-01	-2.2378240309982808e-01	-7.1780116316030906e-01	-5.1316921059997045e-01	-3.6249003417218173e-01	-1.7391644334825773e-01	2.2594952504559829e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-7.6026122675750074e-01	-7.2353083907327820e-01	-2.7173102599297566e-01	-7.7705877109245691e-01	-2.3307847414955357e-01	-7.2301031120631809e-01	-5.1865945777609301e-01	-3.6668419960055310e-01	-1.7669381811696175e-01	2.2539104257773497e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-7.7057770619113353e-01	-7.3179558925818944e-01	-2.7588494758647220e-01	-7.8618233991118891e-01	-2.4255555156954992e-01	-7.2828750718763247e-01	-5.2422559655119794e-01	-3.7096953319599352e-01	-1.7951567208111197e-01	2.2483513815156324e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-7.8101858993371509e-01	-7.4019651159325539e-01	-2.8010298877737555e-01	-7.9543879422894992e-01	-2.5221632544984324e-01	-7.3363383290924267e-01	-5.2986871485270670e-01	-3.7534800457418127e-01	-1.8238287029415143e-01	2.2428177431274596e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-7.9158388056511375e-01	-7.4873492563963873e-01	-2.8438618887882799e-01	-8.0482884998485105e-01	-2.6206346542878478e-01	-7.3905036889049447e-01	-5.3558989777734811e-01	-3.7982160703699797e-01	-1.8529629478075085e-01	2.2373091280094815e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-8.0227346364422503e-01	-7.5741207503101260e-01	-2.8873559580591329e-01	-8.1435312595335618e-01	-2.7209961487144230e-01	-7.4453819247702657e-01	-5.4139022570937578e-01	-3.8439235625374929e-01	-1.8825684455936526e-01	2.2318251453459634e+00
