# Parameters
$ K = 4
$ N = 15
$ M = 15
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	a14	a15	E
0	1.0000000000000000e+00	0	-4.5230381364295419e-01	-3.8638934684416421e-01	-1.9564699233876351e-01	-4.7136112447831569e-01	-2.0312947602279594e-01	-9.2229428448350315e-01	-6.1088997340081863e-01	-1.6224877639251254e+00	-4.7933222107680407e-01	-1.3788669020522676e-01	-8.9545552492514480e-01	-8.1123459556758015e-01	-9.7641305003201240e-01	-2.7812092452875553e-01	-6.0683946573918179e-01	2.9944933007932244e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.4966179009626933e-01	-3.8415494900855629e-01	-1.9056964952173369e-01	-4.7181191808991907e-01	-2.0260432514916721e-01	-9.2253444625177550e-01	-6.0199659487959178e-01	-1.6211975668217620e+00	-4.7849474568859318e-01	-1.3622198469901520e-01	-8.9665485834114478e-01	-8.0645616189451141e-01	-9.6686974781216439e-01	-2.7567906171947781e-01	-6.0875846799148881e-01	2.9870423103093207e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.4698128670335591e-01	-3.8195994061564381e-01	-1.8545782584182999e-01	-4.7226842574570976e-01	-2.0207345671158000e-01	-9.2274172212791938e-01	-5.9301661308745479e-01	-1.6196413674699044e+00	-4.7764716710876998e-01	-1.3454110274518868e-01	-8.9783089648600201e-01	-8.0165777268761795e-01	-9.5713840634560987e-01	-2.7321614653951426e-01	-6.1068068469342274e-01	2.9796633016211991e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.4426257417546527e-01	-3.7980626409478024e-01	-1.8031304375583698e-01	-4.7273092206641720e-01	-2.0153694346723039e-01	-9.2291679004030391e-01	-5.8395403327686479e-01	-1.6178223163316607e+00	-4.7679023459369885e-01	-1.3284415125703328e-01	-8.9898364178651424e-01	-7.9684354914181244e-01	-9.4722643156611830e-01	-2.7073272507143015e-01	-6.1260605329727247e-01	2.9723585500945831e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.4150591995774824e-01	-3.7769581869224322e-01	-1.7513682351003745e-01	-4.7319966903907629e-01	-2.0099485837575834e-01	-9.2306031682534795e-01	-5.7481284988755643e-01	-1.6157437778890120e+00	-4.7592469663277009e-01	-1.3113123937422119e-01	-9.0011307462659895e-01	-7.9201754188444307e-01	-9.3714133910854391e-01	-2.6822933758158601e-01	-6.1453450160098189e-01	2.9651303726570699e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.3871158853496450e-01	-3.7563045862239175e-01	-1.6993068122568034e-01	-4.7367491563151909e-01	-2.0044727466941684e-01	-9.2317295719187564e-01	-5.6559704222420659e-01	-1.6134093201858950e+00	-4.7505130001937340e-01	-1.2940247856178716e-01	-9.0121915346327675e-01	-7.8718372469506837e-01	-9.2689073885165618e-01	-2.6570651808608792e-01	-6.1646594754468154e-01	2.9579811281068285e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.3587984178547984e-01	-3.7361199128332356e-01	-1.6469612706794809e-01	-4.7415689742764139e-01	-1.9989426592787485e-01	-9.2325535272189307e-01	-5.5631057041029841e-01	-1.6108227040601246e+00	-4.7417078894560410e-01	-1.2765798271859613e-01	-9.0230181503221063e-01	-7.8234598855031690e-01	-9.1648231956650639e-01	-2.6316479397238107e-01	-6.1840029901280380e-01	2.9509132173993007e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.3301093938285418e-01	-3.7164217553417617e-01	-1.5943466350410496e-01	-4.7464583628313350e-01	-1.9933590615739130e-01	-9.2330813090654729e-01	-5.4695737162595726e-01	-1.6079878721138274e+00	-4.7328390412244431e-01	-1.2589786829516300e-01	-9.0336097464056286e-01	-7.7750813600133939e-01	-9.0592383372721863e-01	-2.6060468567715861e-01	-6.2033745364141191e-01	2.9439290839092678e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.3010513924431115e-01	-3.6972272003092516e-01	-1.5414778365593576e-01	-4.7514194000129023e-01	-1.9877226987411847e-01	-9.2333190421585132e-01	-5.3754135663592451e-01	-1.6049089374709635e+00	-4.7239138192695762e-01	-1.2412225442067966e-01	-9.0439652654472280e-01	-7.7267387588942471e-01	-8.9522308253852501e-01	-2.5802670642096376e-01	-6.2227729863038150e-01	2.9370312136654011e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.2716269802529561e-01	-3.6785528161727166e-01	-1.4883696975103175e-01	-4.7564540202844108e-01	-1.9820343219125375e-01	-9.2332726920061037e-01	-5.2806640661227211e-01	-1.6015901723699917e+00	-4.7149395357782770e-01	-1.2233126303905899e-01	-9.0540834441014972e-01	-7.6784681840340419e-01	-8.8438790123159383e-01	-2.5543136199955796e-01	-6.2421971056004555e-01	2.9302221355543070e+00
