# Parameters
$ K = 3
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
0	1.0000000000000000e+00	0	-4.4140759004391666e-01	-6.5012039312987913e-01	-6.6476165398239451e-01	-3.5146790582137405e-01	-8.9346856340041880e-01	-6.4486501596460066e-01	-6.2265240574215808e-01	-8.3803415827319572e-01	-4.2754751368569394e-01	-2.9891722746160954e-01	-4.9874987552026701e-01	-9.4457375227872098e-01	2.9746221983281149e+00
2.5000000000000001e-03	9.9750000000000005e-01	2.5000000000000001e-03	-4.4234299629176599e-01	-6.5326892237698209e-01	-6.6878538329447645e-01	-3.5411609137925043e-01	-8.9674741469801900e-01	-6.4892285714371445e-01	-6.2408905101471379e-01	-8.4225161038131857e-01	-4.2544777699469566e-01	-2.9842350135214168e-01	-4.9948045555887499e-01	-9.4951778204552573e-01	2.9672114070838806e+00
5.0000000000000001e-03	9.9500000000000000e-01	5.0000000000000001e-03	-4.4326464685566391e-01	-6.5639251420441369e-01	-6.7282142447855875e-01	-3.5678826084105009e-01	-8.9997676307696184e-01	-6.5296540949378279e-01	-6.2549016335664442e-01	-8.4646144945712420e-01	-4.2328830282808816e-01	-2.9792518296248965e-01	-5.0018382415858076e-01	-9.5444689132554938e-01	2.9598524895934615e+00
7.4999999999999997e-03	9.9250000000000005e-01	7.4999999999999997e-03	-4.4417245042317172e-01	-6.5949018168539852e-01	-6.7686925696704325e-01	-3.5948452787052315e-01	-9.0315517658635192e-01	-6.5699127917064448e-01	-6.2685507225840276e-01	-8.5066279631547770e-01	-4.2106930460111303e-01	-2.9742276398003598e-01	-5.0085958525751317e-01	-9.5935976737336526e-01	2.9525459665264280e+00
1.0000000000000000e-02	9.8999999999999999e-01	1.0000000000000000e-02	-4.4506632255245349e-01	-6.6256093817351058e-01	-6.8092834113262590e-01	-3.6220500123055915e-01	-9.0628121790407024e-01	-6.6099905166849116e-01	-6.2818311416919603e-01	-8.5485475552099577e-01	-4.1879103169115572e-01	-2.9691674142975932e-01	-5.0150734784842577e-01	-9.6425507560069768e-01	2.9452923622379039e+00
1.2500000000000001e-02	9.8750000000000004e-01	1.2500000000000001e-02	-4.4594618583677154e-01	-6.6560379812924286e-01	-6.8499811803508714e-01	-3.6494978454758620e-01	-9.0935344522073425e-01	-6.6498729251589805e-01	-6.2947363320406657e-01	-8.5903641545534437e-01	-4.1645376984110133e-01	-2.9640761709066499e-01	-5.0212672641108480e-01	-9.6913145994798056e-01	2.9380922047168494e+00
1.4999999999999999e-02	9.8499999999999999e-01	1.4999999999999999e-02	-4.4681197006274481e-01	-6.6861777795856769e-01	-6.8907800917880124e-01	-3.6771897607121096e-01	-9.1237041316109468e-01	-6.6895454801952781e-01	-6.3072598186335427e-01	-8.6320684840164408e-01	-4.1405784152869818e-01	-2.9589589689091761e-01	-5.0271734135417301e-01	-9.7398754329136994e-01	2.9309460255310840e+00
1.7500000000000002e-02	9.8250000000000004e-01	1.7500000000000002e-02	-4.4766361236175478e-01	-6.7160189686200777e-01	-6.9316741628176515e-01	-3.7051266842919067e-01	-9.1533067374319932e-01	-6.7289934605609625e-01	-6.3193952176382628e-01	-8.6736511064664767e-01	-4.1160360630040826e-01	-2.9538209028227974e-01	-5.0327881946634168e-01	-9.7882192788591127e-01	2.9238543597689950e+00
2.0000000000000000e-02	9.7999999999999998e-01	2.0000000000000000e-02	-4.4850105735380408e-01	-6.7455517769265139e-01	-6.9726572105686424e-01	-3.7333094837786562e-01	-9.1823277737552811e-01	-6.7682019691310225e-01	-6.3311362438069863e-01	-8.7151024260133858e-01	-4.0909146106825167e-01	-2.9486670959456907e-01	-5.0381079437598475e-01	-9.8363319584552533e-01	2.9168177459778488e+00
2.2499999999999999e-02	9.7750000000000004e-01	2.2499999999999999e-02	-4.4932425728315173e-01	-6.7747664782150219e-01	-7.0137228500616156e-01	-3.7617389654816746e-01	-9.2107527389225885e-01	-6.8071559417874672e-01	-6.3424767179973163e-01	-8.7564126894062266e-01	-4.0652184036815137e-01	-2.9435026937088032e-01	-5.0431290701927511e-01	-9.8841990966043858e-01	2.9098367260986442e+00
2.5000000000000001e-02	9.7499999999999998e-01	2.5000000000000001e-02	-4.5013317214503740e-01	-6.8036534000844540e-01	-7.0548644922898984e-01	-3.7904158718735992e-01	-9.2385671362672817e-01	-6.8458401568137739e-01	-6.3534105747851377e-01	-8.7975719876277036e-01	-4.0389521657833866e-01	-2.9383328568442119e-01	-5.0478480611594390e-01	-9.9318061275262581e-01	2.9029118453974383e+00
2.7500000000000000e-02	9.7250000000000003e-01	2.7500000000000000e-02	-4.5092776980274368e-01	-6.8322029327707567e-01	-7.0960753424460243e-01	-3.8193408789665723e-01	-9.2657564852303831e-01	-6.8842392447869427e-01	-6.3639318701598491e-01	-8.8385702576927361e-01	-4.0121210009638147e-01	-2.9331627543787792e-01	-5.0522614865224547e-01	-9.9791383006977286e-01	2.8960436523930828e+00
2.9999999999999999e-02	9.6999999999999997e-01	2.9999999999999999e-02	-4.5170802609430138e-01	-6.8604055379155660e-01	-7.1373483983019026e-01	-3.8485145936490245e-01	-9.2923063328568356e-01	-6.9223376989686169e-01	-6.3740347892921867e-01	-8.8793972846576008e-01	-3.9847303947344681e-01	-2.9279975564629729e-01	-5.0563660037049984e-01	-1.0026180687182336e+00	2.8892326987812988e+00
3.2500000000000001e-02	9.6750000000000003e-01	3.2500000000000001e-02	-4.5247392492806121e-01	-6.8882517573363145e-01	-7.1786764487502652e-01	-3.8779375509848169e-01	-9.3182022656695263e-01	-6.9601198861954838e-01	-6.3837136543638773e-01	-8.9200427038463104e-01	-3.9567862150444416e-01	-2.9228424270455700e-01	-5.0601583626454560e-01	-1.0072918186353685e+00	2.8824795393550353e+00
3.5000000000000003e-02	9.6499999999999997e-01	3.5000000000000003e-02	-4.5322545836640921e-01	-6.9157322217784090e-01	-7.2200520725153394e-01	-3.9076102114769179e-01	-9.3434299219174743e-01	-6.9975700582682987e-01	-6.3929629324480852e-01	-8.9604960033005132e-01	-3.9282947127273915e-01	-2.9177025164056059e-01	-5.0636354108039427e-01	-1.0119335533016161e+00	2.8757847319210459e+00
3.7499999999999999e-02	9.6250000000000002e-01	3.7499999999999999e-02	-4.5396262669684423e-01	-6.9428376596297892e-01	-7.2614676370406483e-01	-3.9375329582976165e-01	-9.3679750041934196e-01	-7.0346723638374120e-01	-6.4017772434288989e-01	-9.0007465264592512e-01	-3.8992625214818050e-01	-2.9125829535538128e-01	-5.0667940982133064e-01	-1.0165417304925553e+00	2.8691488372126264e+00
